liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Substitute On,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Goals Conceded Outside Box,Offsides,Right Foot Goals,Headed Goals,Goals from Inside Box,Throw Ins to Own Player,Set Pieces Goals,Successful Corners into Box,Attempts from Set Pieces,Penalties Taken,Throw Ins to Opposition Player,Saves Made,GK Successful Distribution,Penalties Conceded,Punches,Penalties Saved,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Total Red Cards,Straight Red Cards,Foul Won Penalty,Second Goal Assists,Hit Woodwork,Penalty Goals,Crosses not Claimed,Other Goals,Red Cards - 2nd Yellow,Clearances Off the Line,Own Goal Scored,Last Man Tackle,Penalties Off Target
Canada_Canadian_Premier_League,2019,Forge FC,7ehcrcdv82ib5fkpo3498gpgp,K. Awuah,Midfielder,6,25.0,1975.0,5.0,5.0,5.0,,1022.0,7.0,180.0,11.0,481.0,22.0,4.0,57.0,15.0,4.0,26.0,409.0,365.0,61.0,162.0,2.0,1054.0,5.0,30.0,27.0,788.0,15.0,5.0,219.0,356.0,24.0,183.0,1.0,164.0,22.0,35.0,61.0,1670.0,1.0,27.0,15.0,4.0,230.0,,396.0,27.0,10.0,131.0,1.0,47.0,11.0,22.0,21.0,27.0,277.0,19.0,18.0,,25.0,27.0,,2.0,3.0,120.0,122.0,804.0,835.0,47.0,9.0,,5.0,,43.0,146.0,18.0,41.0,110.0,3.0,3.0,,,,162.0,,,,,28.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,
Canada_Canadian_Premier_League,2019,Forge FC,2zedqkn15thv6wx5xmgv48gd1,K. Bekker,Midfielder,10,20.0,2444.0,1.0,19.0,2.0,4.0,1323.0,25.0,295.0,17.0,712.0,22.0,2.0,69.0,19.0,27.0,26.0,413.0,438.0,23.0,183.0,3.0,1385.0,2.0,29.0,12.0,1025.0,20.0,45.0,252.0,350.0,41.0,280.0,18.0,164.0,27.0,30.0,55.0,1785.0,90.0,28.0,18.0,2.0,139.0,1.0,393.0,39.0,10.0,61.0,18.0,108.0,3.0,11.0,16.0,13.0,181.0,20.0,24.0,3.0,83.0,28.0,56.0,1.0,5.0,94.0,347.0,1079.0,1133.0,42.0,11.0,1.0,5.0,6.0,14.0,120.0,9.0,17.0,45.0,4.0,4.0,1.0,,3.0,6.0,1.0,18.0,11.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,6d56vy4w9i65ye4c5t5txgkix,T. Borges,Midfielder,19,20.0,1974.0,5.0,9.0,4.0,13.0,668.0,33.0,154.0,13.0,411.0,7.0,2.0,30.0,19.0,10.0,18.0,461.0,134.0,62.0,137.0,1.0,699.0,7.0,38.0,65.0,499.0,14.0,47.0,167.0,140.0,40.0,204.0,9.0,144.0,22.0,40.0,31.0,1360.0,62.0,27.0,20.0,1.0,348.0,2.0,215.0,122.0,10.0,190.0,37.0,33.0,4.0,52.0,11.0,60.0,377.0,,17.0,13.0,68.0,27.0,40.0,4.0,4.0,169.0,190.0,505.0,532.0,29.0,6.0,,5.0,2.0,40.0,187.0,22.0,24.0,179.0,3.0,10.0,,,11.0,11.0,,8.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,3.0,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,6twhs1y8bihm7vc9dib8hgezt,K. Çela,Defender,16,7.0,326.0,5.0,1.0,2.0,1.0,106.0,,18.0,2.0,39.0,2.0,,5.0,,,9.0,62.0,39.0,15.0,30.0,1.0,111.0,1.0,6.0,2.0,69.0,6.0,1.0,35.0,3.0,1.0,34.0,1.0,14.0,3.0,3.0,8.0,242.0,,8.0,1.0,2.0,39.0,,50.0,6.0,10.0,35.0,1.0,7.0,2.0,9.0,9.0,1.0,57.0,19.0,7.0,,7.0,8.0,,1.0,1.0,13.0,40.0,71.0,76.0,18.0,,,1.0,,7.0,22.0,8.0,4.0,26.0,1.0,1.0,1.0,,1.0,35.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,6r8emgp7oeom6yyibdb4g77c9,D. Choinière,Midfielder,7,12.0,998.0,7.0,2.0,1.0,2.0,356.0,9.0,102.0,2.0,217.0,3.0,1.0,11.0,16.0,7.0,5.0,164.0,81.0,24.0,56.0,3.0,363.0,7.0,15.0,14.0,275.0,11.0,15.0,67.0,80.0,8.0,73.0,5.0,84.0,11.0,28.0,7.0,594.0,6.0,18.0,7.0,,151.0,,97.0,42.0,10.0,65.0,8.0,21.0,1.0,27.0,,12.0,156.0,1.0,13.0,,13.0,18.0,1.0,,2.0,86.0,84.0,289.0,296.0,5.0,1.0,,2.0,2.0,14.0,91.0,10.0,3.0,65.0,2.0,,2.0,,2.0,7.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,c8gbyfp650fgai5782915ywa1,E. Cissé,Midfielder,3,3.0,1731.0,2.0,11.0,3.0,2.0,754.0,7.0,161.0,1.0,408.0,5.0,,13.0,15.0,8.0,39.0,205.0,251.0,49.0,101.0,1.0,772.0,11.0,28.0,19.0,619.0,13.0,17.0,114.0,221.0,10.0,95.0,4.0,151.0,21.0,29.0,23.0,1088.0,1.0,23.0,16.0,4.0,182.0,,198.0,40.0,10.0,106.0,9.0,39.0,1.0,18.0,20.0,13.0,241.0,17.0,16.0,,4.0,23.0,,3.0,2.0,96.0,192.0,641.0,658.0,59.0,4.0,,2.0,1.0,31.0,135.0,18.0,31.0,86.0,3.0,2.0,2.0,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,b84lif9t7gwlw9ou9izawvumt,D. Edgar,Defender,30,2.0,834.0,2.0,,5.0,1.0,471.0,,24.0,,133.0,14.0,1.0,45.0,2.0,4.0,7.0,94.0,287.0,12.0,39.0,2.0,504.0,,5.0,1.0,384.0,4.0,6.0,84.0,65.0,,62.0,,38.0,9.0,3.0,24.0,596.0,,11.0,4.0,5.0,26.0,,233.0,8.0,10.0,29.0,2.0,36.0,,3.0,13.0,,46.0,35.0,5.0,,2.0,11.0,,,,10.0,182.0,393.0,420.0,20.0,6.0,,,,6.0,17.0,6.0,8.0,16.0,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,egpxg7krmp9behb4xcmiiwyjt,G. Frano,Midfielder,8,9.0,1964.0,6.0,2.0,6.0,1.0,1113.0,6.0,109.0,2.0,459.0,23.0,6.0,78.0,23.0,9.0,21.0,370.0,436.0,62.0,172.0,1.0,1143.0,3.0,35.0,19.0,822.0,17.0,11.0,250.0,183.0,12.0,188.0,2.0,150.0,20.0,34.0,72.0,1618.0,,26.0,21.0,14.0,178.0,,459.0,18.0,10.0,133.0,2.0,71.0,2.0,13.0,41.0,10.0,240.0,34.0,20.0,,10.0,26.0,,2.0,,86.0,392.0,864.0,893.0,62.0,9.0,1.0,,1.0,40.0,107.0,22.0,40.0,92.0,3.0,,,1.0,1.0,93.0,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,upib1k4jf41nogwoduyqpw4p,J. Grant,Defender,2,20.0,882.0,1.0,,3.0,1.0,357.0,9.0,79.0,3.0,144.0,17.0,2.0,26.0,8.0,3.0,13.0,204.0,109.0,31.0,84.0,2.0,360.0,6.0,15.0,12.0,235.0,7.0,5.0,110.0,5.0,6.0,96.0,3.0,40.0,12.0,22.0,34.0,638.0,,13.0,10.0,2.0,107.0,,142.0,39.0,10.0,59.0,2.0,15.0,3.0,7.0,10.0,18.0,130.0,15.0,8.0,1.0,20.0,13.0,,,1.0,58.0,134.0,248.0,250.0,23.0,1.0,,1.0,,23.0,71.0,8.0,15.0,49.0,1.0,,,,1.0,63.0,,,,,16.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2019,Forge FC,cdaayu6d9xzn4gyn5jg5p6vl6,T. Henry,Goalkeeper,1,,1980.0,,,21.0,,349.0,,,,53.0,82.0,3.0,178.0,,,,184.0,382.0,,3.0,2.0,616.0,,1.0,1.0,338.0,14.0,,181.0,130.0,,141.0,,185.0,22.0,,40.0,825.0,,22.0,,,7.0,,331.0,,10.0,15.0,,97.0,,8.0,10.0,,17.0,22.0,17.0,,,22.0,,,,2.0,155.0,273.0,435.0,10.0,9.0,,,,,2.0,,,5.0,3.0,,,,,,,,,,,55.0,219.0,,9.0,1.0,1.0,2.0,14.0,26.0,19.0,28.0,3.0,1.0,1.0,59.0,,,,,1.0,,,,,,1.0,,
