dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
3,,HFX Wanderers FC,Canadian Premier League,Defender,Haiti,1i7a6katii8fnxncnyun4nyzt,5gmx3o5y2oc0i6rowjwtu7jvu,6lkj3o21cr4g7bql6tb3fk222,1gz4f3r68v3w92gdsu12lom0a,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2020/1gz4f3r68v3w92gdsu12lom0a/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu/player/view/1i7a6katii8fnxncnyun4nyzt
11,,HFX Wanderers FC,Canadian Premier League,Attacker,Trinidad and Tobago,26zoncn0ilfvg5gwn91dkqmt,5gmx3o5y2oc0i6rowjwtu7jvu,6lkj3o21cr4g7bql6tb3fk222,1gz4f3r68v3w92gdsu12lom0a,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2020/1gz4f3r68v3w92gdsu12lom0a/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu/player/view/26zoncn0ilfvg5gwn91dkqmt
1,,HFX Wanderers FC,Canadian Premier League,Goalkeeper,Canada,2o538m8209nj9p29a4ujs4jpx,5gmx3o5y2oc0i6rowjwtu7jvu,6lkj3o21cr4g7bql6tb3fk222,1gz4f3r68v3w92gdsu12lom0a,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2020/1gz4f3r68v3w92gdsu12lom0a/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu/player/view/2o538m8209nj9p29a4ujs4jpx
31,Eriks Santos,HFX Wanderers FC,Canadian Premier League,Defender,Brazil,2s3yfb7n14fdespzya1rg9iax,5gmx3o5y2oc0i6rowjwtu7jvu,6lkj3o21cr4g7bql6tb3fk222,1gz4f3r68v3w92gdsu12lom0a,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2020/1gz4f3r68v3w92gdsu12lom0a/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu/player/view/2s3yfb7n14fdespzya1rg9iax
17,,HFX Wanderers FC,Canadian Premier League,Midfielder,Mali,3wyn5e0uz5jfilp065m3qynoq,5gmx3o5y2oc0i6rowjwtu7jvu,6lkj3o21cr4g7bql6tb3fk222,1gz4f3r68v3w92gdsu12lom0a,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2020/1gz4f3r68v3w92gdsu12lom0a/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu/player/view/3wyn5e0uz5jfilp065m3qynoq
2,,HFX Wanderers FC,Canadian Premier League,Defender,Germany,4c5w90f125c6det9gu0ljmgnp,5gmx3o5y2oc0i6rowjwtu7jvu,6lkj3o21cr4g7bql6tb3fk222,1gz4f3r68v3w92gdsu12lom0a,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2020/1gz4f3r68v3w92gdsu12lom0a/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu/player/view/4c5w90f125c6det9gu0ljmgnp
,,HFX Wanderers FC,Canadian Premier League,,Bulgaria,4mbzqmzzal3i44dcjzm4r09g,5gmx3o5y2oc0i6rowjwtu7jvu,6lkj3o21cr4g7bql6tb3fk222,1gz4f3r68v3w92gdsu12lom0a,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2020/1gz4f3r68v3w92gdsu12lom0a/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu/player/view/4mbzqmzzal3i44dcjzm4r09g
23,,HFX Wanderers FC,Canadian Premier League,Attacker,England,4t92bvofxxvfqe6f2w9gs8t0p,5gmx3o5y2oc0i6rowjwtu7jvu,6lkj3o21cr4g7bql6tb3fk222,1gz4f3r68v3w92gdsu12lom0a,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2020/1gz4f3r68v3w92gdsu12lom0a/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu/player/view/4t92bvofxxvfqe6f2w9gs8t0p
5,,HFX Wanderers FC,Canadian Premier League,Midfielder,Canada,4ux10kolns6m5lgd64wumjfth,5gmx3o5y2oc0i6rowjwtu7jvu,6lkj3o21cr4g7bql6tb3fk222,1gz4f3r68v3w92gdsu12lom0a,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2020/1gz4f3r68v3w92gdsu12lom0a/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu/player/view/4ux10kolns6m5lgd64wumjfth
7,,HFX Wanderers FC,Canadian Premier League,Attacker,Jamaica,549bk4ar8s05kzy78wi86one2,5gmx3o5y2oc0i6rowjwtu7jvu,6lkj3o21cr4g7bql6tb3fk222,1gz4f3r68v3w92gdsu12lom0a,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2020/1gz4f3r68v3w92gdsu12lom0a/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu/player/view/549bk4ar8s05kzy78wi86one2
