dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
11,,York United FC,Canadian Premier League,Attacker,Jamaica,1emha184z70pj2va9qrwczrah,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/1emha184z70pj2va9qrwczrah
,,York United FC,Canadian Premier League,,Canada,1y5woxxr0y1j7m4z5p9wgerx1,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/1y5woxxr0y1j7m4z5p9wgerx1
1,,York United FC,Canadian Premier League,Goalkeeper,Canada,207co3fpu5mhbs1r0e6p8vze1,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/207co3fpu5mhbs1r0e6p8vze1
,,York United FC,Canadian Premier League,,Canada,2lkvsgjwf7ci25nz3t6w9s8ut,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/2lkvsgjwf7ci25nz3t6w9s8ut
20,,York United FC,Canadian Premier League,Defender,Canada,37pbdttxfaqvayoufo0q0dxey,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/37pbdttxfaqvayoufo0q0dxey
28,,York United FC,Canadian Premier League,Midfielder,Haiti,4x9j9kpa9vap3r780lx9ty2ju,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/4x9j9kpa9vap3r780lx9ty2ju
30,,York United FC,Canadian Premier League,Attacker,Nigeria,58nyivtxo1hst7q3wypyjoz1m,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/58nyivtxo1hst7q3wypyjoz1m
14,,York United FC,Canadian Premier League,Attacker,Canada,5gyjio4tvbg4ahjzoass6lxey,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/5gyjio4tvbg4ahjzoass6lxey
23,,York United FC,Canadian Premier League,Midfielder,Dominican Republic,5heptjnboaeyttkas0z9kbalm,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/5heptjnboaeyttkas0z9kbalm
21,,York United FC,Canadian Premier League,Attacker,Canada,6ptroe7b9vgzimcvzo2fehcr9,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/6ptroe7b9vgzimcvzo2fehcr9
16,,York United FC,Canadian Premier League,Midfielder,Canada,6v3jzhrpgs47rzoyw6b8lz6ui,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/6v3jzhrpgs47rzoyw6b8lz6ui
44,,York United FC,Canadian Premier League,Midfielder,Canada,6z58yyouaevipxrmrmorcz0no,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/6z58yyouaevipxrmrmorcz0no
,,York United FC,Canadian Premier League,Attacker,Canada,76efh9x1zkbrnhtn6k2bwtvu2,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/76efh9x1zkbrnhtn6k2bwtvu2
42,,York United FC,Canadian Premier League,Defender,Canada,7eynihn0v6yydt9liwe8m2fsa,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/7eynihn0v6yydt9liwe8m2fsa
13,,York United FC,Canadian Premier League,Attacker,USA,7k7cfwqqpbhcyag8et8tgd2ax,cqthcpums3aas2tdy0qhlkuwa,6lkj3o21cr4g7bql6tb3fk222,a7m2aoup9b8iaz871b2ep5wr8,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2021/a7m2aoup9b8iaz871b2ep5wr8/teams/view/cqthcpums3aas2tdy0qhlkuwa/player/view/7k7cfwqqpbhcyag8et8tgd2ax
