liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution Won,Unsuccessful Dribbles,Times Tackled,Successful Launches,Open Play Passes,Backward Passes,Total Passes,Aerial Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels,Successful Open Play Passes,Tackles Won,Goals from Inside Box,Yellow Cards,Ground Duels won,Throw Ins to Opposition Player,Corners Won,Total Fouls Conceded,Goal Assists,Games Played,Through balls,Unsuccessful Crosses open play,Successful Crosses open play,Assists (Intentional),Successful Passes Own Half,Substitute Off,Unsuccessful Passes Opposition Half,Total Losses Of Possession,Foul Attempted Tackle,Duels lost,Unsuccessful Long Passes,Time Played,Total Touches In Opposition Box,Rightside Passes,Total Shots,PutThrough/Blocked Distribution,Appearances,Total Fouls Won,Total Successful Passes ( Excl Crosses & Corners ) ,Shots On Target ( inc goals ),Right Foot Goals,Aerial Duels won,Ground Duels,Key Passes (Attempt Assists),Leftside Passes,Touches,Throw Ins to Own Player,Blocks,Interceptions,Duels,Duels won,Successful Crosses & Corners,Clean Sheets,Unsuccessful Crosses & Corners,Successful Short Passes,Goals Conceded Inside Box,Ground Duels lost,Goals Conceded,Goals Conceded Outside Box,Offsides,Successful Long Passes,Unsuccessful Launches,Total Clearances,Forward Passes,Goals,Successful Passes Opposition Half,Shots Off Target (inc woodwork),Unsuccessful Short Passes,Unsuccessful Passes Own Half,Overruns,Total Tackles,Starts,Substitute On,Handballs conceded,Recoveries,Tackles Lost,Successful Dribbles,Index,Home Goals,Away Goals,Winning Goal,Corners Taken (incl short corners),Successful Lay-offs,Successful Corners into Box,Blocked Shots,Headed Goals,Unsuccessful lay-offs,Left Foot Goals,Unsuccessful Corners into Box,Set Pieces Goals,Goals from Outside Box,Attempts from Set Pieces,Penalties Taken,Hit Woodwork,Penalty Goals,Straight Red Cards,Penalties Conceded,Total Red Cards,GK Successful Distribution,Goal Kicks,Foul Won Penalty,Penalties Faced,Saves Made from Inside Box,Catches,Penalties Saved,Saves Made,Goalkeeper Smother,Saves Made from Outside Box,Saves made - parried,Saves made - caught,Saves from Penalty,Punches,Drops,GK Unsuccessful Distribution,Own Goal Scored,Clearances Off the Line,Last Man Tackle,Second Goal Assists,Penalty Goals Conceded,Other Goals,Penalties Off Target,Red Cards - 2nd Yellow,Last Player Tackle,Crosses not Claimed
Canada_Canadian_Premier_League,2023,Cavalry FC,cseaof8mo75i2fufyg0b4bpat,F. Aird,Midfielder,33,12.0,15.0,25.0,6.0,801.0,183.0,828.0,5.0,161.0,9.0,644.0,18.0,2.0,3.0,36.0,29.0,8.0,8.0,2.0,29.0,,46.0,19.0,2.0,279.0,10.0,203.0,303.0,3.0,45.0,62.0,1435.0,15.0,35.0,11.0,37.0,29.0,2.0,667.0,5.0,1.0,4.0,76.0,35.0,281.0,1274.0,149.0,5.0,12.0,85.0,40.0,37.0,1.0,75.0,612.0,12.0,40.0,14.0,2.0,1.0,55.0,17.0,19.0,329.0,2.0,425.0,6.0,99.0,33.0,,26.0,14.0,15.0,,81.0,8.0,8.0,10.0,1.0,1.0,1.0,29.0,2.0,13.0,1.0,,,1.0,13.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,7q6h161f7gcqnpy07x80hbpck,W. Akio,Forward,19,4.0,27.0,48.0,,133.0,33.0,133.0,18.0,28.0,26.0,105.0,9.0,5.0,1.0,39.0,1.0,6.0,8.0,,13.0,,7.0,1.0,,32.0,3.0,30.0,108.0,4.0,79.0,1.0,729.0,38.0,34.0,16.0,9.0,13.0,14.0,105.0,8.0,1.0,8.0,100.0,6.0,28.0,317.0,6.0,1.0,5.0,126.0,47.0,1.0,1.0,7.0,103.0,8.0,61.0,10.0,2.0,1.0,2.0,,5.0,38.0,5.0,74.0,8.0,27.0,5.0,2.0,12.0,7.0,6.0,,15.0,3.0,13.0,10.0,2.0,3.0,2.0,,3.0,,5.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,8e41frophez1otbzaamqxzip6,Roberto Alarcón,Defender,2,5.0,5.0,8.0,1.0,256.0,78.0,271.0,3.0,38.0,5.0,220.0,9.0,,2.0,30.0,8.0,2.0,11.0,,11.0,,15.0,6.0,,130.0,5.0,44.0,82.0,9.0,27.0,14.0,547.0,2.0,6.0,2.0,13.0,11.0,5.0,233.0,2.0,,2.0,54.0,8.0,105.0,438.0,46.0,2.0,5.0,59.0,32.0,14.0,,23.0,222.0,11.0,24.0,12.0,1.0,,11.0,7.0,12.0,82.0,,117.0,,24.0,17.0,,17.0,7.0,4.0,,31.0,8.0,8.0,10.0,,,0.0,13.0,,6.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,es1eiexpors419nbnzftx2cix,E. Beckford,Forward,14,,3.0,6.0,,35.0,11.0,37.0,12.0,9.0,16.0,26.0,2.0,,,6.0,,1.0,13.0,,14.0,,,,,14.0,,4.0,22.0,1.0,31.0,1.0,254.0,14.0,9.0,7.0,3.0,14.0,4.0,28.0,1.0,,4.0,25.0,,6.0,72.0,,1.0,,41.0,10.0,,,,27.0,5.0,19.0,5.0,,2.0,1.0,1.0,1.0,11.0,,14.0,6.0,8.0,5.0,,2.0,,14.0,2.0,7.0,,,10.0,,,0.0,,1.0,,4.0,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,1ifq6ok0spehvrr4lndlhxotl,M. Bevan,Forward,9,6.0,16.0,40.0,,270.0,100.0,285.0,65.0,80.0,99.0,190.0,9.0,11.0,5.0,61.0,,12.0,45.0,4.0,29.0,,13.0,1.0,2.0,42.0,15.0,84.0,190.0,18.0,158.0,3.0,2316.0,94.0,67.0,36.0,22.0,29.0,38.0,205.0,17.0,9.0,34.0,154.0,18.0,62.0,563.0,,3.0,,253.0,95.0,1.0,1.0,13.0,202.0,21.0,93.0,25.0,4.0,20.0,3.0,,14.0,56.0,11.0,164.0,19.0,77.0,9.0,2.0,17.0,28.0,1.0,3.0,40.0,8.0,6.0,10.0,7.0,4.0,3.0,,11.0,,12.0,,2.0,2.0,,,,,5.0,1.0,5.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,6re26cen7xbrynezb3rerst05,S. Camargo,Midfielder,10,13.0,32.0,60.0,2.0,609.0,229.0,649.0,17.0,128.0,23.0,482.0,10.0,6.0,6.0,77.0,1.0,19.0,17.0,2.0,28.0,2.0,19.0,5.0,1.0,182.0,24.0,130.0,266.0,10.0,105.0,23.0,1651.0,75.0,163.0,24.0,35.0,28.0,28.0,521.0,11.0,3.0,6.0,165.0,26.0,92.0,970.0,6.0,,12.0,188.0,83.0,5.0,,23.0,505.0,16.0,88.0,18.0,2.0,1.0,16.0,5.0,2.0,165.0,6.0,344.0,13.0,105.0,21.0,6.0,17.0,23.0,5.0,2.0,105.0,7.0,32.0,10.0,3.0,3.0,2.0,7.0,18.0,,7.0,1.0,,2.0,4.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,7tednz7d4xzxjpuqct8iyttjp,M. Cantave,Forward,22,16.0,37.0,62.0,1.0,372.0,112.0,377.0,17.0,70.0,30.0,302.0,18.0,4.0,3.0,91.0,1.0,15.0,31.0,2.0,26.0,3.0,15.0,11.0,1.0,101.0,16.0,76.0,215.0,8.0,129.0,13.0,1643.0,60.0,99.0,26.0,26.0,26.0,28.0,307.0,15.0,3.0,13.0,203.0,21.0,79.0,746.0,7.0,4.0,8.0,233.0,104.0,15.0,,23.0,297.0,31.0,112.0,32.0,1.0,2.0,10.0,3.0,4.0,87.0,6.0,221.0,11.0,57.0,17.0,11.0,23.0,19.0,7.0,1.0,66.0,5.0,40.0,10.0,4.0,2.0,0.0,15.0,2.0,4.0,10.0,,1.0,3.0,8.0,,2.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,7tmc8hrkee4lo05qa26i7e5zp,M. Carducci,Goalkeeper,1,1.0,,,25.0,723.0,,1080.0,,234.0,6.0,599.0,,,3.0,2.0,,2.0,2.0,,31.0,,,,,751.0,,184.0,239.0,2.0,3.0,231.0,2820.0,3.0,270.0,,2.0,31.0,3.0,846.0,,,6.0,5.0,1.0,269.0,1359.0,,,,11.0,8.0,,8.0,,675.0,28.0,3.0,32.0,4.0,,171.0,43.0,27.0,541.0,,95.0,,3.0,50.0,,1.0,31.0,,,242.0,1.0,,10.0,,,0.0,,,,,,,,,,,,,,,,2.0,,336.0,268.0,,5.0,38.0,31.0,,73.0,3.0,35.0,18.0,,,9.0,2.0,62.0,,,,,4.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,dor6no6z7dbc7npkodv27kne2,U. Chima,Defender,15,2.0,1.0,3.0,1.0,508.0,67.0,523.0,6.0,67.0,17.0,443.0,9.0,,3.0,25.0,2.0,1.0,12.0,,13.0,1.0,,,,374.0,1.0,42.0,77.0,6.0,25.0,28.0,838.0,4.0,121.0,1.0,7.0,13.0,9.0,456.0,1.0,,11.0,44.0,,163.0,612.0,7.0,5.0,8.0,61.0,36.0,,,,432.0,11.0,19.0,11.0,,1.0,24.0,10.0,24.0,172.0,,82.0,,39.0,25.0,,14.0,9.0,4.0,,36.0,5.0,2.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Canada_Canadian_Premier_League,2023,Cavalry FC,7gi5lm8v10m3ivddvn8qqzk2y,J. Daley,Midfielder,8,17.0,12.0,22.0,4.0,950.0,208.0,995.0,14.0,186.0,20.0,769.0,44.0,,12.0,106.0,1.0,5.0,45.0,5.0,27.0,2.0,17.0,5.0,2.0,369.0,11.0,150.0,258.0,30.0,112.0,74.0,2019.0,27.0,237.0,15.0,38.0,27.0,32.0,809.0,2.0,,6.0,204.0,14.0,200.0,1317.0,6.0,6.0,31.0,224.0,112.0,5.0,5.0,20.0,780.0,18.0,98.0,21.0,3.0,,29.0,41.0,22.0,350.0,,445.0,13.0,112.0,56.0,3.0,70.0,23.0,4.0,2.0,134.0,26.0,4.0,10.0,,,0.0,,12.0,,5.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
