dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
25,,Atlético Ottawa,Canadian Premier League,Defender,Canada,2djaium3kr8apcb8ftptzacr8,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/2djaium3kr8apcb8ftptzacr8
,,Atlético Ottawa,Canadian Premier League,,Spain,3f92xbu9hyr4pg9b9luo9x638,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/3f92xbu9hyr4pg9b9luo9x638
33,,Atlético Ottawa,Canadian Premier League,Midfielder,Mali,3wyn5e0uz5jfilp065m3qynoq,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/3wyn5e0uz5jfilp065m3qynoq
7,Kévin Santos,Atlético Ottawa,Canadian Premier League,Attacker,Portugal,4o8pclxdsb5lhx1efsoveoqhg,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/4o8pclxdsb5lhx1efsoveoqhg
9,,Atlético Ottawa,Canadian Premier League,Attacker,Canada,5ggjixg89r56xz7skcr1v9rf8,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/5ggjixg89r56xz7skcr1v9rf8
34,,Atlético Ottawa,Canadian Premier League,Midfielder,Canada,622w13rktz2os2jlo286col3p,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/622w13rktz2os2jlo286col3p
3,,Atlético Ottawa,Canadian Premier League,Defender,Spain,62up18u94hzy8hn0y1t7fga5m,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/62up18u94hzy8hn0y1t7fga5m
55,,Atlético Ottawa,Canadian Premier League,Defender,Canada,79pboh9mzuchik3r2027wntgp,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/79pboh9mzuchik3r2027wntgp
10,,Atlético Ottawa,Canadian Premier League,Midfielder,Northern Ireland,7ao58e6608lb8eu3dmk17jisp,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/7ao58e6608lb8eu3dmk17jisp
6,,Atlético Ottawa,Canadian Premier League,Defender,Ecuador,845j7w415yohcsnm22fwx18iy,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/845j7w415yohcsnm22fwx18iy
1,,Atlético Ottawa,Canadian Premier League,Goalkeeper,Canada,85lzhlcd5erkrjet6cv0r8844,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/85lzhlcd5erkrjet6cv0r8844
18,,Atlético Ottawa,Canadian Premier League,Midfielder,Canada,8it17x5yrhbgk5dhav7y9dysq,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/8it17x5yrhbgk5dhav7y9dysq
5,,Atlético Ottawa,Canadian Premier League,Defender,Trinidad and Tobago,8vi59v87nnquzkbk79kzegmzu,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/8vi59v87nnquzkbk79kzegmzu
11,Gabriel Antinoro,Atlético Ottawa,Canadian Premier League,Midfielder,Brazil,8vp11oeb0zdxnecv79eprj6dw,dn8tjhuq0bax4dgixqvluhzze,6lkj3o21cr4g7bql6tb3fk222,92f08hy74yu9wg2s9hyftludw,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2024/92f08hy74yu9wg2s9hyftludw/teams/view/dn8tjhuq0bax4dgixqvluhzze/player/view/8vp11oeb0zdxnecv79eprj6dw
