liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Leftside Passes,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,Recoveries,Rightside Passes,Shots Off Target (inc woodwork),Starts,Substitute Off,Successful Launches,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Assists (Intentional),Corners Taken (incl short corners),Corners Won,Goal Assists,Key Passes (Attempt Assists),PutThrough/Blocked Distribution Won,Shots Created,Shots On Target ( inc goals ),Substitute On,Successful Corners into Box,Successful Crosses & Corners,Successful Lay-offs,Throw Ins to Opposition Player,Throw Ins to Own Player,Total Big Chances Created,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Yellow Cards,Blocked Shots,Overruns,Successful Dribbles,Successful Crosses open play,Unsuccessful lay-offs,Own Goal Scored,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Conceded,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Total Big Chances Saved,Goals,Goals Openplay,Goals from Inside Box,Offsides,Right Foot Goals,Total Big Chances Scored,Home Goals,Away Goals,Left Foot Goals,Catches,Clearances Off the Line,Penalties Taken,Total Big Chances Missed,Foul Won Penalty,Handballs conceded,Headed Goals,Through balls,Attempts from Set Pieces,Hit Woodwork,Saves made - caught,Penalty Goals,Second Goal Assists,Goals Conceded Outside Box,Straight Red Cards,Total Red Cards,Last Player Tackle,Drops,Goals from Outside Box,Red Cards - 2nd Yellow,Direct Setpiece Goals,Set Pieces Goals,Penalties Saved,Saves from Penalty
Canada_Canadian_Premier_League,2026,Forge FC,dk4hxgly4h793kwtwivjulhjo,A. Aromatario,Midfielder,23,9.0,4.0,5.0,6.0,59.0,2.0,64.0,5.0,74.0,35.0,39.0,72.0,80.0,8.0,,6.0,,1.0,1.0,65.0,31.0,34.0,19.0,91.0,289.0,1.0,27.0,14.0,37.0,64.0,1.0,6.0,,2.0,18.0,249.0,134.0,120.0,236.0,7.0,7.0,540.0,7.0,4.0,15.0,15.0,60.0,294.0,1.0,254.0,14.0,2.0,40.0,392.0,10.0,14.0,30.0,12.0,26.0,0.0,,1.0,1.0,,2.0,7.0,2.0,,,,,1.0,,,,1.0,2.0,1.0,2.0,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Forge FC,ia1dc8pctwpe0nsc4s7n4hjp,A. Batisse,Defender,8,14.0,6.0,8.0,6.0,19.0,2.0,72.0,5.0,42.0,16.0,26.0,22.0,116.0,4.0,,6.0,,1.0,1.0,28.0,10.0,18.0,6.0,61.0,295.0,1.0,35.0,6.0,25.0,109.0,1.0,6.0,,4.0,19.0,244.0,79.0,175.0,235.0,2.0,7.0,540.0,3.0,17.0,5.0,7.0,57.0,305.0,3.0,254.0,9.0,11.0,51.0,366.0,10.0,19.0,45.0,6.0,32.0,1.0,,,1.0,1.0,,3.0,1.0,2.0,,,,,,,1.0,,,,2.0,,,,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,0.0,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Forge FC,2zedqkn15thv6wx5xmgv48gd1,K. Bekker,Midfielder,10,,,,2.0,6.0,,1.0,,2.0,2.0,,3.0,2.0,,,2.0,,,,2.0,2.0,,,5.0,15.0,,1.0,1.0,,2.0,,,,,,14.0,8.0,6.0,14.0,,,23.0,2.0,1.0,,,4.0,15.0,,14.0,,,1.0,20.0,1.0,1.0,2.0,,,0.0,,1.0,,,,1.0,,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Forge FC,7t9ixlae5t9v8moc6brwcec4p,D. Bertaud,Goalkeeper,16,3.0,,3.0,6.0,,,8.0,5.0,3.0,,3.0,,56.0,,55.0,6.0,36.0,1.0,1.0,,,,,17.0,71.0,1.0,6.0,1.0,44.0,57.0,,6.0,,5.0,21.0,57.0,9.0,83.0,71.0,,,540.0,,2.0,,,41.0,130.0,,92.0,,,38.0,180.0,15.0,37.0,32.0,6.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,1.0,1.0,7.0,6.0,1.0,2.0,1.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,1.0,,,,,,
Canada_Canadian_Premier_League,2026,Forge FC,1t1ru5a3rkm90t5kw006dt5hw,N. Bickford,Defender,15,,,,2.0,,,1.0,,,,,,,,,2.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,,,3.0,,1.0,,,,1.0,,1.0,,,,3.0,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Forge FC,3w4755k36xb5u0rdvweqcu6wa,D. Bontis,Goalkeeper,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Forge FC,6d56vy4w9i65ye4c5t5txgkix,T. Borges,Forward,19,3.0,3.0,,6.0,41.0,,49.0,,51.0,29.0,22.0,134.0,34.0,5.0,,6.0,,1.0,1.0,48.0,26.0,22.0,3.0,53.0,140.0,1.0,31.0,9.0,21.0,18.0,6.0,5.0,5.0,1.0,8.0,107.0,96.0,29.0,104.0,3.0,7.0,372.0,16.0,1.0,7.0,6.0,85.0,146.0,7.0,112.0,10.0,19.0,34.0,259.0,1.0,3.0,45.0,7.0,31.0,0.0,,13.0,3.0,,8.0,2.0,8.0,1.0,1.0,3.0,13.0,6.0,,1.0,,8.0,18.0,8.0,6.0,,4.0,1.0,6.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Forge FC,5oh5azobd7sz85kn13stfz78q,M. Bourgeois,Midfielder,87,1.0,,1.0,5.0,6.0,,29.0,1.0,18.0,4.0,14.0,25.0,25.0,1.0,,5.0,,,,17.0,4.0,13.0,5.0,24.0,55.0,,16.0,3.0,8.0,3.0,,1.0,,1.0,6.0,38.0,14.0,27.0,35.0,4.0,4.0,124.0,3.0,2.0,1.0,4.0,34.0,58.0,,41.0,8.0,,17.0,109.0,1.0,2.0,17.0,4.0,15.0,0.0,,,1.0,,,2.0,,,4.0,,,,6.0,8.0,,,4.0,4.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Forge FC,7v7zo2bljd2zhlv0z1umstf6c,Z. Bruno,Defender,32,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,,,1.0,2.0,,1.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,2.0,2.0,,1.0,,,1.0,3.0,,,1.0,,1.0,0.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Forge FC,631zrdzlwdl3vr58yrqlbjpck,M. Filion,Forward,12,8.0,4.0,4.0,4.0,6.0,1.0,10.0,,25.0,16.0,9.0,28.0,9.0,2.0,,4.0,,,,17.0,12.0,5.0,2.0,4.0,28.0,,5.0,1.0,5.0,9.0,2.0,1.0,1.0,,1.0,21.0,13.0,9.0,20.0,,1.0,134.0,7.0,3.0,4.0,1.0,19.0,28.0,6.0,21.0,1.0,6.0,7.0,60.0,,1.0,5.0,2.0,6.0,1.0,,,2.0,,3.0,,3.0,4.0,3.0,,1.0,1.0,,,1.0,,,,3.0,,,,3.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,0.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
