liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Substitute On,Total Losses Of Possession,Total Fouls Conceded,Recoveries,Touches,Appearances,Index,Games Played,Handballs conceded,Open Play Passes,Corners Won,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Foul Attempted Tackle,Ground Duels,Forward Passes,Duels won,Successful Long Passes,Duels,Total Clearances,Goals Conceded,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Ground Duels won,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Successful Dribbles,Total Shots,Throw Ins to Opposition Player,Blocks,Total Touches In Opposition Box,Shots On Target ( inc goals ),Aerial Duels won,Interceptions,Unsuccessful Crosses open play,Throw Ins to Own Player,Successful Launches,Successful Crosses & Corners,Successful Corners into Box,Key Passes (Attempt Assists),Blocked Shots,Corners Taken (incl short corners),Total Fouls Won,Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Unsuccessful Corners into Box,Goals,Left Foot Goals,Goals from Inside Box,Tackles Lost,Saves Made,GK Successful Distribution,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Right Foot Goals,Yellow Cards,Goals from Outside Box,Successful Lay-offs,Attempts from Set Pieces,Successful Crosses open play,Foul Won Penalty,Penalties Taken,Penalty Goals,Assists (Intentional),Goal Assists,Through balls,Goals Conceded Outside Box,Penalty Goals Conceded,Offsides,Hit Woodwork,Penalties Saved,Penalties Faced,Saves from Penalty,Saves made - caught,Penalties Conceded,Total Red Cards,Red Cards - 2nd Yellow,Clearances Off the Line
Concacaf_Campeones_Cup,2019,Atlanta United FC,9i90uqmmz5zmi5m9tod2yse7d,Mohammed Adams,Midfielder,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,9crw9og5xe70mc0m1etggpdk9,E. Barco,Midfielder,8,1.0,1.0,2.0,1.0,1.0,2.0,1.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,5tz98dy8lh2p8a7mq3x9uagnp,F. Escobar,Defender,2,44.0,,6.0,2.0,2.0,18.0,1.0,10.0,1.0,1.0,15.0,1.0,2.0,5.0,1.0,3.0,1.0,5.0,1.0,3.0,16.0,1.0,9.0,1.0,6.0,1.0,4.0,1.0,1.0,2.0,1.0,4.0,9.0,1.0,1.0,5.0,1.0,1.0,3.0,4.0,10.0,10.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,7ruqyuqr8iil24sejip7mremt,L. González Pírez,Defender,5,90.0,,10.0,1.0,4.0,56.0,1.0,10.0,1.0,,39.0,,3.0,19.0,2.0,4.0,1.0,14.0,1.0,5.0,42.0,,24.0,2.0,9.0,8.0,5.0,1.0,3.0,4.0,1.0,3.0,23.0,3.0,9.0,5.0,1.0,2.0,1.0,8.0,31.0,33.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,d1e82ijf1k8jt10dxrrqfslw5,J. Gressel,Midfielder,24,90.0,,14.0,2.0,6.0,51.0,1.0,10.0,1.0,,22.0,,6.0,12.0,1.0,1.0,,7.0,3.0,3.0,22.0,,16.0,2.0,4.0,,8.0,1.0,2.0,2.0,,11.0,5.0,5.0,2.0,11.0,1.0,2.0,6.0,11.0,18.0,18.0,,3.0,6.0,5.0,1.0,,,,2.0,,1.0,,,1.0,3.0,9.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,26r7731d42flwc6ikxb90jxlh,B. Guzan,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,bkyxv0njobtuf80zatjpe53v9,E. Hyndman,Midfielder,16,90.0,,7.0,4.0,2.0,40.0,1.0,10.0,1.0,,34.0,,8.0,20.0,,1.0,2.0,11.0,1.0,2.0,34.0,,31.0,2.0,3.0,10.0,3.0,1.0,1.0,,2.0,6.0,9.0,1.0,,8.0,,2.0,5.0,7.0,31.0,31.0,2.0,,7.0,1.0,,,,1.0,,,3.0,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,agjzai69udbed9vhljq5f18lx,A. Kann,Goalkeeper,25,90.0,,4.0,,4.0,28.0,1.0,10.0,1.0,,12.0,,,1.0,1.0,4.0,,14.0,,,19.0,,11.0,2.0,4.0,5.0,2.0,1.0,,2.0,,,9.0,1.0,4.0,1.0,1.0,2.0,,5.0,11.0,15.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,4.0,2.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,29yzbetu0kz3siy9prkcesno5,J. Larentowicz,Midfielder,18,90.0,,5.0,4.0,8.0,41.0,1.0,10.0,1.0,,26.0,1.0,9.0,10.0,1.0,1.0,,17.0,3.0,3.0,31.0,,25.0,2.0,4.0,6.0,3.0,1.0,,1.0,3.0,9.0,13.0,6.0,2.0,10.0,,2.0,4.0,3.0,22.0,27.0,1.0,3.0,4.0,5.0,,,,1.0,,2.0,,1.0,1.0,,,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2019,Atlanta United FC,ddb6de7pli57w8z163ztwczx1,G. Martínez,Midfielder,10,89.0,,21.0,1.0,2.0,61.0,1.0,10.0,1.0,,28.0,2.0,6.0,20.0,,1.0,,5.0,2.0,9.0,32.0,1.0,17.0,2.0,10.0,3.0,14.0,1.0,1.0,,1.0,15.0,10.0,10.0,5.0,16.0,,2.0,6.0,13.0,20.0,22.0,1.0,2.0,6.0,9.0,,1.0,2.0,2.0,,,4.0,1.0,1.0,,2.0,1.0,,3.0,2.0,3.0,,4.0,5.0,3.0,4.0,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
