dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,CD Walter Ferretti,Concacaf Champions Cup,Defender,Nicaragua,13bztyprkq45s9n4y9biziuad,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/13bztyprkq45s9n4y9biziuad
7,,CD Walter Ferretti,Concacaf Champions Cup,Attacker,Nicaragua,13sx64i94tqrfoxj2zzd7bjyt,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/13sx64i94tqrfoxj2zzd7bjyt
,,CD Walter Ferretti,Concacaf Champions Cup,Defender,Nicaragua,143iwqxrgryg8i7utg809jahh,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/143iwqxrgryg8i7utg809jahh
,,CD Walter Ferretti,Concacaf Champions Cup,Defender,Honduras,1ivvnjodrroey99rt5cmhquad,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/1ivvnjodrroey99rt5cmhquad
,,CD Walter Ferretti,Concacaf Champions Cup,Midfielder,Nicaragua,2fygx7vgmfekoacnv3ozn6ok5,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/2fygx7vgmfekoacnv3ozn6ok5
16,,CD Walter Ferretti,Concacaf Champions Cup,Midfielder,Uruguay,2mdi1eokn0f20wwxsz3u8dmtx,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/2mdi1eokn0f20wwxsz3u8dmtx
25,,CD Walter Ferretti,Concacaf Champions Cup,Goalkeeper,Nicaragua,2n4abwrxnxpzqgaz4gd6fje1h,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/2n4abwrxnxpzqgaz4gd6fje1h
22,,CD Walter Ferretti,Concacaf Champions Cup,Defender,Uruguay,3bz86ytdtzup0gp1ud8k6rh05,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/3bz86ytdtzup0gp1ud8k6rh05
1,,CD Walter Ferretti,Concacaf Champions Cup,Goalkeeper,Nicaragua,3fxaaanvkzdmwrm0q179asb11,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/3fxaaanvkzdmwrm0q179asb11
21,,CD Walter Ferretti,Concacaf Champions Cup,Defender,Nicaragua,3g0dhyivg3lzdznfa9fx5k991,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/3g0dhyivg3lzdznfa9fx5k991
,,CD Walter Ferretti,Concacaf Champions Cup,,Costa Rica,3r1xdord3rrqe68dq6tibsa1h,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/3r1xdord3rrqe68dq6tibsa1h
20,,CD Walter Ferretti,Concacaf Champions Cup,Defender,Nicaragua,43oq2r218zxvrxpolpgwsde51,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/43oq2r218zxvrxpolpgwsde51
8,,CD Walter Ferretti,Concacaf Champions Cup,Attacker,Nicaragua,4666bkgc2xwf2h2wiemkcc5w5,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/4666bkgc2xwf2h2wiemkcc5w5
12,,CD Walter Ferretti,Concacaf Champions Cup,Midfielder,Nicaragua,4c24dv0sqvhy5g7p1lzed621h,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/4c24dv0sqvhy5g7p1lzed621h
,,CD Walter Ferretti,Concacaf Champions Cup,Defender,Nicaragua,4eb291gw9imdaloq4ji77jumt,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/4eb291gw9imdaloq4ji77jumt
,,CD Walter Ferretti,Concacaf Champions Cup,Midfielder,Nicaragua,4jlb36t7c5rilgvxfmko48s7p,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/4jlb36t7c5rilgvxfmko48s7p
23,,CD Walter Ferretti,Concacaf Champions Cup,Defender,Nicaragua,5bq86qwzqs422x3vns7mk7u95,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/5bq86qwzqs422x3vns7mk7u95
11,,CD Walter Ferretti,Concacaf Champions Cup,Attacker,Nicaragua,6c008nc6ucv45dy4q5a77mnrp,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/6c008nc6ucv45dy4q5a77mnrp
4,,CD Walter Ferretti,Concacaf Champions Cup,Defender,Colombia,6vqlqua5xr7d0xdy1o6w5xj9x,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/6vqlqua5xr7d0xdy1o6w5xj9x
17,,CD Walter Ferretti,Concacaf Champions Cup,Attacker,Colombia,6zvdd90q4xw2ouc0vmqw3smol,49drlzu5t8uimbs1uci5bebze,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/49drlzu5t8uimbs1uci5bebze/player/view/6zvdd90q4xw2ouc0vmqw3smol
