dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
31,,Los Angeles Galaxy,Concacaf Champions Cup,Goalkeeper,USA,17b0u7yvdb4rthuzq1u4lks89,6qr5y32dthc4dqycckwmfj1si,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/17b0u7yvdb4rthuzq1u4lks89
7,,Los Angeles Galaxy,Concacaf Champions Cup,Attacker,Republic of Ireland,1f4uhbkdhji7yu4swd35tqpjp,6qr5y32dthc4dqycckwmfj1si,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/1f4uhbkdhji7yu4swd35tqpjp
,,Los Angeles Galaxy,Concacaf Champions Cup,Defender,USA,1zt4jb3cd9yqr3sr9mlajdnth,6qr5y32dthc4dqycckwmfj1si,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/1zt4jb3cd9yqr3sr9mlajdnth
,,Los Angeles Galaxy,Concacaf Champions Cup,Attacker,Costa Rica,206pq3zqgobudaa5dfy93psr9,6qr5y32dthc4dqycckwmfj1si,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/206pq3zqgobudaa5dfy93psr9
19,Juninho Pereira,Los Angeles Galaxy,Concacaf Champions Cup,Midfielder,Brazil,24wsxjaqzt7ep845sc71u8ct1,6qr5y32dthc4dqycckwmfj1si,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/24wsxjaqzt7ep845sc71u8ct1
22,Leonardo,Los Angeles Galaxy,Concacaf Champions Cup,Defender,Brazil,2549kn039x6iee2381nveyh1x,6qr5y32dthc4dqycckwmfj1si,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/2549kn039x6iee2381nveyh1x
,,Los Angeles Galaxy,Concacaf Champions Cup,Midfielder,USA,29yzbetu0kz3siy9prkcesno5,6qr5y32dthc4dqycckwmfj1si,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/29yzbetu0kz3siy9prkcesno5
5,,Los Angeles Galaxy,Concacaf Champions Cup,Attacker,USA,430jtuvon7l6plhlrdxb6jbv9,6qr5y32dthc4dqycckwmfj1si,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/430jtuvon7l6plhlrdxb6jbv9
,,Los Angeles Galaxy,Concacaf Champions Cup,Goalkeeper,USA,433q63owl44idaiwoyukl94np,6qr5y32dthc4dqycckwmfj1si,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/433q63owl44idaiwoyukl94np
3,,Los Angeles Galaxy,Concacaf Champions Cup,Midfielder,Finland,450ywqxcimmsa3ydocw1gbi6t,6qr5y32dthc4dqycckwmfj1si,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/450ywqxcimmsa3ydocw1gbi6t
27,,Los Angeles Galaxy,Concacaf Champions Cup,Defender,USA,49hih9ka1cljgkihamec6b17t,6qr5y32dthc4dqycckwmfj1si,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/49hih9ka1cljgkihamec6b17t
37,,Los Angeles Galaxy,Concacaf Champions Cup,Defender,Belgium,593id2upikqdheoe48mk91gwl,6qr5y32dthc4dqycckwmfj1si,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/6qr5y32dthc4dqycckwmfj1si/player/view/593id2upikqdheoe48mk91gwl
