dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
19,,Montego Bay United FC,Concacaf Champions Cup,Attacker,Jamaica,10zetaxr1rl2djf9evv80xjhl,a7exfko2i2xgo46s13mh26k2a,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/a7exfko2i2xgo46s13mh26k2a/player/view/10zetaxr1rl2djf9evv80xjhl
4,,Montego Bay United FC,Concacaf Champions Cup,Defender,Jamaica,16ssg226memp06bzzuvct25ed,a7exfko2i2xgo46s13mh26k2a,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/a7exfko2i2xgo46s13mh26k2a/player/view/16ssg226memp06bzzuvct25ed
,,Montego Bay United FC,Concacaf Champions Cup,Midfielder,Jamaica,19re27yuqrz9lz8axaoisaw2d,a7exfko2i2xgo46s13mh26k2a,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/a7exfko2i2xgo46s13mh26k2a/player/view/19re27yuqrz9lz8axaoisaw2d
25,,Montego Bay United FC,Concacaf Champions Cup,Midfielder,Jamaica,1a9b1cjo7x4hkmhaab8xdpqs5,a7exfko2i2xgo46s13mh26k2a,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/a7exfko2i2xgo46s13mh26k2a/player/view/1a9b1cjo7x4hkmhaab8xdpqs5
6,,Montego Bay United FC,Concacaf Champions Cup,Midfielder,Jamaica,4z77blc5y53i5d55gmizx9yol,a7exfko2i2xgo46s13mh26k2a,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/a7exfko2i2xgo46s13mh26k2a/player/view/4z77blc5y53i5d55gmizx9yol
3,,Montego Bay United FC,Concacaf Champions Cup,Defender,Jamaica,51eijxcn596c4pu6gtz4zuqj9,a7exfko2i2xgo46s13mh26k2a,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/a7exfko2i2xgo46s13mh26k2a/player/view/51eijxcn596c4pu6gtz4zuqj9
45,,Montego Bay United FC,Concacaf Champions Cup,Attacker,Jamaica,5eeizjecfiz2hb0b3exky300l,a7exfko2i2xgo46s13mh26k2a,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/a7exfko2i2xgo46s13mh26k2a/player/view/5eeizjecfiz2hb0b3exky300l
,,Montego Bay United FC,Concacaf Champions Cup,,Serbia,5kvlfh30cd0vw8ypxnbsc8dzp,a7exfko2i2xgo46s13mh26k2a,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/a7exfko2i2xgo46s13mh26k2a/player/view/5kvlfh30cd0vw8ypxnbsc8dzp
1,,Montego Bay United FC,Concacaf Champions Cup,Midfielder,Jamaica,6k5pkrdqybhkmusbc5gragnhl,a7exfko2i2xgo46s13mh26k2a,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/a7exfko2i2xgo46s13mh26k2a/player/view/6k5pkrdqybhkmusbc5gragnhl
,,Montego Bay United FC,Concacaf Champions Cup,Midfielder,Jamaica,6rjefxqk7pbyo9ptyer4wcdt5,a7exfko2i2xgo46s13mh26k2a,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/a7exfko2i2xgo46s13mh26k2a/player/view/6rjefxqk7pbyo9ptyer4wcdt5
,,Montego Bay United FC,Concacaf Champions Cup,,Jamaica,7futj8onamhfntz3i3h1ljpih,a7exfko2i2xgo46s13mh26k2a,e6rl4hongahbihxd3tpudespd,5t5h84k58wq1fek7w7hntmcbt,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2015-2016/5t5h84k58wq1fek7w7hntmcbt/teams/view/a7exfko2i2xgo46s13mh26k2a/player/view/7futj8onamhfntz3i3h1ljpih
