root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Substitute On,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Saves Made,GK Successful Distribution,Penalties Conceded,Total Fouls Conceded,Rightside Passes,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Yellow Cards,PutThrough/Blocked Distribution Won,Substitute Off,Corners Taken (incl short corners),Foul Attempted Tackle,Aerial Duels won,Unsuccessful Dribbles,Offsides,Shots Off Target (inc woodwork),Total Shots,Total Touches In Opposition Box,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goal Assists,Goals,Blocked Shots,Shots On Target ( inc goals ),Left Foot Goals,Headed Goals,Goals from Inside Box,Set Pieces Goals,Successful Corners into Box,Goals from Outside Box,Attempts from Set Pieces,Clearances Off the Line,Hit Woodwork,Unsuccessful lay-offs,Successful Lay-offs,Clean Sheets,Punches,Total Red Cards,Straight Red Cards,Crosses not Claimed,Through balls,Own Goal Scored,Right Foot Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Goals Conceded Outside Box,Goalkeeper Smother,Red Cards - 2nd Yellow,Penalties Saved,Saves from Penalty,Last Man Tackle,Other Goals
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,6568u7mdmyrhbw01cyhjomket,H. Acosta,Defender,42,2.0,360.0,36.0,,6.0,150.0,,14.0,3.0,62.0,9.0,16.0,1.0,69.0,48.0,9.0,30.0,153.0,,89.0,7.0,46.0,4.0,36.0,6.0,22.0,4.0,6.0,12.0,251.0,4.0,,26.0,69.0,45.0,16.0,18.0,3.0,5.0,29.0,6.0,7.0,2.0,4.0,12.0,4.0,105.0,107.0,3.0,7.0,13.0,2.0,9.0,14.0,,,,2.0,66.0,,,,,,,,,1.0,2.0,,,1.0,2.0,5.0,,,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,azdmjahhml9y1dxoe5cy00k5,C. Álvarez,Goalkeeper,1,,180.0,,,6.0,10.0,,,,12.0,12.0,27.0,,30.0,9.0,,1.0,49.0,,4.0,4.0,28.0,,23.0,,19.0,2.0,,5.0,71.0,2.0,,1.0,46.0,62.0,1.0,17.0,,1.0,2.0,4.0,4.0,,2.0,1.0,1.0,2.0,21.0,1.0,,1.0,,,,9.0,11.0,,,2.0,1.0,,2.0,7.0,7.0,,,8.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,dbju3ro29dlcp1zva5sr4idhx,H. Archila,Forward,99,,57.0,,1.0,,12.0,2.0,2.0,,5.0,,1.0,,9.0,2.0,2.0,4.0,12.0,1.0,7.0,1.0,5.0,,5.0,,1.0,1.0,2.0,,22.0,2.0,,10.0,5.0,40.0,5.0,,,1.0,11.0,,1.0,,2.0,6.0,3.0,7.0,7.0,1.0,1.0,6.0,1.0,1.0,4.0,,,,2.0,2.0,,,,,,,,,,1.0,1.0,,2.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,cl2219476zvxgd14uxof3oi5l,C. Avedissian,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,c3g04zl5bcusf5iusmvh19qs5,S. Betancourt,Defender,19,,165.0,,,,67.0,,4.0,,24.0,4.0,7.0,1.0,19.0,29.0,4.0,9.0,69.0,,39.0,3.0,16.0,2.0,13.0,,9.0,3.0,,3.0,90.0,3.0,,14.0,25.0,10.0,8.0,14.0,,2.0,17.0,1.0,3.0,,3.0,8.0,21.0,51.0,53.0,3.0,2.0,9.0,2.0,4.0,6.0,,,,4.0,19.0,,,,,,,,,,,2.0,,4.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,1t9g972135e2vop3fuhtcwlhx,V. Bolívar,Goalkeeper,30,,180.0,,,2.0,10.0,,,,12.0,6.0,19.0,,22.0,11.0,,1.0,43.0,,9.0,3.0,20.0,,17.0,,15.0,2.0,1.0,3.0,56.0,2.0,,1.0,34.0,22.0,,14.0,,,1.0,2.0,3.0,,2.0,1.0,5.0,6.0,23.0,,,1.0,,,,3.0,18.0,,,4.0,,,1.0,1.0,2.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,e575yrskgvbkxbmvj5nxfudw5,F. Castillo,Forward,27,8.0,190.0,5.0,1.0,2.0,37.0,1.0,5.0,1.0,16.0,,,9.0,42.0,5.0,3.0,18.0,38.0,2.0,17.0,2.0,18.0,,22.0,1.0,4.0,2.0,3.0,4.0,84.0,3.0,,16.0,18.0,18.0,13.0,3.0,1.0,4.0,29.0,,2.0,8.0,3.0,7.0,9.0,20.0,20.0,13.0,2.0,16.0,1.0,,9.0,,,,2.0,6.0,,,,,,,,,2.0,1.0,1.0,,1.0,4.0,3.0,4.0,4.0,4.0,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,6arhlk3kabe5msgda7zo2pql1,A. Galindo,Midfielder,13,3.0,329.0,,,1.0,151.0,3.0,10.0,1.0,64.0,1.0,7.0,3.0,67.0,46.0,14.0,39.0,155.0,4.0,92.0,7.0,46.0,1.0,39.0,,30.0,4.0,4.0,11.0,219.0,4.0,,47.0,71.0,28.0,33.0,17.0,1.0,8.0,57.0,4.0,7.0,4.0,4.0,21.0,30.0,105.0,109.0,10.0,13.0,24.0,1.0,5.0,26.0,,,,7.0,44.0,,,,,,,,,,2.0,2.0,1.0,5.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,ei2t8ocllmd62y7d2tnp667dh,R. González,Defender,4,,90.0,,,2.0,21.0,,1.0,,2.0,8.0,8.0,,13.0,9.0,3.0,4.0,23.0,,9.0,3.0,12.0,,5.0,,3.0,1.0,1.0,7.0,34.0,1.0,,4.0,15.0,16.0,5.0,2.0,,1.0,5.0,3.0,3.0,,1.0,,3.0,9.0,11.0,1.0,1.0,,2.0,4.0,4.0,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,xtqx9it9lfixxx2c3yagq21h,D. Guerra,Goalkeeper,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
