root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Substitute On,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Saves Made,GK Successful Distribution,Penalties Conceded,Total Fouls Conceded,Rightside Passes,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Yellow Cards,PutThrough/Blocked Distribution Won,Substitute Off,Corners Taken (incl short corners),Foul Attempted Tackle,Aerial Duels won,Unsuccessful Dribbles,Offsides,Shots Off Target (inc woodwork),Total Shots,Total Touches In Opposition Box,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goal Assists,Goals,Blocked Shots,Shots On Target ( inc goals ),Left Foot Goals,Headed Goals,Goals from Inside Box,Set Pieces Goals,Successful Corners into Box,Goals from Outside Box,Attempts from Set Pieces,Clearances Off the Line,Hit Woodwork,Unsuccessful lay-offs,Successful Lay-offs,Clean Sheets,Punches,Total Red Cards,Straight Red Cards,Crosses not Claimed,Through balls,Own Goal Scored,Right Foot Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Goals Conceded Outside Box,Goalkeeper Smother,Red Cards - 2nd Yellow,Penalties Saved,Saves from Penalty,Last Man Tackle,Other Goals
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,6k22ppzw6wv0c4gskzxk28fyt,K. Acosta,Defender,23,3.0,436.0,,2.0,,212.0,2.0,24.0,8.0,106.0,,9.0,7.0,78.0,77.0,11.0,36.0,220.0,1.0,159.0,3.0,45.0,10.0,57.0,,32.0,5.0,9.0,7.0,314.0,7.0,1.0,35.0,99.0,53.0,20.0,16.0,5.0,8.0,42.0,3.0,4.0,19.0,7.0,15.0,41.0,168.0,175.0,7.0,8.0,22.0,3.0,10.0,20.0,,,,11.0,56.0,,,,,,,,,1.0,5.0,3.0,16.0,5.0,,1.0,,4.0,8.0,7.0,10.0,2.0,,,3.0,4.0,4.0,,,1.0,1.0,3.0,2.0,2.0,,,,3.0,1.0,,,,,,,3.0,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,83180uf8plty9hjlnxzqg9gph,T. Akindele,Forward,13,3.0,349.0,1.0,5.0,,105.0,2.0,32.0,3.0,63.0,,2.0,5.0,44.0,26.0,5.0,19.0,107.0,5.0,79.0,4.0,21.0,10.0,23.0,,17.0,3.0,3.0,1.0,163.0,8.0,1.0,35.0,17.0,59.0,21.0,7.0,3.0,6.0,45.0,2.0,7.0,3.0,8.0,19.0,20.0,85.0,86.0,10.0,3.0,24.0,2.0,,16.0,,,,9.0,38.0,,,,,,,,,,2.0,1.0,,4.0,5.0,3.0,,3.0,4.0,14.0,,,1.0,2.0,,3.0,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,3.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,dydf4f8bayx4h8i4xpjif3hzp,Getterson,Forward,9,6.0,244.0,,,,60.0,1.0,25.0,1.0,37.0,,1.0,4.0,30.0,15.0,5.0,11.0,63.0,2.0,49.0,2.0,12.0,2.0,16.0,,12.0,3.0,2.0,2.0,110.0,3.0,,16.0,15.0,50.0,17.0,2.0,1.0,4.0,26.0,,3.0,6.0,3.0,5.0,8.0,48.0,51.0,10.0,3.0,9.0,2.0,6.0,11.0,,,,4.0,15.0,,,,,,,,,,2.0,2.0,,3.0,6.0,,2.0,5.0,7.0,12.0,,,,,,1.0,2.0,,,,,,,,,,,3.0,1.0,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,1k3vd2f0e8r92fqkg5981y66t,M. Barrios,Forward,21,15.0,436.0,3.0,2.0,1.0,102.0,5.0,30.0,2.0,62.0,,1.0,6.0,79.0,18.0,6.0,24.0,103.0,9.0,77.0,3.0,25.0,4.0,38.0,,15.0,5.0,7.0,3.0,209.0,7.0,,47.0,25.0,48.0,25.0,1.0,1.0,8.0,55.0,1.0,3.0,16.0,7.0,24.0,26.0,77.0,78.0,8.0,6.0,30.0,,1.0,23.0,,,,4.0,22.0,,,,,,,,,,3.0,4.0,3.0,3.0,2.0,9.0,2.0,3.0,8.0,29.0,1.0,,,,2.0,7.0,5.0,1.0,,2.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,3ebyf23azgbktpf7dgwlphkvd,R. Cannon,Defender,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,8trnw9hm1jmhbacabzpm5iqqd,C. Cermeño,Midfielder,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,egv32cai8dzoconq0xug5d61h,C. Colmán,Forward,9,1.0,289.0,,1.0,,39.0,5.0,14.0,,17.0,1.0,2.0,9.0,43.0,9.0,1.0,17.0,45.0,2.0,26.0,4.0,19.0,1.0,19.0,,7.0,3.0,2.0,1.0,91.0,4.0,,26.0,18.0,61.0,22.0,,,8.0,46.0,,6.0,1.0,4.0,15.0,5.0,20.0,26.0,20.0,1.0,24.0,,,11.0,,,,5.0,8.0,,,,,,,,,,1.0,2.0,,1.0,11.0,4.0,3.0,3.0,7.0,13.0,,,,,2.0,1.0,4.0,,1.0,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,2.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,7y2l1sdm56aj3n9y8ehbr7g7p,C. Craft,Forward,16,4.0,56.0,,,,27.0,2.0,9.0,,20.0,,,1.0,9.0,3.0,,4.0,27.0,,23.0,,4.0,,8.0,,4.0,1.0,,,37.0,1.0,,2.0,9.0,69.0,,,,,3.0,,,4.0,1.0,2.0,3.0,23.0,23.0,1.0,,3.0,,1.0,,,,,1.0,6.0,,,,,,,,,,,1.0,,1.0,,,,3.0,4.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,7ityxcw7wapkueginni0klot1,A. David,Defender,2,2.0,179.0,24.0,,,90.0,,24.0,1.0,45.0,1.0,4.0,1.0,22.0,35.0,8.0,11.0,94.0,,74.0,,15.0,2.0,14.0,1.0,8.0,2.0,2.0,3.0,142.0,2.0,,13.0,37.0,58.0,12.0,5.0,1.0,1.0,17.0,1.0,1.0,2.0,2.0,4.0,23.0,77.0,79.0,4.0,6.0,5.0,2.0,5.0,9.0,,,,2.0,10.0,,,,,,,,,,1.0,,,1.0,3.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,d5hgq9en54sht3iy363fe2imt,M. Díaz,Midfielder,10,,90.0,,,,64.0,1.0,8.0,1.0,37.0,,3.0,1.0,24.0,18.0,7.0,10.0,67.0,5.0,48.0,1.0,13.0,6.0,17.0,,6.0,1.0,1.0,,103.0,1.0,,20.0,26.0,80.0,18.0,6.0,,6.0,21.0,,1.0,4.0,1.0,2.0,17.0,52.0,54.0,1.0,4.0,3.0,3.0,,18.0,,,,,16.0,,,,,,,,,1.0,,,3.0,,,,,1.0,1.0,1.0,3.0,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
