root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Substitute On,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Saves Made,GK Successful Distribution,Penalties Conceded,Total Fouls Conceded,Rightside Passes,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Yellow Cards,PutThrough/Blocked Distribution Won,Substitute Off,Corners Taken (incl short corners),Foul Attempted Tackle,Aerial Duels won,Unsuccessful Dribbles,Offsides,Shots Off Target (inc woodwork),Total Shots,Total Touches In Opposition Box,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goal Assists,Goals,Blocked Shots,Shots On Target ( inc goals ),Left Foot Goals,Headed Goals,Goals from Inside Box,Set Pieces Goals,Successful Corners into Box,Goals from Outside Box,Attempts from Set Pieces,Clearances Off the Line,Hit Woodwork,Unsuccessful lay-offs,Successful Lay-offs,Clean Sheets,Punches,Total Red Cards,Straight Red Cards,Crosses not Claimed,Through balls,Own Goal Scored,Right Foot Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Goals Conceded Outside Box,Goalkeeper Smother,Red Cards - 2nd Yellow,Penalties Saved,Saves from Penalty,Last Man Tackle,Other Goals
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Real Estelí FC,Real_Estelí_FC,93968j5srscby252qi5ulkl3p,J. Berdún,Midfielder,8,,31.0,,1.0,,4.0,,,,2.0,,,,4.0,1.0,1.0,1.0,4.0,1.0,3.0,,1.0,,,,3.0,,1.0,1.0,15.0,1.0,1.0,9.0,1.0,95.0,6.0,,,4.0,9.0,,,,1.0,3.0,1.0,3.0,3.0,,,3.0,1.0,,6.0,,,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,2.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Real Estelí FC,Real_Estelí_FC,3fpcgzgtvf4fmd1os2qw0o991,R. Calero,Forward,11,,120.0,,2.0,,33.0,,5.0,,19.0,1.0,2.0,6.0,15.0,6.0,,8.0,35.0,1.0,24.0,1.0,10.0,2.0,10.0,,6.0,1.0,1.0,,45.0,3.0,,6.0,11.0,14.0,5.0,1.0,,2.0,14.0,1.0,2.0,,3.0,3.0,11.0,23.0,25.0,8.0,,9.0,,,3.0,,,,3.0,8.0,,,,,,,,,1.0,1.0,1.0,,2.0,2.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Real Estelí FC,Real_Estelí_FC,8drco95qrn6acniz4y4k9dl1x,J. Casco,Midfielder,4,,270.0,1.0,,1.0,102.0,,3.0,,20.0,7.0,14.0,4.0,30.0,60.0,5.0,10.0,104.0,,73.0,1.0,24.0,,15.0,1.0,10.0,3.0,2.0,9.0,136.0,3.0,1.0,18.0,46.0,29.0,11.0,7.0,,5.0,23.0,4.0,3.0,,3.0,8.0,43.0,79.0,80.0,5.0,4.0,12.0,1.0,8.0,10.0,,,,4.0,12.0,,,,,,,,,,2.0,,,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Real Estelí FC,Real_Estelí_FC,7f0xnhmw1px8x612rf7oiwbmd,L. Copete,Defender,2,,360.0,,,2.0,195.0,,6.0,,37.0,18.0,31.0,1.0,55.0,116.0,7.0,15.0,199.0,,118.0,3.0,46.0,2.0,23.0,,19.0,4.0,2.0,23.0,251.0,4.0,4.0,12.0,81.0,47.0,11.0,35.0,,1.0,17.0,16.0,5.0,,4.0,5.0,62.0,149.0,153.0,5.0,6.0,6.0,1.0,13.0,7.0,,,,4.0,50.0,,,,,,,,,,2.0,,,3.0,4.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Real Estelí FC,Real_Estelí_FC,6js2rz7uysep3ahwgyizl542d,L. Galeano,Midfielder,17,,159.0,,1.0,,27.0,1.0,11.0,1.0,14.0,,,4.0,16.0,8.0,,7.0,28.0,,21.0,,7.0,1.0,7.0,,4.0,2.0,1.0,,43.0,3.0,,10.0,5.0,8.0,,,1.0,,14.0,,1.0,,3.0,10.0,4.0,20.0,21.0,4.0,,14.0,,,,,,,4.0,8.0,,,,,,,,,1.0,,1.0,,2.0,,2.0,2.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Real Estelí FC,Real_Estelí_FC,7kapiv9ke9vvuzenht845ybpx,B. García,Midfielder,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Real Estelí FC,Real_Estelí_FC,3g3j9l0vl4cbq26osioyiytp1,Franklin López,Midfielder,15,1.0,270.0,1.0,,,149.0,1.0,17.0,,64.0,3.0,7.0,2.0,33.0,66.0,6.0,20.0,157.0,,106.0,2.0,27.0,2.0,22.0,,17.0,3.0,6.0,9.0,182.0,3.0,1.0,13.0,28.0,40.0,6.0,24.0,,,15.0,2.0,4.0,4.0,3.0,7.0,55.0,122.0,130.0,2.0,4.0,9.0,2.0,5.0,6.0,,,,4.0,57.0,,,,,,,,,2.0,1.0,,3.0,4.0,,,,2.0,2.0,1.0,3.0,,1.0,1.0,,,,,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,2.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Real Estelí FC,Real_Estelí_FC,8b2e92e03k5j7tn365lupn0t1,J. Llorente,Goalkeeper,1,,360.0,,,1.0,17.0,,,,4.0,10.0,27.0,,28.0,24.0,,,55.0,1.0,20.0,3.0,27.0,,22.0,,29.0,4.0,,5.0,86.0,4.0,,1.0,40.0,39.0,2.0,8.0,,1.0,2.0,1.0,5.0,,4.0,,10.0,10.0,28.0,1.0,,,,,1.0,12.0,28.0,,,5.0,,,7.0,3.0,5.0,,1.0,9.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Real Estelí FC,Real_Estelí_FC,315kqd6crp8sbs9mkna7tdrdh,E. López,Midfielder,14,1.0,132.0,3.0,,,29.0,,12.0,1.0,10.0,2.0,5.0,,17.0,12.0,4.0,3.0,29.0,,19.0,1.0,8.0,,7.0,3.0,7.0,2.0,1.0,2.0,54.0,2.0,,12.0,8.0,48.0,7.0,2.0,,2.0,13.0,,2.0,1.0,2.0,6.0,,21.0,21.0,1.0,3.0,6.0,1.0,1.0,6.0,,,,,9.0,,,,,,,,,,,2.0,,,1.0,2.0,,,1.0,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Real Estelí FC,Real_Estelí_FC,475i6gbepvzxle9lukxf6hhhx,M. López,Midfielder,21,,90.0,,,1.0,38.0,,3.0,,15.0,,4.0,2.0,12.0,14.0,1.0,6.0,39.0,,14.0,1.0,10.0,,5.0,,3.0,1.0,,5.0,48.0,1.0,,6.0,4.0,33.0,4.0,15.0,,3.0,8.0,,1.0,,1.0,2.0,12.0,29.0,29.0,2.0,1.0,4.0,,1.0,4.0,,,,1.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
