equipo,link,logo,cod_equipo,cod_liga,liga
Alianza FC,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2019/49m6qs7bfor137jilbfgnxy7e/teams/alianza-fc/afuoxixzmtsj98rh1q644jnvt,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=afuoxixzmtsj98rh1q644jnvt,afuoxixzmtsj98rh1q644jnvt,49m6qs7bfor137jilbfgnxy7e,concacaf-champions-cup-2019
Atlanta United FC,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2019/49m6qs7bfor137jilbfgnxy7e/teams/atlanta-united-fc/943ue6l8ylnidoygbi9p8op2h,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=943ue6l8ylnidoygbi9p8op2h,943ue6l8ylnidoygbi9p8op2h,49m6qs7bfor137jilbfgnxy7e,concacaf-champions-cup-2019
CA Independiente de La Chorrera,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2019/49m6qs7bfor137jilbfgnxy7e/teams/ca-independiente-de-la-chorrera/9dsz4gr440muwjq4ptjfk9viq,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=9dsz4gr440muwjq4ptjfk9viq,9dsz4gr440muwjq4ptjfk9viq,49m6qs7bfor137jilbfgnxy7e,concacaf-champions-cup-2019
CD Marathón,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2019/49m6qs7bfor137jilbfgnxy7e/teams/cd-marathón/3uvgyybl5iiwgh8axx7oirynd,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=3uvgyybl5iiwgh8axx7oirynd,3uvgyybl5iiwgh8axx7oirynd,49m6qs7bfor137jilbfgnxy7e,concacaf-champions-cup-2019
CF Monterrey,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2019/49m6qs7bfor137jilbfgnxy7e/teams/cf-monterrey/233335xtoe3e3phg3hp91xguq,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=233335xtoe3e3phg3hp91xguq,233335xtoe3e3phg3hp91xguq,49m6qs7bfor137jilbfgnxy7e,concacaf-champions-cup-2019
CS Herediano,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2019/49m6qs7bfor137jilbfgnxy7e/teams/cs-herediano/1fmcyqtq6gm7ju3g6xisk7aw0,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=1fmcyqtq6gm7ju3g6xisk7aw0,1fmcyqtq6gm7ju3g6xisk7aw0,49m6qs7bfor137jilbfgnxy7e,concacaf-champions-cup-2019
Club Atlético Pantoja,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2019/49m6qs7bfor137jilbfgnxy7e/teams/club-atlético-pantoja/oofxvbs6y39bsrj5n8xlelpe,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=oofxvbs6y39bsrj5n8xlelpe,oofxvbs6y39bsrj5n8xlelpe,49m6qs7bfor137jilbfgnxy7e,concacaf-champions-cup-2019
Club Santos Laguna,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2019/49m6qs7bfor137jilbfgnxy7e/teams/club-santos-laguna/8yn3l36qkq1fxbw4ufmwyfyt9,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=8yn3l36qkq1fxbw4ufmwyfyt9,8yn3l36qkq1fxbw4ufmwyfyt9,49m6qs7bfor137jilbfgnxy7e,concacaf-champions-cup-2019
Club Tigres UANL,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2019/49m6qs7bfor137jilbfgnxy7e/teams/club-tigres-uanl/6hmo9mrlz73nwxkshwuu5vsfm,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=6hmo9mrlz73nwxkshwuu5vsfm,6hmo9mrlz73nwxkshwuu5vsfm,49m6qs7bfor137jilbfgnxy7e,concacaf-champions-cup-2019
Deportivo Guastatoya,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2019/49m6qs7bfor137jilbfgnxy7e/teams/deportivo-guastatoya/2ozcdh9zm10tjkn3lnel9k4wd,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=2ozcdh9zm10tjkn3lnel9k4wd,2ozcdh9zm10tjkn3lnel9k4wd,49m6qs7bfor137jilbfgnxy7e,concacaf-champions-cup-2019
