liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Penalties Conceded,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Short Passes,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Games Played,Ground Duels lost,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Unsuccessful Crosses open play,Successful Lay-offs,Corners Won,Yellow Cards,Penalty Goals Conceded,Successful Dribbles,Goals Conceded Inside Box,Shots On Target ( inc goals ),Successful Long Passes,Unsuccessful Dribbles,Goals Conceded,Unsuccessful Crosses & Corners,Hit Woodwork,Leftside Passes,Clean Sheets,Substitute On,Blocks,Saves Made,GK Successful Distribution,Successful Launches,Punches,Penalties Saved,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,GK Unsuccessful Distribution,Offsides,Throw Ins to Own Player,Successful Crosses & Corners,Throw Ins to Opposition Player,Successful Crosses open play,Blocked Shots,Corners Taken (incl short corners),Unsuccessful Corners into Box,Attempts from Set Pieces,Successful Corners into Box,Goals Conceded Outside Box,Handballs conceded,Assists (Intentional),Goal Assists,Through balls,Goals,Headed Goals,Clearances Off the Line,Goals from Inside Box,Right Foot Goals,Goals from Outside Box,Left Foot Goals,Catches,Saves made - caught,Unsuccessful lay-offs,Second Goal Assists,Goalkeeper Smother,Drops,Foul Won Penalty,Set Pieces Goals,Penalties Taken,Penalty Goals,Last Man Tackle,Own Goal Scored,Penalties Off Target,Total Red Cards,Straight Red Cards
Concacaf_Concacaf_Champions_Cup,2019,Club Tigres UANL,8f8h57y9u27itkkdehbdss4b9,J. Aquino,Midfielder,20,355.0,,126.0,37.0,86.0,4.0,6.0,2.0,4.0,2.0,43.0,31.0,8.0,11.0,131.0,1.0,5.0,110.0,7.0,17.0,55.0,4.0,26.0,17.0,3.0,6.0,5.0,205.0,7.0,2.0,32.0,32.0,11.0,35.0,22.0,13.0,1.0,35.0,,7.0,11.0,110.0,114.0,3.0,8.0,13.0,,4.0,21.0,12.0,2.0,2.0,,,,4.0,3.0,4.0,3.0,4.0,14.0,,7.0,,4.0,,,,1.0,,,,,,,,,,7.0,3.0,2.0,2.0,1.0,5.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Tigres UANL,6stnu5c38qqzze7xbyrfwb74l,H. Ayala,Defender,4,612.0,1.0,453.0,26.0,95.0,24.0,38.0,1.0,1.0,14.0,70.0,302.0,15.0,25.0,460.0,1.0,7.0,348.0,1.0,63.0,84.0,1.0,44.0,32.0,7.0,2.0,20.0,537.0,7.0,4.0,31.0,174.0,8.0,61.0,39.0,9.0,16.0,61.0,18.0,7.0,8.0,391.0,397.0,30.0,9.0,22.0,6.0,12.0,23.0,1.0,,3.0,2.0,1.0,,6.0,,49.0,,6.0,1.0,,176.0,3.0,,5.0,,,9.0,,,,,,,,,,1.0,,,,2.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Tigres UANL,evk0esdocrzt5zxqmv4ostdcl,J. Damm,Midfielder,25,99.0,,28.0,6.0,19.0,,,1.0,,,24.0,5.0,2.0,5.0,29.0,1.0,5.0,24.0,,5.0,5.0,4.0,13.0,,1.0,3.0,,55.0,3.0,3.0,14.0,6.0,9.0,40.0,9.0,1.0,5.0,19.0,,3.0,10.0,23.0,24.0,5.0,2.0,10.0,,1.0,4.0,8.0,1.0,2.0,,1.0,1.0,1.0,,,3.0,1.0,8.0,,12.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Tigres UANL,d9y2nzwk6kkcejglaa4kxeuvp,Rafael Carioca,Midfielder,5,679.0,,475.0,87.0,233.0,1.0,13.0,3.0,6.0,1.0,78.0,226.0,14.0,35.0,503.0,4.0,10.0,416.0,7.0,48.0,144.0,11.0,53.0,58.0,8.0,5.0,9.0,601.0,8.0,5.0,51.0,126.0,1.0,52.0,34.0,8.0,4.0,56.0,4.0,8.0,21.0,432.0,455.0,5.0,9.0,22.0,5.0,6.0,30.0,4.0,5.0,4.0,1.0,1.0,8.0,6.0,1.0,39.0,1.0,6.0,14.0,,146.0,1.0,,2.0,,,1.0,,,,,,,,,,6.0,4.0,1.0,,,16.0,10.0,1.0,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Tigres UANL,ebd087qhfyhs6i8k2442xgb11,J. Dueñas,Midfielder,29,720.0,,482.0,90.0,240.0,16.0,30.0,1.0,2.0,4.0,97.0,190.0,16.0,34.0,491.0,,6.0,366.0,5.0,64.0,147.0,8.0,63.0,50.0,8.0,8.0,12.0,627.0,8.0,5.0,46.0,156.0,14.0,63.0,34.0,10.0,4.0,54.0,6.0,8.0,16.0,418.0,427.0,8.0,12.0,20.0,4.0,6.0,30.0,10.0,1.0,1.0,1.0,1.0,5.0,7.0,3.0,61.0,4.0,7.0,11.0,,98.0,3.0,,2.0,,,4.0,,,,,,,,,1.0,34.0,3.0,7.0,3.0,2.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Tigres UANL,cpwrke87vea6lm457ub6w8251,E. Fernández,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Tigres UANL,4zjhf8g09in1aj4k6c7x485at,A. Gignac,Forward,10,75.0,,11.0,,7.0,,1.0,,1.0,4.0,6.0,1.0,,2.0,11.0,,2.0,7.0,5.0,3.0,7.0,1.0,4.0,1.0,,,,24.0,2.0,,4.0,2.0,4.0,92.0,3.0,1.0,1.0,9.0,1.0,2.0,2.0,8.0,8.0,5.0,,6.0,,,2.0,1.0,,1.0,,,1.0,,4.0,1.0,,,1.0,,2.0,,2.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Tigres UANL,7uuli7jqi66bkkotgkypsignp,N. Guzmán,Goalkeeper,1,720.0,,164.0,,23.0,28.0,41.0,1.0,,,44.0,172.0,,1.0,237.0,,,142.0,,42.0,57.0,,24.0,65.0,8.0,1.0,18.0,316.0,8.0,,,124.0,,74.0,5.0,1.0,5.0,5.0,8.0,8.0,,132.0,195.0,5.0,,,,,,,,,,1.0,,7.0,,53.0,,7.0,,,56.0,3.0,,,26.0,83.0,15.0,6.0,,10.0,9.0,15.0,2.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Tigres UANL,envpdcapbpk8477snh5aidhp1,I. Jiménez,Defender,2,135.0,,95.0,24.0,50.0,1.0,2.0,1.0,,5.0,14.0,37.0,5.0,7.0,96.0,1.0,3.0,82.0,,9.0,3.0,,6.0,7.0,2.0,3.0,3.0,133.0,2.0,3.0,14.0,30.0,1.0,52.0,9.0,3.0,1.0,20.0,1.0,2.0,6.0,86.0,87.0,6.0,2.0,11.0,3.0,5.0,8.0,,,,,,,2.0,,5.0,,2.0,,,39.0,,,,,,,,,,,,,,,,17.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2019,Club Tigres UANL,6awmqmp7vl4bc62j039114nh1,F. Meza,Defender,21,371.0,,284.0,19.0,76.0,4.0,12.0,5.0,,4.0,27.0,196.0,5.0,13.0,297.0,,3.0,256.0,,25.0,98.0,,19.0,14.0,4.0,6.0,6.0,338.0,5.0,1.0,13.0,88.0,1.0,51.0,13.0,3.0,6.0,23.0,10.0,5.0,6.0,260.0,272.0,10.0,3.0,10.0,2.0,7.0,7.0,,,,,,,3.0,,16.0,,3.0,,,92.0,1.0,1.0,2.0,,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
