dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
4,,Atlanta United FC,Concacaf Champions Cup,Defender,England,1qz6h5i13a5tjhrhi3s2sppex,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/1qz6h5i13a5tjhrhi3s2sppex
27,,Atlanta United FC,Concacaf Champions Cup,Defender,USA,234q7lf0bx51r8wehvg51r4k5,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/234q7lf0bx51r8wehvg51r4k5
1,,Atlanta United FC,Concacaf Champions Cup,Goalkeeper,USA,26r7731d42flwc6ikxb90jxlh,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/26r7731d42flwc6ikxb90jxlh
18,,Atlanta United FC,Concacaf Champions Cup,Midfielder,USA,29yzbetu0kz3siy9prkcesno5,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/29yzbetu0kz3siy9prkcesno5
13,,Atlanta United FC,Concacaf Champions Cup,Goalkeeper,USA,2w2bcofg9g5qq4894ilb7k9nt,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/2w2bcofg9g5qq4894ilb7k9nt
24,,Atlanta United FC,Concacaf Champions Cup,Attacker,USA,2w38gs56nefz2s67peyzb10q1,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/2w38gs56nefz2s67peyzb10q1
,,Atlanta United FC,Concacaf Champions Cup,Defender,England,2wufroeor0e7k6hvatj1ltwfe,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/2wufroeor0e7k6hvatj1ltwfe
33,,Atlanta United FC,Concacaf Champions Cup,Attacker,USA,35bpd9cmuep6cqczngaqpc19m,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/35bpd9cmuep6cqczngaqpc19m
37,,Atlanta United FC,Concacaf Champions Cup,Goalkeeper,USA,3e8zqidb3uajze4dovobymbmy,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/3e8zqidb3uajze4dovobymbmy
,,Atlanta United FC,Concacaf Champions Cup,,Scotland,4sj7b0lmcu02xzgozuj14xs5x,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/4sj7b0lmcu02xzgozuj14xs5x
5,,Atlanta United FC,Concacaf Champions Cup,Midfielder,Argentina,4v30smxat71u7nl3x7tgaulzp,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/4v30smxat71u7nl3x7tgaulzp
36,,Atlanta United FC,Concacaf Champions Cup,Attacker,USA,5t1wvh34lm993otbc3469uzxm,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/5t1wvh34lm993otbc3469uzxm
2,,Atlanta United FC,Concacaf Champions Cup,Defender,Argentina,5tz98dy8lh2p8a7mq3x9uagnp,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/5tz98dy8lh2p8a7mq3x9uagnp
21,,Atlanta United FC,Concacaf Champions Cup,Defender,USA,61zjhp2dn7uy819kdei4qqqga,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/61zjhp2dn7uy819kdei4qqqga
14,,Atlanta United FC,Concacaf Champions Cup,Attacker,USA,6k9hinfk6da6yopmrm7jk7b9x,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/6k9hinfk6da6yopmrm7jk7b9x
16,Erik López,Atlanta United FC,Concacaf Champions Cup,Attacker,Paraguay,6rzzilhwedeems5je313t0uay,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/6rzzilhwedeems5je313t0uay
6,Fernando Meza,Atlanta United FC,Concacaf Champions Cup,Defender,Argentina,70k0sgj1n6fwi5o10uebx10b9,943ue6l8ylnidoygbi9p8op2h,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/943ue6l8ylnidoygbi9p8op2h/player/view/70k0sgj1n6fwi5o10uebx10b9
