dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
15,,CSD Comunicaciones,Concacaf Champions Cup,Midfielder,Guatemala,10kellfl878syi97an68yo8ut,di07a8qafp5ox30suh1thuq07,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/di07a8qafp5ox30suh1thuq07/player/view/10kellfl878syi97an68yo8ut
,,CSD Comunicaciones,Concacaf Champions Cup,Attacker,Guatemala,11ep9dp1xi85urwbnnf0d2eei,di07a8qafp5ox30suh1thuq07,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/di07a8qafp5ox30suh1thuq07/player/view/11ep9dp1xi85urwbnnf0d2eei
11,,CSD Comunicaciones,Concacaf Champions Cup,Attacker,Mexico,1829vpo3o3luacscg8lfvixg5,di07a8qafp5ox30suh1thuq07,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/di07a8qafp5ox30suh1thuq07/player/view/1829vpo3o3luacscg8lfvixg5
14,,CSD Comunicaciones,Concacaf Champions Cup,Defender,Guatemala,1yivarl152ry9pyw9vw1hqf9x,di07a8qafp5ox30suh1thuq07,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/di07a8qafp5ox30suh1thuq07/player/view/1yivarl152ry9pyw9vw1hqf9x
21,,CSD Comunicaciones,Concacaf Champions Cup,Midfielder,Guatemala,2jbf749hy6g6knbugobi8g2jt,di07a8qafp5ox30suh1thuq07,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/di07a8qafp5ox30suh1thuq07/player/view/2jbf749hy6g6knbugobi8g2jt
6,,CSD Comunicaciones,Concacaf Champions Cup,Midfielder,Guatemala,2phb6cigbvyjzckgrpwdfdvpx,di07a8qafp5ox30suh1thuq07,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/di07a8qafp5ox30suh1thuq07/player/view/2phb6cigbvyjzckgrpwdfdvpx
87,,CSD Comunicaciones,Concacaf Champions Cup,Defender,Costa Rica,38158riz848yq93u6br5ebv85,di07a8qafp5ox30suh1thuq07,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/di07a8qafp5ox30suh1thuq07/player/view/38158riz848yq93u6br5ebv85
,,CSD Comunicaciones,Concacaf Champions Cup,Midfielder,Guatemala,3lcchhirv1wng2b9hdtx70el1,di07a8qafp5ox30suh1thuq07,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/di07a8qafp5ox30suh1thuq07/player/view/3lcchhirv1wng2b9hdtx70el1
3,,CSD Comunicaciones,Concacaf Champions Cup,Defender,Guatemala,3oe6f2akc0kkmexyym1v9c3c9,di07a8qafp5ox30suh1thuq07,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/di07a8qafp5ox30suh1thuq07/player/view/3oe6f2akc0kkmexyym1v9c3c9
2,,CSD Comunicaciones,Concacaf Champions Cup,Defender,Guatemala,4ds2e8ncaqscclgnmqmmtt239,di07a8qafp5ox30suh1thuq07,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/di07a8qafp5ox30suh1thuq07/player/view/4ds2e8ncaqscclgnmqmmtt239
