dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
13,Mohammed El Munir,Los Angeles FC,Concacaf Champions Cup,Defender,Libya,1a2903ylmdc3vmdps0u619lh,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/1a2903ylmdc3vmdps0u619lh
,,Los Angeles FC,Concacaf Champions Cup,,USA,1ft1hqf1snyh0uqgmo65ud9sl,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/1ft1hqf1snyh0uqgmo65ud9sl
20,,Los Angeles FC,Concacaf Champions Cup,Midfielder,Colombia,1ulponxwggurn592nk3rqcfs9,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/1ulponxwggurn592nk3rqcfs9
11,,Los Angeles FC,Concacaf Champions Cup,Midfielder,Ecuador,1wa6jf39zdyi462b1fk50vl61,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/1wa6jf39zdyi462b1fk50vl61
,,Los Angeles FC,Concacaf Champions Cup,Attacker,Norway,2mmo9cxj0nuzwqgsnd787561h,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/2mmo9cxj0nuzwqgsnd787561h
,,Los Angeles FC,Concacaf Champions Cup,Defender,Senegal,2p7o7pd4vfw3mvp5o8euss6xg,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/2p7o7pd4vfw3mvp5o8euss6xg
10,,Los Angeles FC,Concacaf Champions Cup,Attacker,Mexico,2w5xjif5lfjq0qhwox0ha11x,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/2w5xjif5lfjq0qhwox0ha11x
27,,Los Angeles FC,Concacaf Champions Cup,Defender,USA,3qw81ws1dvf6ye83m2sd9vje1,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/3qw81ws1dvf6ye83m2sd9vje1
,,Los Angeles FC,Concacaf Champions Cup,,USA,4b0f4mz0yi44sl3fhscfvfi6t,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/4b0f4mz0yi44sl3fhscfvfi6t
12,,Los Angeles FC,Concacaf Champions Cup,Defender,Ecuador,4hlb7ro1ytm6vyn9gkv2p2gh5,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/4hlb7ro1ytm6vyn9gkv2p2gh5
23,,Los Angeles FC,Concacaf Champions Cup,Goalkeeper,Mexico,4k660h0n22tulciczpvmf1nmd,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/4k660h0n22tulciczpvmf1nmd
1,,Los Angeles FC,Concacaf Champions Cup,Goalkeeper,Netherlands,54h1lfdtkvy63u899mpdbq3th,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/54h1lfdtkvy63u899mpdbq3th
40,,Los Angeles FC,Concacaf Champions Cup,Goalkeeper,USA,5hz95r5xtghhv5qiclwyf05ey,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/5hz95r5xtghhv5qiclwyf05ey
14,,Los Angeles FC,Concacaf Champions Cup,Midfielder,Canada,62smmy1d3o9sm36mhyw5nrphx,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/62smmy1d3o9sm36mhyw5nrphx
9,,Los Angeles FC,Concacaf Champions Cup,Attacker,Uruguay,677wll2p2i6pyzpq2sugger55,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/677wll2p2i6pyzpq2sugger55
7,,Los Angeles FC,Concacaf Champions Cup,Midfielder,Ghana,6fnojo4m3daqz5moaa9yu1dk9,c6e7kqqrkt389ysrth6yy6puy,e6rl4hongahbihxd3tpudespd,8093hqpyqbxw8ot6xk7ep91t6,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2020/8093hqpyqbxw8ot6xk7ep91t6/teams/view/c6e7kqqrkt389ysrth6yy6puy/player/view/6fnojo4m3daqz5moaa9yu1dk9
