liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Aerial Duels won,Duels,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Duels lost,Throw Ins to Own Player,Goals,Corners Won,Shots Off Target (inc woodwork),Total Shots,Total Touches In Opposition Box,Shots On Target ( inc goals ),Total Fouls Won,Left Foot Goals,Goals from Inside Box,Ground Duels won,Successful Launches,Unsuccessful Launches,Yellow Cards,Total Tackles,Successful Dribbles,Throw Ins to Opposition Player,Tackles Lost,Interceptions,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Blocks,Total Clearances,Unsuccessful Crosses & Corners,Tackles Won,Substitute On,Successful Crosses & Corners,Successful Corners into Box,Blocked Shots,Corners Taken (incl short corners),Goals from Outside Box,Attempts from Set Pieces,Unsuccessful Corners into Box,Offsides,Successful Crosses open play,Assists (Intentional),Goal Assists,Through balls,Successful Lay-offs,Handballs conceded,Penalties Conceded,Unsuccessful Dribbles,Headed Goals,Saves Made,GK Successful Distribution,Punches,Penalties Saved,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,GK Unsuccessful Distribution,Right Foot Goals,Foul Won Penalty,Catches,Saves Made from Outside Box,Penalties Taken,Penalty Goals,Times Tackled,Goals Conceded Outside Box,Home Goals,Away Goals,Winning Goal,Clean Sheets,Goalkeeper Smother,Hit Woodwork,Total Red Cards,Straight Red Cards,Own Goal Scored,Clearances Off the Line,Unsuccessful lay-offs,Drops,Second Goal Assists,Saves made - caught,Last Man Tackle
Concacaf_Concacaf_Champions_Cup,2020,Seattle Sounders FC,3aox5gs2l4gg22h97sixaiqj9,X. Arreaga,Defender,3,180.0,78.0,7.0,19.0,9.0,8.0,20.0,47.0,7.0,,82.0,,3.0,63.0,3.0,16.0,29.0,,7.0,10.0,2.0,,9.0,109.0,2.0,2.0,14.0,35.0,46.0,18.0,3.0,7.0,29.0,4.0,2.0,3.0,11.0,64.0,66.0,15.0,11.0,,,,,,,,5.0,,,11.0,,6.0,1.0,5.0,1.0,,2.0,1.0,,,1.0,8.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Seattle Sounders FC,8t08t0apxw269hv16vhxaycbt,H. Bwana,Midfielder,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Seattle Sounders FC,ei4ddhpc4jooivjfq9uw3092h,S. Cleveland,Goalkeeper,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Seattle Sounders FC,cv3xqr4xxkxub011e67s2awgl,J. Delem,Midfielder,8,180.0,80.0,3.0,35.0,4.0,4.0,12.0,37.0,8.0,,84.0,,4.0,64.0,3.0,12.0,26.0,,7.0,6.0,2.0,,5.0,108.0,2.0,2.0,11.0,39.0,48.0,12.0,8.0,4.0,19.0,4.0,2.0,3.0,16.0,69.0,72.0,8.0,7.0,,,,,,,,5.0,,,8.0,1.0,,1.0,3.0,,,1.0,5.0,,,,9.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Seattle Sounders FC,4ccmn07kk0thmg6apfxgivmc5,J. Dhillon,Forward,99,6.0,3.0,,1.0,,,2.0,1.0,1.0,,3.0,,,2.0,,1.0,,1.0,1.0,1.0,,,,4.0,1.0,,,2.0,56.0,,,,,1.0,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Seattle Sounders FC,27fyf4lu42ovf02lksw45pjo5,S. Frei,Goalkeeper,24,180.0,24.0,,10.0,18.0,,19.0,29.0,,,57.0,,,20.0,3.0,18.0,6.0,,14.0,16.0,2.0,1.0,4.0,76.0,2.0,,1.0,46.0,41.0,2.0,19.0,1.0,2.0,4.0,2.0,,5.0,20.0,39.0,1.0,,,,,,,,,1.0,,,1.0,4.0,9.0,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,5.0,19.0,2.0,,2.0,3.0,,,7.0,,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Seattle Sounders FC,bmnmlbq9uk9c7p1sxc09shl1x,Y. Gómez,Defender,28,90.0,21.0,,4.0,4.0,1.0,4.0,15.0,,,23.0,,,18.0,2.0,4.0,4.0,,3.0,3.0,1.0,1.0,1.0,32.0,1.0,,,15.0,22.0,2.0,1.0,2.0,3.0,2.0,1.0,,4.0,17.0,19.0,3.0,1.0,,,,,,,,,,,,1.0,2.0,,,,,,3.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Seattle Sounders FC,bu51rg2ezwrqq6l5t1qvyjcnp,M. Ibarra,Midfielder,11,20.0,10.0,4.0,7.0,,,2.0,2.0,1.0,,10.0,,,8.0,,1.0,3.0,,2.0,2.0,,1.0,,16.0,1.0,,2.0,1.0,83.0,2.0,1.0,,2.0,1.0,1.0,,2.0,9.0,9.0,,,,,,,1.0,1.0,1.0,,,,2.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Seattle Sounders FC,5f5x4oq6vmje8sn32ii6wsij9,J. Jones,Midfielder,33,139.0,58.0,9.0,39.0,1.0,5.0,17.0,12.0,6.0,,58.0,2.0,2.0,45.0,2.0,7.0,11.0,1.0,4.0,7.0,2.0,1.0,3.0,81.0,2.0,,12.0,10.0,48.0,10.0,6.0,5.0,22.0,2.0,2.0,7.0,28.0,51.0,51.0,10.0,12.0,2.0,,1.0,,1.0,2.0,1.0,3.0,,,5.0,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Seattle Sounders FC,7dwqdyf6cbb8iw4fsh0lo75qt,K. Leerdam,Defender,18,180.0,53.0,6.0,30.0,4.0,2.0,20.0,18.0,5.0,,56.0,,2.0,40.0,3.0,9.0,6.0,1.0,7.0,8.0,2.0,3.0,3.0,101.0,2.0,1.0,7.0,22.0,29.0,4.0,7.0,2.0,11.0,4.0,2.0,5.0,22.0,44.0,47.0,4.0,7.0,10.0,,,,,4.0,,,,,2.0,1.0,2.0,,,2.0,5.0,,4.0,1.0,1.0,3.0,6.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
