liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals Conceded,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Starts,Total Tackles,Rightside Passes,Time Played,Unsuccessful Long Passes,Times Tackled,Ground Duels won,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Losses Of Possession,Unsuccessful Short Passes,Goals Conceded Outside Box,Unsuccessful Passes Opposition Half,Tackles Lost,Tackles Won,Clean Sheets,Aerial Duels,Foul Attempted Tackle,Recoveries,Goals Conceded Inside Box,Total Passes,Successful Open Play Passes,Open Play Passes,Duels lost,Unsuccessful Passes Own Half,Interceptions,Touches,Aerial Duels won,Total Clearances,Ground Duels,Duels,Backward Passes,Successful Long Passes,Ground Duels lost,Forward Passes,Appearances,Index,Duels won,Successful Passes Own Half,Successful Short Passes,Key Passes (Attempt Assists),Leftside Passes,Blocks,Successful Passes Opposition Half,Home Goals,Away Goals,Winning Goal,Throw Ins to Own Player,Unsuccessful Launches,Unsuccessful Crosses open play,Substitute Off,Throw Ins to Opposition Player,PutThrough/Blocked Distribution Won,PutThrough/Blocked Distribution,Unsuccessful Crosses & Corners,Substitute On,Total Shots,Unsuccessful Dribbles,Total Fouls Won,Aerial Duels lost,Successful Dribbles,Handballs conceded,Blocked Shots,Shots Off Target (inc woodwork),Successful Launches,Unsuccessful lay-offs,Successful Lay-offs,Offsides,Yellow Cards,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Total Touches In Opposition Box,Saves made - parried,Punches,Goals from Inside Box,Attempts from Set Pieces,Assists (Intentional),Right Foot Goals,Corners Won,Penalty Goals,Penalties Taken,Shots On Target ( inc goals ),Goal Assists,Successful Crosses & Corners,Goals,Successful Crosses open play,Goalkeeper Smother,Saves Made from Outside Box,Total Red Cards,Straight Red Cards,Unsuccessful Corners into Box,Corners Taken (incl short corners),Successful Corners into Box,Through balls,Second Goal Assists,Drops,Hit Woodwork,Left Foot Goals,Clearances Off the Line,Own Goal Scored,Headed Goals,Saves made - caught,Catches,Penalty Goals Conceded,Goals from Outside Box,Penalties Conceded,Penalties Faced,Saves from Penalty,Penalties Saved,Foul Won Penalty,Set Pieces Goals,Other Goals
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,a9vg4r9xhwlrsrjb6bhd2dc5x,E. Aguirre,Forward,14,2.0,2.0,4.0,8.0,1.0,2.0,3.0,80.0,,1.0,3.0,5.0,12.0,5.0,1.0,6.0,,2.0,,3.0,3.0,3.0,1.0,13.0,8.0,13.0,9.0,1.0,2.0,29.0,,,9.0,12.0,5.0,1.0,6.0,3.0,2.0,11.0,3.0,3.0,7.0,,2.0,,5.0,0.0,0.0,0.0,,,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,,1.0,3.0,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,3hqyl61z7yssettsjoqpboclx,É. Alvarado,Defender,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,2ab9n9o2yymwfv8s19kk0q3md,Y. Arboleda,Forward,19,2.0,,3.0,4.0,1.0,,,82.0,,,5.0,4.0,6.0,4.0,,5.0,,,,10.0,1.0,1.0,,8.0,4.0,8.0,8.0,,,23.0,5.0,3.0,8.0,18.0,1.0,,3.0,4.0,2.0,98.0,10.0,,4.0,,3.0,1.0,4.0,1.0,0.0,0.0,,,1.0,1.0,,,,1.0,1.0,4.0,,5.0,5.0,,,,2.0,,,,1.0,1.0,,,,,4.0,,,1.0,,1.0,,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,akvnlaszzemsj14oa62n39c5x,B. Beckeles,Defender,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,2y6kfz5hnxko88564nhbslo0l,J. Bengtson,Forward,27,2.0,2.0,3.0,11.0,2.0,,8.0,156.0,,3.0,1.0,11.0,19.0,11.0,1.0,12.0,,,1.0,10.0,2.0,1.0,1.0,22.0,8.0,19.0,8.0,,,36.0,9.0,1.0,8.0,18.0,4.0,1.0,7.0,6.0,2.0,49.0,10.0,4.0,10.0,,4.0,,7.0,0.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,3.0,2.0,1.0,1.0,,,1.0,2.0,,,,2.0,,,,,,2.0,,,1.0,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,cu0svhso0jnbxo0fdc7tj3tux,E. Oliva,Defender,3,2.0,2.0,2.0,30.0,2.0,4.0,6.0,165.0,5.0,,5.0,10.0,10.0,5.0,1.0,5.0,2.0,2.0,1.0,9.0,2.0,7.0,1.0,40.0,28.0,37.0,7.0,5.0,1.0,62.0,6.0,9.0,9.0,18.0,4.0,8.0,4.0,22.0,2.0,47.0,11.0,23.0,22.0,1.0,8.0,2.0,7.0,0.0,0.0,0.0,,2.0,,1.0,,,2.0,,,,,1.0,3.0,,,1.0,,2.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,6qtrfvr137xo8gmu17jn3d42d,M. Chirinos,Forward,33,2.0,2.0,4.0,22.0,2.0,3.0,3.0,166.0,3.0,6.0,6.0,13.0,29.0,10.0,1.0,15.0,,3.0,,4.0,3.0,13.0,1.0,35.0,21.0,34.0,14.0,3.0,,72.0,,1.0,16.0,20.0,8.0,2.0,10.0,19.0,2.0,27.0,6.0,10.0,20.0,2.0,5.0,1.0,12.0,0.0,0.0,0.0,3.0,,5.0,1.0,,,2.0,5.0,,2.0,,3.0,4.0,,1.0,3.0,2.0,,,,,,,,,,4.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,dk5yfa9a0na15z6346h4haw6i,J. Figueroa,Midfielder,65,2.0,,,4.0,,,,38.0,,,,1.0,4.0,1.0,,2.0,,,,1.0,,1.0,,5.0,4.0,5.0,1.0,,,12.0,,,,1.0,2.0,,,3.0,2.0,42.0,,1.0,4.0,1.0,,,4.0,0.0,0.0,0.0,,,1.0,,,1.0,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,202fppogvtu6vm32hr1gvy6l1,D. Flores,Midfielder,20,1.0,,3.0,24.0,1.0,4.0,6.0,90.0,7.0,1.0,4.0,8.0,12.0,1.0,,8.0,1.0,3.0,1.0,1.0,1.0,1.0,,32.0,23.0,30.0,6.0,1.0,2.0,50.0,1.0,3.0,10.0,11.0,6.0,2.0,6.0,15.0,1.0,50.0,5.0,15.0,22.0,,5.0,,10.0,0.0,0.0,0.0,,,1.0,,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,8b8tgseou9bonm9vsus62dej9,H. Fonseca,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,c4ccgu6tldo279neojnyof6x,J. García,Defender,4,2.0,,,6.0,,1.0,,22.0,1.0,,3.0,3.0,4.0,2.0,,3.0,,1.0,,,,1.0,,9.0,6.0,8.0,,,,14.0,,,3.0,3.0,,,,4.0,2.0,20.0,3.0,3.0,6.0,,5.0,,3.0,0.0,0.0,0.0,,,,,1.0,,,,2.0,,,2.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,5k2vjr67b2ppezr738btyr179,J. Leverón,Defender,16,2.0,2.0,2.0,31.0,2.0,7.0,11.0,180.0,5.0,1.0,9.0,12.0,20.0,7.0,1.0,9.0,1.0,6.0,1.0,3.0,2.0,6.0,1.0,43.0,28.0,40.0,9.0,4.0,,89.0,1.0,3.0,16.0,19.0,12.0,2.0,7.0,20.0,2.0,56.0,10.0,25.0,29.0,1.0,,2.0,7.0,0.0,0.0,0.0,14.0,3.0,1.0,,6.0,2.0,6.0,1.0,,3.0,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,3.0,,,,,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,8ovxrmf0eie8xbad5xoaclc5x,G. Mejía,Midfielder,29,2.0,2.0,7.0,47.0,2.0,4.0,16.0,180.0,5.0,,8.0,16.0,16.0,11.0,1.0,14.0,2.0,2.0,1.0,5.0,6.0,9.0,1.0,63.0,45.0,61.0,16.0,2.0,1.0,74.0,1.0,,20.0,25.0,8.0,3.0,12.0,21.0,2.0,14.0,9.0,29.0,44.0,1.0,18.0,1.0,18.0,0.0,0.0,0.0,,,,,,1.0,3.0,,,,,3.0,4.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,1xsjvdcc3ev6d9nj6f9b0omol,E. Menjívar,Goalkeeper,1,2.0,2.0,,23.0,2.0,,1.0,180.0,23.0,,1.0,23.0,23.0,,1.0,19.0,,,1.0,,,9.0,1.0,46.0,7.0,20.0,1.0,4.0,,60.0,,2.0,2.0,2.0,,17.0,1.0,41.0,2.0,69.0,1.0,9.0,6.0,,4.0,,14.0,0.0,0.0,0.0,,14.0,,,,,,,,,,1.0,,,,,,5.0,,,,,14.0,5.0,3.0,7.0,,4.0,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,5nzcly004k06pn0toth05hgwl,M. Núñez,Defender,2,2.0,2.0,4.0,25.0,2.0,,,173.0,3.0,2.0,1.0,7.0,20.0,4.0,1.0,4.0,,,,2.0,3.0,11.0,1.0,32.0,25.0,31.0,10.0,5.0,1.0,58.0,,,9.0,11.0,6.0,3.0,8.0,17.0,2.0,17.0,1.0,16.0,22.0,1.0,9.0,,9.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,6.0,1.0,4.0,2.0,,1.0,,1.0,2.0,,,,1.0,2.0,,,2.0,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,f1x9jsx4i6x5ye77pzkv09vpx,J. Paz,Defender,17,2.0,2.0,8.0,39.0,2.0,2.0,9.0,180.0,1.0,,2.0,9.0,9.0,8.0,1.0,2.0,,2.0,1.0,14.0,5.0,9.0,1.0,48.0,39.0,47.0,11.0,7.0,4.0,67.0,10.0,10.0,9.0,23.0,2.0,5.0,7.0,22.0,2.0,33.0,12.0,34.0,34.0,1.0,15.0,,5.0,0.0,0.0,0.0,,1.0,,,,,1.0,,,1.0,,,4.0,,,,1.0,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,CD Olimpia,4ag7ykxjf5pex7tv4ki1vene1,J. Pinto,Forward,21,2.0,,,8.0,,2.0,3.0,66.0,3.0,5.0,8.0,5.0,15.0,2.0,,7.0,1.0,1.0,,1.0,,3.0,,13.0,8.0,13.0,6.0,2.0,,36.0,1.0,,14.0,15.0,1.0,,6.0,6.0,2.0,51.0,9.0,3.0,8.0,2.0,3.0,,6.0,0.0,0.0,0.0,2.0,1.0,3.0,,,,3.0,4.0,2.0,,2.0,4.0,,2.0,,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
