liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals Conceded,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Starts,Total Tackles,Rightside Passes,Time Played,Unsuccessful Long Passes,Times Tackled,Ground Duels won,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Losses Of Possession,Unsuccessful Short Passes,Goals Conceded Outside Box,Unsuccessful Passes Opposition Half,Tackles Lost,Tackles Won,Clean Sheets,Aerial Duels,Foul Attempted Tackle,Recoveries,Goals Conceded Inside Box,Total Passes,Successful Open Play Passes,Open Play Passes,Duels lost,Unsuccessful Passes Own Half,Interceptions,Touches,Aerial Duels won,Total Clearances,Ground Duels,Duels,Backward Passes,Successful Long Passes,Ground Duels lost,Forward Passes,Appearances,Index,Duels won,Successful Passes Own Half,Successful Short Passes,Key Passes (Attempt Assists),Leftside Passes,Blocks,Successful Passes Opposition Half,Home Goals,Away Goals,Winning Goal,Throw Ins to Own Player,Unsuccessful Launches,Unsuccessful Crosses open play,Substitute Off,Throw Ins to Opposition Player,PutThrough/Blocked Distribution Won,PutThrough/Blocked Distribution,Unsuccessful Crosses & Corners,Substitute On,Total Shots,Unsuccessful Dribbles,Total Fouls Won,Aerial Duels lost,Successful Dribbles,Handballs conceded,Blocked Shots,Shots Off Target (inc woodwork),Successful Launches,Unsuccessful lay-offs,Successful Lay-offs,Offsides,Yellow Cards,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Total Touches In Opposition Box,Saves made - parried,Punches,Goals from Inside Box,Attempts from Set Pieces,Assists (Intentional),Right Foot Goals,Corners Won,Penalty Goals,Penalties Taken,Shots On Target ( inc goals ),Goal Assists,Successful Crosses & Corners,Goals,Successful Crosses open play,Goalkeeper Smother,Saves Made from Outside Box,Total Red Cards,Straight Red Cards,Unsuccessful Corners into Box,Corners Taken (incl short corners),Successful Corners into Box,Through balls,Second Goal Assists,Drops,Hit Woodwork,Left Foot Goals,Clearances Off the Line,Own Goal Scored,Headed Goals,Saves made - caught,Catches,Penalty Goals Conceded,Goals from Outside Box,Penalties Conceded,Penalties Faced,Saves from Penalty,Penalties Saved,Foul Won Penalty,Set Pieces Goals,Other Goals
Concacaf_Concacaf_Champions_Cup,2021,Club Atlético Pantoja,bgk2bklp8pv1kyu3qm1u2esmi,J. Báez,Midfielder,7,2.0,2.0,3.0,9.0,,,3.0,80.0,,,4.0,6.0,13.0,6.0,1.0,6.0,,,,1.0,3.0,2.0,1.0,15.0,9.0,15.0,3.0,2.0,,27.0,1.0,,7.0,8.0,3.0,1.0,3.0,6.0,2.0,7.0,5.0,4.0,8.0,1.0,3.0,,5.0,0.0,0.0,0.0,,,2.0,,,,1.0,2.0,2.0,,,3.0,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Club Atlético Pantoja,b1u43afbwgabvpiqqvxq4jjdh,O. Báez,Goalkeeper,23,2.0,6.0,,27.0,2.0,,1.0,180.0,13.0,,,13.0,15.0,,1.0,8.0,,,,2.0,,10.0,5.0,40.0,8.0,12.0,,5.0,,58.0,2.0,2.0,,2.0,,18.0,,31.0,2.0,62.0,2.0,20.0,9.0,,8.0,,7.0,0.0,0.0,0.0,,4.0,,,,,,,,,,1.0,,,,,,4.0,,,,,14.0,6.0,5.0,9.0,,1.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Club Atlético Pantoja,pnphh499g02r005cvpdob0bu,L. Cabrera,Forward,20,2.0,6.0,3.0,17.0,2.0,1.0,2.0,178.0,,4.0,5.0,7.0,16.0,7.0,1.0,6.0,,1.0,,9.0,3.0,2.0,5.0,24.0,9.0,16.0,14.0,1.0,1.0,48.0,3.0,,13.0,22.0,7.0,,8.0,8.0,2.0,18.0,8.0,11.0,17.0,,7.0,1.0,6.0,0.0,1.0,0.0,,,,1.0,,,,,,4.0,,3.0,6.0,1.0,,2.0,3.0,,,,1.0,,,,,,6.0,,,1.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Club Atlético Pantoja,atrahaewt7dd14ynlreqfw4q,G. Ferreras,Defender,4,2.0,5.0,2.0,6.0,2.0,,1.0,135.0,2.0,,1.0,3.0,3.0,1.0,1.0,2.0,,,,1.0,2.0,,4.0,9.0,6.0,9.0,3.0,1.0,1.0,19.0,,6.0,3.0,4.0,2.0,,2.0,4.0,2.0,9.0,1.0,5.0,6.0,,2.0,1.0,1.0,0.0,0.0,0.0,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Club Atlético Pantoja,y870gc5bsmf06kye334blkic,L. González,Midfielder,8,2.0,5.0,4.0,13.0,2.0,2.0,2.0,121.0,,3.0,3.0,3.0,10.0,3.0,1.0,1.0,,2.0,,1.0,1.0,1.0,4.0,16.0,13.0,15.0,7.0,2.0,1.0,30.0,1.0,,10.0,11.0,5.0,,7.0,4.0,2.0,5.0,4.0,8.0,13.0,,5.0,,5.0,0.0,0.0,0.0,,,,2.0,,2.0,2.0,,,1.0,1.0,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Club Atlético Pantoja,6n2p8buyea9gyz1yttf4pvhsl,F. Jiménez,Midfielder,13,1.0,,,2.0,,,1.0,2.0,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,2.0,,,,,,1.0,,,1.0,10.0,,,1.0,1.0,1.0,,2.0,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Club Atlético Pantoja,mxwplmvynxcga6i41irwz93p,H. Martínez,Defender,18,2.0,5.0,2.0,7.0,2.0,1.0,1.0,145.0,,,2.0,3.0,5.0,3.0,,1.0,1.0,,,1.0,2.0,1.0,5.0,10.0,6.0,9.0,2.0,2.0,3.0,32.0,1.0,6.0,4.0,5.0,2.0,,2.0,4.0,2.0,3.0,3.0,6.0,7.0,,3.0,1.0,1.0,0.0,0.0,0.0,4.0,,,1.0,2.0,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Club Atlético Pantoja,cjj9u2d8oi12wvtmhmbg3vpat,P. Martinez,Defender,11,1.0,,1.0,8.0,,2.0,1.0,14.0,1.0,1.0,2.0,4.0,5.0,3.0,,4.0,1.0,1.0,,,,,,12.0,7.0,11.0,2.0,,1.0,18.0,,,4.0,4.0,2.0,1.0,2.0,7.0,1.0,1.0,2.0,5.0,7.0,,2.0,,3.0,0.0,0.0,0.0,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Club Atlético Pantoja,19029vv1krnoyfgwhw5fon97u,F. Ortega,Defender,3,2.0,6.0,3.0,42.0,2.0,8.0,16.0,180.0,8.0,,13.0,22.0,23.0,14.0,1.0,13.0,3.0,5.0,,4.0,,7.0,5.0,64.0,41.0,62.0,6.0,9.0,3.0,96.0,2.0,8.0,17.0,21.0,2.0,7.0,4.0,39.0,2.0,18.0,15.0,24.0,35.0,,7.0,,18.0,0.0,0.0,0.0,,3.0,,,,2.0,4.0,,,,,4.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Club Atlético Pantoja,1bvgqfdkqpy7ap8unkbbd2sb9,A. Ossa,Midfielder,19,2.0,6.0,2.0,77.0,2.0,6.0,25.0,180.0,8.0,2.0,8.0,18.0,28.0,10.0,1.0,11.0,2.0,4.0,,2.0,2.0,13.0,5.0,95.0,70.0,88.0,6.0,9.0,5.0,132.0,2.0,2.0,14.0,16.0,16.0,16.0,6.0,34.0,2.0,48.0,10.0,35.0,61.0,5.0,20.0,1.0,42.0,0.0,0.0,0.0,,5.0,2.0,,,4.0,6.0,2.0,,1.0,,2.0,,,,1.0,1.0,2.0,1.0,,,1.0,,,,,1.0,,,,,1.0,,2.0,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
