dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
22,,Club León,Concacaf Champions Cup,Midfielder,Argentina,1u9sn1cu0pq16mina2q6d6dwp,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/1u9sn1cu0pq16mina2q6d6dwp
,,Club León,Concacaf Champions Cup,Goalkeeper,Mexico,2og95yaq7fksqizw0vajmx0wl,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/2og95yaq7fksqizw0vajmx0wl
,,Club León,Concacaf Champions Cup,Midfielder,Mexico,2ufp5icqczg2wvcxl5axnxu96,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/2ufp5icqczg2wvcxl5axnxu96
7,,Club León,Concacaf Champions Cup,Attacker,Chile,30q9d8i2c8kgscpgze0x5h0b9,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/30q9d8i2c8kgscpgze0x5h0b9
,,Club León,Concacaf Champions Cup,Midfielder,Mexico,351nzn9u8g8ju7qnl2cy4codm,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/351nzn9u8g8ju7qnl2cy4codm
16,,Club León,Concacaf Champions Cup,Midfielder,Chile,36bbkyoy8zyyzsbos2ex0fzdh,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/36bbkyoy8zyyzsbos2ex0fzdh
,,Club León,Concacaf Champions Cup,Midfielder,Mexico,3tgur142r4r4utuaxtciqvvca,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/3tgur142r4r4utuaxtciqvvca
,Ivan Hernandez,Club León,Concacaf Champions Cup,Attacker,Mexico,465h37epm7a5hea8gj51om5pm,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/465h37epm7a5hea8gj51om5pm
,,Club León,Concacaf Champions Cup,Midfielder,Mexico,4kr9ctrmz8bdbp4qsgo18c2z8,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/4kr9ctrmz8bdbp4qsgo18c2z8
,,Club León,Concacaf Champions Cup,Midfielder,Mexico,4qlsgfu3mc2xaav1y9bpvfsh5,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/4qlsgfu3mc2xaav1y9bpvfsh5
,,Club León,Concacaf Champions Cup,,Mexico,4qs4p8o25brgrgi9qvjzwr3f8,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/4qs4p8o25brgrgi9qvjzwr3f8
20,,Club León,Concacaf Champions Cup,Attacker,Argentina,5ftsfmgd1oqfh7m2gc3tqvzrp,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/5ftsfmgd1oqfh7m2gc3tqvzrp
30,,Club León,Concacaf Champions Cup,Goalkeeper,Mexico,5jj07az7i7svdgh5egd1s5dqt,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/5jj07az7i7svdgh5egd1s5dqt
11,,Club León,Concacaf Champions Cup,Attacker,Mexico,5jm6s85v4f9w6fgk3t23p9nmd,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/5jm6s85v4f9w6fgk3t23p9nmd
,,Club León,Concacaf Champions Cup,Midfielder,Mexico,5lkbyrp4hjv4mx35y1xrt8bo4,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/5lkbyrp4hjv4mx35y1xrt8bo4
,,Club León,Concacaf Champions Cup,Attacker,Mexico,651jwekihhfyqu45vs89pnalm,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/651jwekihhfyqu45vs89pnalm
,,Club León,Concacaf Champions Cup,Attacker,Colombia,67xkw0v7i1og0x9x5cdbsg1qt,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/67xkw0v7i1og0x9x5cdbsg1qt
,,Club León,Concacaf Champions Cup,Midfielder,Mexico,6vkee0wakaedvdpqiqjow51ck,2ei66pjfsrr6uxqp1bywq31lo,e6rl4hongahbihxd3tpudespd,cgxho67mh5e4icro5qcrncb2s,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2021/cgxho67mh5e4icro5qcrncb2s/teams/view/2ei66pjfsrr6uxqp1bywq31lo/player/view/6vkee0wakaedvdpqiqjow51ck
