liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals Conceded,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Starts,Total Tackles,Rightside Passes,Time Played,Unsuccessful Long Passes,Times Tackled,Ground Duels won,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Losses Of Possession,Unsuccessful Short Passes,Goals Conceded Outside Box,Unsuccessful Passes Opposition Half,Tackles Lost,Tackles Won,Clean Sheets,Aerial Duels,Foul Attempted Tackle,Recoveries,Goals Conceded Inside Box,Total Passes,Successful Open Play Passes,Open Play Passes,Duels lost,Unsuccessful Passes Own Half,Interceptions,Touches,Aerial Duels won,Total Clearances,Ground Duels,Duels,Backward Passes,Successful Long Passes,Ground Duels lost,Forward Passes,Appearances,Index,Duels won,Successful Passes Own Half,Successful Short Passes,Key Passes (Attempt Assists),Leftside Passes,Blocks,Successful Passes Opposition Half,Home Goals,Away Goals,Winning Goal,Throw Ins to Own Player,Unsuccessful Launches,Unsuccessful Crosses open play,Substitute Off,Throw Ins to Opposition Player,PutThrough/Blocked Distribution Won,PutThrough/Blocked Distribution,Unsuccessful Crosses & Corners,Substitute On,Total Shots,Unsuccessful Dribbles,Total Fouls Won,Aerial Duels lost,Successful Dribbles,Handballs conceded,Blocked Shots,Shots Off Target (inc woodwork),Successful Launches,Unsuccessful lay-offs,Successful Lay-offs,Offsides,Yellow Cards,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Total Touches In Opposition Box,Saves made - parried,Punches,Goals from Inside Box,Attempts from Set Pieces,Assists (Intentional),Right Foot Goals,Corners Won,Penalty Goals,Penalties Taken,Shots On Target ( inc goals ),Goal Assists,Successful Crosses & Corners,Goals,Successful Crosses open play,Goalkeeper Smother,Saves Made from Outside Box,Total Red Cards,Straight Red Cards,Unsuccessful Corners into Box,Corners Taken (incl short corners),Successful Corners into Box,Through balls,Second Goal Assists,Drops,Hit Woodwork,Left Foot Goals,Clearances Off the Line,Own Goal Scored,Headed Goals,Saves made - caught,Catches,Penalty Goals Conceded,Goals from Outside Box,Penalties Conceded,Penalties Faced,Saves from Penalty,Penalties Saved,Foul Won Penalty,Set Pieces Goals,Other Goals
Concacaf_Concacaf_Champions_Cup,2021,Columbus Crew,ele211kdmv943iesjw4fp5rs9,S. Abdul-Salaam,Defender,26,1.0,1.0,,9.0,,1.0,2.0,35.0,,,1.0,3.0,5.0,3.0,1.0,1.0,1.0,,,,,2.0,,12.0,9.0,12.0,,2.0,2.0,21.0,,1.0,1.0,1.0,5.0,,,3.0,1.0,1.0,1.0,6.0,9.0,,2.0,1.0,3.0,0.0,0.0,0.0,2.0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Columbus Crew,cbw92qrdwycht8nkkdu4j4kph,H. Afful,Defender,25,3.0,4.0,1.0,95.0,3.0,3.0,1.0,190.0,13.0,1.0,5.0,27.0,35.0,14.0,,25.0,1.0,2.0,,3.0,,13.0,4.0,122.0,92.0,119.0,6.0,5.0,3.0,158.0,1.0,,9.0,12.0,14.0,5.0,4.0,55.0,3.0,60.0,6.0,50.0,90.0,2.0,52.0,,46.0,0.0,0.0,0.0,15.0,5.0,3.0,2.0,2.0,1.0,3.0,3.0,,,,2.0,2.0,,,,,,,,,,,,,,1.0,,,,,1.0,,2.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Columbus Crew,660a1dq2kk90vuzw0ru6mbmy,Miguel Berry,Forward,27,2.0,,3.0,14.0,1.0,1.0,7.0,106.0,3.0,3.0,1.0,8.0,12.0,5.0,,7.0,,1.0,1.0,2.0,3.0,4.0,,22.0,14.0,22.0,7.0,1.0,1.0,35.0,2.0,,8.0,10.0,8.0,1.0,7.0,4.0,2.0,14.0,3.0,5.0,13.0,1.0,3.0,,9.0,0.0,0.0,0.0,2.0,3.0,,,,,1.0,,1.0,1.0,2.0,,,,,1.0,1.0,,,1.0,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Columbus Crew,6kb6kwmwjh4c6oyed5upl266t,E. Bush,Goalkeeper,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Columbus Crew,efr6uboj041gcgi2qxm0pa5be,L. Díaz,Midfielder,12,4.0,4.0,2.0,41.0,4.0,8.0,6.0,330.0,2.0,13.0,18.0,15.0,47.0,13.0,1.0,20.0,3.0,5.0,,5.0,1.0,12.0,3.0,56.0,41.0,56.0,18.0,5.0,5.0,134.0,2.0,1.0,33.0,38.0,17.0,2.0,15.0,10.0,4.0,47.0,20.0,18.0,39.0,1.0,23.0,,25.0,0.0,0.0,0.0,4.0,1.0,10.0,3.0,1.0,2.0,6.0,10.0,,4.0,7.0,9.0,3.0,2.0,1.0,4.0,4.0,,,1.0,2.0,,,,,,12.0,,,,,1.0,,7.0,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Columbus Crew,2uis9d0h87arn5ew3bg1si40l,D. Etienne,Midfielder,22,2.0,3.0,3.0,35.0,2.0,6.0,4.0,180.0,5.0,2.0,12.0,16.0,23.0,11.0,1.0,13.0,4.0,2.0,1.0,,,7.0,2.0,51.0,34.0,50.0,6.0,3.0,2.0,83.0,,,18.0,18.0,10.0,3.0,6.0,23.0,2.0,30.0,12.0,16.0,32.0,1.0,14.0,,19.0,0.0,0.0,0.0,4.0,1.0,,,2.0,2.0,2.0,,,1.0,,5.0,,1.0,,,1.0,,,1.0,2.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Columbus Crew,9dba8to216upd49xlir2i4d05,W. Francis,Defender,14,4.0,4.0,1.0,59.0,2.0,3.0,23.0,193.0,5.0,4.0,8.0,17.0,28.0,12.0,1.0,15.0,,3.0,1.0,3.0,1.0,10.0,3.0,76.0,57.0,74.0,6.0,4.0,3.0,114.0,2.0,1.0,13.0,16.0,14.0,2.0,5.0,30.0,4.0,88.0,10.0,31.0,57.0,1.0,9.0,,29.0,0.0,0.0,0.0,11.0,2.0,2.0,,4.0,,1.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Columbus Crew,agw4ksz62ddb0q7h7lon4na0a,A. Keita,Defender,30,2.0,2.0,1.0,102.0,2.0,1.0,67.0,152.0,5.0,,2.0,9.0,10.0,4.0,,5.0,,1.0,,6.0,1.0,4.0,2.0,111.0,101.0,110.0,3.0,4.0,2.0,128.0,4.0,9.0,3.0,9.0,3.0,3.0,1.0,25.0,2.0,77.0,6.0,81.0,99.0,,16.0,,21.0,0.0,0.0,0.0,,1.0,,1.0,,,1.0,,,2.0,,1.0,2.0,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Columbus Crew,36425j4l7676d4wyubqsunh79,P. Kitchen,Midfielder,2,2.0,,4.0,86.0,1.0,2.0,27.0,114.0,1.0,1.0,7.0,6.0,7.0,5.0,,4.0,1.0,1.0,1.0,,4.0,8.0,,92.0,84.0,90.0,5.0,2.0,2.0,107.0,,3.0,12.0,12.0,11.0,3.0,5.0,20.0,2.0,91.0,7.0,60.0,83.0,1.0,34.0,,26.0,0.0,0.0,0.0,,1.0,,,,,,,1.0,,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Columbus Crew,9uty4a8ww9ce7ydjgp9z78set,M. Lampson,Goalkeeper,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
