liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals Conceded,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Starts,Total Tackles,Rightside Passes,Time Played,Unsuccessful Long Passes,Times Tackled,Ground Duels won,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Losses Of Possession,Unsuccessful Short Passes,Goals Conceded Outside Box,Unsuccessful Passes Opposition Half,Tackles Lost,Tackles Won,Clean Sheets,Aerial Duels,Foul Attempted Tackle,Recoveries,Goals Conceded Inside Box,Total Passes,Successful Open Play Passes,Open Play Passes,Duels lost,Unsuccessful Passes Own Half,Interceptions,Touches,Aerial Duels won,Total Clearances,Ground Duels,Duels,Backward Passes,Successful Long Passes,Ground Duels lost,Forward Passes,Appearances,Index,Duels won,Successful Passes Own Half,Successful Short Passes,Key Passes (Attempt Assists),Leftside Passes,Blocks,Successful Passes Opposition Half,Home Goals,Away Goals,Winning Goal,Throw Ins to Own Player,Unsuccessful Launches,Unsuccessful Crosses open play,Substitute Off,Throw Ins to Opposition Player,PutThrough/Blocked Distribution Won,PutThrough/Blocked Distribution,Unsuccessful Crosses & Corners,Substitute On,Total Shots,Unsuccessful Dribbles,Total Fouls Won,Aerial Duels lost,Successful Dribbles,Handballs conceded,Blocked Shots,Shots Off Target (inc woodwork),Successful Launches,Unsuccessful lay-offs,Successful Lay-offs,Offsides,Yellow Cards,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Total Touches In Opposition Box,Saves made - parried,Punches,Goals from Inside Box,Attempts from Set Pieces,Assists (Intentional),Right Foot Goals,Corners Won,Penalty Goals,Penalties Taken,Shots On Target ( inc goals ),Goal Assists,Successful Crosses & Corners,Goals,Successful Crosses open play,Goalkeeper Smother,Saves Made from Outside Box,Total Red Cards,Straight Red Cards,Unsuccessful Corners into Box,Corners Taken (incl short corners),Successful Corners into Box,Through balls,Second Goal Assists,Drops,Hit Woodwork,Left Foot Goals,Clearances Off the Line,Own Goal Scored,Headed Goals,Saves made - caught,Catches,Penalty Goals Conceded,Goals from Outside Box,Penalties Conceded,Penalties Faced,Saves from Penalty,Penalties Saved,Foul Won Penalty,Set Pieces Goals,Other Goals
Concacaf_Concacaf_Champions_Cup,2021,Arcahaie FC,31hu67et2ivmrpnl26qpgeuj8,O. Alesy,Midfielder,4,2,8,2,41,2,4,19,180,3,1,4,14,15,11,1,12,1,3,1,2,1,6,7,55,38,51,4,2,2,71,2,5,8,10,9,2,4,16,2,21,6,30,39,1,11,2,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Arcahaie FC,d4f6jar15ortdnscyld4bmytx,R. Calixte,Defender,12,2,4,,35,2,,21,143,5,1,,9,18,4,,7,,,1,1,,10,4,44,35,44,1,4,3,76,1,5,1,2,8,1,1,15,2,11,1,27,34,1,,,8,0,0,0,9,1,2,1,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Arcahaie FC,db6b31inx9jja74uvoqbfarro,O. Charles,Midfielder,7,2,6,2,43,1,,13,164,4,6,3,16,25,12,1,15,,,1,1,1,9,5,59,42,58,9,3,1,77,,2,11,12,11,4,8,16,2,17,3,27,39,,19,,16,0,0,0,,1,2,,,,3,2,1,1,4,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Arcahaie FC,7fhnla74iseq1p4io3txlyxas,S. Colin,Defender,24,2,8,2,38,2,2,15,180,11,,3,18,18,7,1,11,1,1,1,2,2,9,7,56,37,53,5,7,4,78,1,11,7,9,,4,4,27,2,11,4,35,34,,14,,3,0,0,0,,1,,,,1,2,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Arcahaie FC,dmnxyne1ukd4aezdk8x2la590,W. Delius,Defender,5,1,4,,13,,,6,37,1,,,5,5,4,1,3,,,,,,,3,18,12,16,,2,2,25,,4,,,,2,,11,1,1,,12,11,,1,,1,0,0,0,,1,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Arcahaie FC,6yaf2u7uzssov3gpmqk5lc3kk,J. Desronvil,Defender,44,2,4,,36,2,2,6,143,12,2,2,15,19,3,,8,,2,1,2,,4,4,51,36,51,5,7,2,68,1,4,6,8,3,5,4,30,2,11,3,30,31,,12,4,6,0,0,0,,5,,1,,,1,,,,2,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Arcahaie FC,7dzka68e4fibl1kqhndvqcn4k,M. Dorvilien,Forward,9,2,8,7,24,2,,6,155,,2,2,11,17,11,1,11,,,,10,5,3,7,35,14,25,13,,4,48,4,,9,19,13,,7,6,2,4,6,15,24,,10,,9,0,0,0,,,,1,,,1,,,,2,2,6,,1,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Arcahaie FC,ei1axkjf128llrz0uoxaeg5jo,G. Elien,Goalkeeper,1,1,,,18,1,,6,90,9,,,9,10,,,6,,,1,,,14,,27,9,10,,3,,37,,1,,,,8,,19,1,75,,13,10,,2,,5,0,0,0,,4,,,,,,,,,,,,,,,,3,,,,,12,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Arcahaie FC,320qhoqse32id7sccn95fnms4,G. Gabriel,Defender,77,2,4,2,24,2,3,3,151,6,2,5,18,30,12,,11,1,2,1,3,2,10,4,42,24,42,8,10,6,93,1,9,11,14,1,2,6,24,2,12,6,16,22,,14,,8,0,0,0,14,2,3,1,7,1,3,3,,,1,,2,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2021,Arcahaie FC,1p1xyq1uwan60e2kp309gsd90,K. Hazard,Midfielder,23,1,,2,6,1,,1,64,,,,8,10,8,,6,,,,2,1,2,,14,6,14,4,2,,18,,,2,4,3,1,2,3,1,6,,1,5,,7,,5,0,0,0,,,,1,,,1,,,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
