liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,afzogkjnsvdarj7dl7paetkdm,M. Aceituno,Attacker,26.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,9qyg5hre038m06bzzupzgmsk4,E. Arzú,Attacker,39.0,2,0,0,0,0,0,1,1
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,8m9cl9k4ilaox7l661m3jij8p,P. Báez,Attacker,17.0,2,0,0,0,0,0,1,1
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,82g30af5h2uux55q2zyitpmtx,J. Benavidez,Midfielder,10.0,2,0,0,0,0,0,0,1
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,e7r8e6n1a8ozhvoq12mw9ltnu,M. Carrasco,Midfielder,59.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,cywd7q1m77lwe5q2dof7rvf9w,D. Carter,Attacker,20.0,1,0,0,0,0,0,1,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,advwq8bx5d9p12le100b80uzt,G. Chávez,Midfielder,27.0,1,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,2wp1nfc3m2u5zzmwbot9lgq21,F. Flores,Midfielder,5.0,2,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,d2pn7v26p6ylmq6hw520b3nit,M. Flores,Midfielder,4.0,1,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,7ajp5u0axctvjwdurhijkhhey,M. García,Attacker,25.0,1,0,0,0,0,0,1,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,1izfssyobweyhw11g5jcoonpw,J. García,Defender,50.0,1,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,annmut4ru8fcfawzby7oisgk5,D. García,Defender,6.0,2,0,1,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,e89t0g91ihfpezjrr55jlxn85,C. Innella,Midfielder,21.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,cbyp6fbp6x44572n87udspqz9,L. López,Goalkeeper,22.0,2,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,ewntxwja4bt07fiavl5m10opg,C. Mejía,Defender,28.0,2,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,qg2ex3r9dd31qeq7zz01wljo,F. Mejía,Defender,54.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,d4lwhmmg75p4iud9nre2tvsb8,D. Mencía,Defender,56.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,98cympy3tegszapr32hjtkoa1,G. Montes,Defender,2.0,2,2,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,elgekbo8qga7na9xhgwupw2l0,R. Osorto,Attacker,36.0,1,0,0,0,0,0,1,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,32lbon05vy6wvb86v48mrtnu1,M. Perelló,Goalkeeper,1.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,62nd2lhonscy2liyld3z3ias4,C. Pike,Midfielder,34.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,4nz7csxo318r5d0uac8vnkvs9,A. Reyes,Midfielder,7.0,2,0,0,0,0,0,1,1
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,7wv9nh7i0ejgjz1wpddxhi9cl,R. Rocca,Attacker,19.0,2,1,1,0,0,0,1,1
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,40hswoqe40asjjyye8kzmsgt0,O. Rodríguez,Goalkeeper,65.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,5gmfibl8ogaq2uq54sr1fz4t0,A. Tatum,Defender,44.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,1gudphgjyegmh18deu205s7o,C. Tejeda,Midfielder,57.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,8g2orp8w9pk02lknqsj3snyfo,E. Urbina,Attacker,55.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,3t4fac0m870f9bo8ordtdrbx0,M. Velásquez,Midfielder,37.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,88wyim9n7k8ifhsa406axwt79,J. Vieyra,Midfielder,23.0,1,0,0,0,0,0,0,1
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,dfws3ekgoetfnecgzurcf0tlh,D. Vuelto,Attacker,11.0,2,0,0,0,0,0,0,2
Concacaf_Concacaf_Champions_Cup,2023,Real CD España,1klf1ijaj09ugeucynsmqjf9w,A. Zúñiga,Midfielder,48.0,1,0,0,0,0,0,1,0
