dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
9,,Cavalier FC,Concacaf Champions Cup,Attacker,Jamaica,1emha184z70pj2va9qrwczrah,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/1emha184z70pj2va9qrwczrah
27,,Cavalier FC,Concacaf Champions Cup,Midfielder,Jamaica,1gg3m6bdh2selr8ndf3s5gidw,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/1gg3m6bdh2selr8ndf3s5gidw
1,,Cavalier FC,Concacaf Champions Cup,Goalkeeper,St. Lucia,1laino29en569qfkl4sshebfu,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/1laino29en569qfkl4sshebfu
17,,Cavalier FC,Concacaf Champions Cup,Attacker,Jamaica,2ah0s6gyr45qzkua998yr5pbe,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/2ah0s6gyr45qzkua998yr5pbe
24,,Cavalier FC,Concacaf Champions Cup,Defender,Jamaica,2otq8wyz1ed2gwekezyli5slw,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/2otq8wyz1ed2gwekezyli5slw
25,,Cavalier FC,Concacaf Champions Cup,Midfielder,Jamaica,354dpw2wqjju63g2ws4vdaiok,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/354dpw2wqjju63g2ws4vdaiok
22,,Cavalier FC,Concacaf Champions Cup,Attacker,Jamaica,39hpdck24zuqgud3kvvuz6tjo,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/39hpdck24zuqgud3kvvuz6tjo
5,,Cavalier FC,Concacaf Champions Cup,Defender,Jamaica,3em1so9duk8cs39z9hafr0fmc,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/3em1so9duk8cs39z9hafr0fmc
18,,Cavalier FC,Concacaf Champions Cup,Attacker,Jamaica,43jadpde9ty2j6f2ebcymvjhm,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/43jadpde9ty2j6f2ebcymvjhm
23,,Cavalier FC,Concacaf Champions Cup,Defender,Jamaica,471ii23e0s6dyawda1yzmigic,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/471ii23e0s6dyawda1yzmigic
15,,Cavalier FC,Concacaf Champions Cup,Defender,Jamaica,4ccr0f12qq1fl0g55pfv03joq,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/4ccr0f12qq1fl0g55pfv03joq
10,,Cavalier FC,Concacaf Champions Cup,Midfielder,Jamaica,5aocd8ha3hl7fd1l8tg1zufsa,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/5aocd8ha3hl7fd1l8tg1zufsa
,,Cavalier FC,Concacaf Champions Cup,Goalkeeper,Jamaica,5nbqao6qqgnq6rl8prx8aonbo,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/5nbqao6qqgnq6rl8prx8aonbo
20,,Cavalier FC,Concacaf Champions Cup,Defender,Jamaica,5nz5i26odqajveymm7s84ybfu,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/5nz5i26odqajveymm7s84ybfu
4,,Cavalier FC,Concacaf Champions Cup,Midfielder,Jamaica,5oik8scypit8d99o9kgecpn9w,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/5oik8scypit8d99o9kgecpn9w
16,,Cavalier FC,Concacaf Champions Cup,Attacker,Jamaica,6c50m2h35ks1t2i78ihj0qqs4,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/6c50m2h35ks1t2i78ihj0qqs4
14,,Cavalier FC,Concacaf Champions Cup,Midfielder,Jamaica,6iun33tmlg2de4u04tpblc8b8,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/6iun33tmlg2de4u04tpblc8b8
12,,Cavalier FC,Concacaf Champions Cup,Defender,Jamaica,72sxvu7dgrgv7lprced7hmvis,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/72sxvu7dgrgv7lprced7hmvis
,,Cavalier FC,Concacaf Champions Cup,Attacker,Jamaica,7dri2u3zuol55vv3yalkd9slw,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/7dri2u3zuol55vv3yalkd9slw
13,,Cavalier FC,Concacaf Champions Cup,Midfielder,Jamaica,7mhox7ebowqbmbowmcu0olx0q,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/7mhox7ebowqbmbowmcu0olx0q
,,Cavalier FC,Concacaf Champions Cup,Midfielder,Jamaica,8v4i7wkzkqxxa6uddjwevn9ck,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/8v4i7wkzkqxxa6uddjwevn9ck
,,Cavalier FC,Concacaf Champions Cup,,Jamaica,95wr9aggr1sdcagctkd8bko6i,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/95wr9aggr1sdcagctkd8bko6i
21,,Cavalier FC,Concacaf Champions Cup,Midfielder,Jamaica,9nh1pwb90hmk2hpf479ycctuc,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/9nh1pwb90hmk2hpf479ycctuc
,,Cavalier FC,Concacaf Champions Cup,Defender,Jamaica,9py5kadlbjllnk306xobfvnys,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/9py5kadlbjllnk306xobfvnys
19,,Cavalier FC,Concacaf Champions Cup,Midfielder,Jamaica,a2neaouy9ii2cg7oi9m3bs8ru,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/a2neaouy9ii2cg7oi9m3bs8ru
50,,Cavalier FC,Concacaf Champions Cup,Goalkeeper,Jamaica,bfjq3e61587mj5bpumzv4vwgk,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/bfjq3e61587mj5bpumzv4vwgk
6,,Cavalier FC,Concacaf Champions Cup,Defender,Jamaica,bz4ic81047au6rl9upkfsnyfo,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/bz4ic81047au6rl9upkfsnyfo
30,,Cavalier FC,Concacaf Champions Cup,Defender,Jamaica,c3wh2xzk3b2pj3lvyszvcxyqc,3v5e2q2vqn0fgqrbkz6dbfs3i,e6rl4hongahbihxd3tpudespd,88eiz1gyadylcr1n8el5zrqj8,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2024/88eiz1gyadylcr1n8el5zrqj8/teams/view/3v5e2q2vqn0fgqrbkz6dbfs3i/player/view/c3wh2xzk3b2pj3lvyszvcxyqc
