liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,cgay77hw96w3z8ooc3pfnlbvu,S. Adeniran,Attacker,16.0,2,0,0,0,0,0,0,1
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,5so1rc8nkdo0wg9r496w3dvpx,R. Alm,Midfielder,21.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,272xwghmibw1wnptcoz6xpex,A. Watts,Defender,20.0,1,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,44dbtinm8mrwjohk5q1byyiy2,N. Blom,Midfielder,6.0,1,0,0,0,0,0,1,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,7y56q44sss2o7my2surg4kzit,R. Bürki,Goalkeeper,1.0,2,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,2nby269m85yxc6vduq3weknah,João Klauss,Attacker,9.0,2,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,dvsj1gm7kg1vs9xip21gbfe95,I. Vassilev,Midfielder,19.0,2,0,0,0,0,0,0,2
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,7uv8k6pqob0xqw7zchsfxk4ix,C. Durkin,Midfielder,8.0,2,0,0,0,0,0,0,1
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,9k050zmkegfu3gdw2b4g4uwwk,C. Glover,Attacker,46.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,7fpjrqc5obhk5rfmr90yf61w4,K. Hiebert,Defender,22.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,2u05snfruohp5sqhdpy5vvlnu,A. Jackson,Midfielder,25.0,2,0,0,0,0,0,1,1
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,e9jko5f45qmjw3va7cp05l5w4,Hosei Kijima,Midfielder,85.0,2,1,0,0,0,0,1,1
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,60z63hezwwosjnhvamcwxtre1,N. Dyhr,Defender,44.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,8sb9g1r6x38psqbg0j1ce28d1,E. Löwen,Midfielder,10.0,2,0,0,0,0,0,2,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,esetc9bteuheaoq6mttyt6rbp,B. Lundt,Goalkeeper,39.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,4ecgnoxeou0m46yw8hwisbrx0,A. Markanich,Defender,13.0,2,0,0,0,0,0,1,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,5hxlj4ash5nuwnt40mf5af46h,J. Nerwinski,Defender,2.0,1,0,1,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,4htc75tksrue5jgmr14dt9l91,J. Nilsson,Defender,4.0,1,0,0,0,0,0,0,1
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,brbc088u7sq9wh9d9gkonn5gq,C. Olivares,Goalkeeper,31.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,am4iwfgrkg973ir01c6nllux,T. Ostrák,Midfielder,7.0,2,0,0,0,0,0,0,2
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,bhdexzrmy2nnn0muaiem8d711,T. Parker,Defender,26.0,1,1,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,2dqtrnq0k1fphyw71yh41gvtg,T. Pearce,Midfielder,33.0,0,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,8kclbxu88w9n38hs3fp0ampsk,Célio Pompeu,Midfielder,12.0,2,0,0,0,0,0,2,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,88mmoskb8jyiyqyfvxvz0qmwa,T. Totland,Defender,14.0,1,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,910fd7rfysvvfzp2s1ywna5pm,M. Wentzel,Defender,40.0,1,0,1,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,6ofo7oqjfbsq4uj7bp8haqcq1,J. Yaro,Defender,15.0,1,0,0,0,0,0,0,0
Concacaf_Concacaf_Champions_Cup,2024,St. Louis City SC,1pmoxunz3nw0ptd6g64maam7d,N. Þórisson,Attacker,29.0,1,0,0,0,0,0,1,0
