dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
17,,CD Guadalajara,Concacaf Champions Cup,Midfielder,Mexico,1cyhpfi77dom7gmpuownxlcrt,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/1cyhpfi77dom7gmpuownxlcrt
35,,CD Guadalajara,Concacaf Champions Cup,Attacker,Mexico,22k00jtryfsbz0hl42dfar71m,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/22k00jtryfsbz0hl42dfar71m
31,,CD Guadalajara,Concacaf Champions Cup,Attacker,Mexico,39twli4ggza19cr83weylmck4,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/39twli4ggza19cr83weylmck4
29,,CD Guadalajara,Concacaf Champions Cup,Attacker,Mexico,42w1fj2n8ubc7of8feg5z5p90,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/42w1fj2n8ubc7of8feg5z5p90
11,,CD Guadalajara,Concacaf Champions Cup,Midfielder,Mexico,52xjaejv3eeiyd2xn5642g2xh,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/52xjaejv3eeiyd2xn5642g2xh
181,,CD Guadalajara,Concacaf Champions Cup,Goalkeeper,Mexico,5fyryk75x4ra6y0tjeuf4zi1g,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/5fyryk75x4ra6y0tjeuf4zi1g
47,Gael García,CD Guadalajara,Concacaf Champions Cup,Attacker,Mexico,5gkxss9fh2g95tmamrr5crifo,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/5gkxss9fh2g95tmamrr5crifo
18,,CD Guadalajara,Concacaf Champions Cup,Defender,Mexico,5s9q0ufcb13xtn0mlqc1lq489,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/5s9q0ufcb13xtn0mlqc1lq489
16,,CD Guadalajara,Concacaf Champions Cup,Attacker,USA,5vjalgmy5e9xhfdjoeq6kxqwa,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/5vjalgmy5e9xhfdjoeq6kxqwa
223,,CD Guadalajara,Concacaf Champions Cup,Defender,Mexico,74rgw1nhgv9rcocm37w31ahw4,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/74rgw1nhgv9rcocm37w31ahw4
51,Eduardo García,CD Guadalajara,Concacaf Champions Cup,Goalkeeper,Mexico,7h5ljia67tprz9dgap90nbnfu,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/7h5ljia67tprz9dgap90nbnfu
9,,CD Guadalajara,Concacaf Champions Cup,Attacker,Mexico,936lj4sgmt36ovtu791nd7ys5,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/936lj4sgmt36ovtu791nd7ys5
30,,CD Guadalajara,Concacaf Champions Cup,Goalkeeper,Spain,952946i5tzseeuav0quurmx91,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/952946i5tzseeuav0quurmx91
15,,CD Guadalajara,Concacaf Champions Cup,Midfielder,Mexico,9uuk73i8obc7ji0dnan352nkl,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/9uuk73i8obc7ji0dnan352nkl
25,,CD Guadalajara,Concacaf Champions Cup,Attacker,Mexico,9vvleh9yqqcm955432lsl8c7p,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/9vvleh9yqqcm955432lsl8c7p
44,,CD Guadalajara,Concacaf Champions Cup,Midfielder,Mexico,a8jwv607wxvqro9iytr0fijje,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/a8jwv607wxvqro9iytr0fijje
65,,CD Guadalajara,Concacaf Champions Cup,Defender,Mexico,alqnanizwho9z46di0qrv5u22,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/alqnanizwho9z46di0qrv5u22
7,,CD Guadalajara,Concacaf Champions Cup,Midfielder,Mexico,asgdx8h7m480fa15oa4x3quol,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/asgdx8h7m480fa15oa4x3quol
58,,CD Guadalajara,Concacaf Champions Cup,Midfielder,Mexico,b1jej3boquh6utc4u6tg8328k,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/b1jej3boquh6utc4u6tg8328k
34,Armando González,CD Guadalajara,Concacaf Champions Cup,Attacker,Mexico,bacfellhebfxls5mhsg416fpw,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/bacfellhebfxls5mhsg416fpw
23,,CD Guadalajara,Concacaf Champions Cup,Midfielder,USA,bqc9q35pmfzele2x6xb9z6tm2,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/bqc9q35pmfzele2x6xb9z6tm2
20,,CD Guadalajara,Concacaf Champions Cup,Midfielder,Mexico,c52rbcdu5hiukdhoshthvctbe,e603sojy77s4u0ypqds2v2a1g,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/e603sojy77s4u0ypqds2v2a1g/player/view/c52rbcdu5hiukdhoshthvctbe
