dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
1,,Inter Miami CF,Concacaf Champions Cup,Goalkeeper,USA,29rxabx4plofa06zgwuxlejca,7a7uyvix8axi28h7d3bwl4tbe,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/29rxabx4plofa06zgwuxlejca
32,,Inter Miami CF,Concacaf Champions Cup,Defender,USA,3oqz86s2ngipsrb1jbb36buqy,7a7uyvix8axi28h7d3bwl4tbe,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/3oqz86s2ngipsrb1jbb36buqy
29,,Inter Miami CF,Concacaf Champions Cup,Attacker,Ecuador,476ihmqlbiybhclhh83snv5sk,7a7uyvix8axi28h7d3bwl4tbe,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/476ihmqlbiybhclhh83snv5sk
18,,Inter Miami CF,Concacaf Champions Cup,Defender,Spain,4o6f3mnd39fx700o3jvj0wct1,7a7uyvix8axi28h7d3bwl4tbe,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/4o6f3mnd39fx700o3jvj0wct1
2,,Inter Miami CF,Concacaf Champions Cup,Defender,Argentina,5hjkyevqygoz216eavxkrh3bo,7a7uyvix8axi28h7d3bwl4tbe,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/5hjkyevqygoz216eavxkrh3bo
30,,Inter Miami CF,Concacaf Champions Cup,Midfielder,USA,5q5ti9wmab56mk2995qk01ixg,7a7uyvix8axi28h7d3bwl4tbe,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/5q5ti9wmab56mk2995qk01ixg
19,,Inter Miami CF,Concacaf Champions Cup,Goalkeeper,Argentina,61jn3hjiyxgk4i185mf1es3x1,7a7uyvix8axi28h7d3bwl4tbe,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/61jn3hjiyxgk4i185mf1es3x1
14,,Inter Miami CF,Concacaf Champions Cup,Defender,Paraguay,67fdwcro1s98tnlsd44l0e12h,7a7uyvix8axi28h7d3bwl4tbe,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/67fdwcro1s98tnlsd44l0e12h
21,,Inter Miami CF,Concacaf Champions Cup,Attacker,Argentina,6mgwcjden6vbuyrcexaxu9ogk,7a7uyvix8axi28h7d3bwl4tbe,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/6mgwcjden6vbuyrcexaxu9ogk
41,,Inter Miami CF,Concacaf Champions Cup,Midfielder,Honduras,6rf06scmlaprgplvvw0oyb9ck,7a7uyvix8axi28h7d3bwl4tbe,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/7a7uyvix8axi28h7d3bwl4tbe/player/view/6rf06scmlaprgplvvw0oyb9ck
