dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
1,,LD Alajuelense,Concacaf Champions Cup,Goalkeeper,Costa Rica,2ece8gcutc0rwb0x7m1wvldec,at42hkys62nqs9qvbip8oxkmw,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/at42hkys62nqs9qvbip8oxkmw/player/view/2ece8gcutc0rwb0x7m1wvldec
28,,LD Alajuelense,Concacaf Champions Cup,Midfielder,Costa Rica,35ed9dn5clmtkdkoh4f0rgdbe,at42hkys62nqs9qvbip8oxkmw,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/at42hkys62nqs9qvbip8oxkmw/player/view/35ed9dn5clmtkdkoh4f0rgdbe
19,,LD Alajuelense,Concacaf Champions Cup,Attacker,Spain,4kz0hj4odr34olmi27qiylmuh,at42hkys62nqs9qvbip8oxkmw,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/at42hkys62nqs9qvbip8oxkmw/player/view/4kz0hj4odr34olmi27qiylmuh
25,,LD Alajuelense,Concacaf Champions Cup,Defender,Costa Rica,4lrrsxmwie123bxlav18s2uei,at42hkys62nqs9qvbip8oxkmw,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/at42hkys62nqs9qvbip8oxkmw/player/view/4lrrsxmwie123bxlav18s2uei
7,,LD Alajuelense,Concacaf Champions Cup,Attacker,Haiti,5gsfgk3puoqkzwd8vz591fw9g,at42hkys62nqs9qvbip8oxkmw,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/at42hkys62nqs9qvbip8oxkmw/player/view/5gsfgk3puoqkzwd8vz591fw9g
22,,LD Alajuelense,Concacaf Champions Cup,Defender,Costa Rica,66zgg8oyv7c7cvkujkan5ptxx,at42hkys62nqs9qvbip8oxkmw,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/at42hkys62nqs9qvbip8oxkmw/player/view/66zgg8oyv7c7cvkujkan5ptxx
10,,LD Alajuelense,Concacaf Champions Cup,Midfielder,Costa Rica,6lh9oi0lc0r5l5vt94sxrhu96,at42hkys62nqs9qvbip8oxkmw,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/at42hkys62nqs9qvbip8oxkmw/player/view/6lh9oi0lc0r5l5vt94sxrhu96
14,,LD Alajuelense,Concacaf Champions Cup,Midfielder,Costa Rica,7g1lvmpww9jrvojy55zengpw4,at42hkys62nqs9qvbip8oxkmw,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/at42hkys62nqs9qvbip8oxkmw/player/view/7g1lvmpww9jrvojy55zengpw4
35,,LD Alajuelense,Concacaf Champions Cup,Midfielder,Costa Rica,7jfknunj61wxrgfgyt31hnlnu,at42hkys62nqs9qvbip8oxkmw,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/at42hkys62nqs9qvbip8oxkmw/player/view/7jfknunj61wxrgfgyt31hnlnu
4,Guillermo Villalobos,LD Alajuelense,Concacaf Champions Cup,Defender,Costa Rica,88v3wdjgtp9l8qx1z1nxjgums,at42hkys62nqs9qvbip8oxkmw,e6rl4hongahbihxd3tpudespd,2gj8eldctlh5kua3vdf9loqok,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2025/2gj8eldctlh5kua3vdf9loqok/teams/view/at42hkys62nqs9qvbip8oxkmw/player/view/88v3wdjgtp9l8qx1z1nxjgums
