liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Foul Attempted Tackle,Unsuccessful Corners into Box,Successful Passes Own Half,Ground Duels lost,Starts,Unsuccessful Passes Opposition Half,Interceptions,Total Fouls Conceded,Recoveries,Ground Duels,Goals Conceded Inside Box,Unsuccessful Crosses & Corners,Key Passes (Attempt Assists),Appearances,Rightside Passes,Aerial Duels,PutThrough/Blocked Distribution,Total Passes,Index,Successful Launches,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Total Fouls Won,Unsuccessful Launches,Penalties Conceded,Throw Ins to Opposition Player,Unsuccessful Short Passes,Total Touches In Opposition Box,Corners Taken (incl short corners),Duels,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels won,Total Tackles,Touches,Aerial Duels won,Throw Ins to Own Player,Backward Passes,Successful Open Play Passes,Successful Long Passes,Open Play Passes,Successful Passes Opposition Half,Unsuccessful Long Passes,Ground Duels won,Duels lost,Times Tackled,Time Played,Forward Passes,Aerial Duels lost,PutThrough/Blocked Distribution Won,Successful Dribbles,Unsuccessful Crosses open play,Penalty Goals Conceded,Tackles Lost,Leftside Passes,Unsuccessful Passes Own Half,Goals Conceded,Total Clearances,Tackles Won,Total Losses Of Possession,Winning Goal,Blocks,Shots Off Target (inc woodwork),Successful Crosses & Corners,Successful Corners into Box,Total Shots,Unsuccessful Dribbles,Corners Won,Shots On Target ( inc goals ),Offsides,Saves Made from Inside Box,Catches,Saves Made,Saves made - parried,Penalties Faced,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Punches,Successful Crosses open play,Blocked Shots,Successful Lay-offs,Goals Conceded Outside Box,Attempts from Set Pieces,Right Foot Goals,Clean Sheets,Goals from Inside Box,Home Goals,Away Goals,Overruns,Goal Assists,Assists (Intentional),Hit Woodwork,Through balls,Left Foot Goals,Unsuccessful lay-offs,Saves Made from Outside Box,Headed Goals,Handballs conceded,Own Goal Scored,Goals from Outside Box,Last Player Tackle,Drops,Saves from Penalty,Goalkeeper Smother,Penalties Saved,Second Goal Assists,Foul Won Penalty,Penalty Goals,Penalties Taken,Set Pieces Goals,Saves made - caught,Clearances Off the Line,Crosses not Claimed
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,84krgh1swq0ul9b6eowjs05p1,S. Adekugbe,Defender,3.0,4.0,,,,,,1.0,1.0,1.0,,49.0,3.0,3.0,24.0,6.0,2.0,12.0,7.0,5.0,4.0,,4.0,66.0,11.0,4.0,154.0,10.0,,128.0,124.0,1.0,1.0,,3.0,22.0,3.0,,18.0,26.0,8.0,3.0,215.0,4.0,20.0,32.0,127.0,4.0,153.0,81.0,4.0,4.0,10.0,,301.0,52.0,7.0,1.0,,4.0,,1.0,4.0,6.0,7.0,6.0,2.0,39.0,0.0,,,2.0,,,,1.0,,2.0,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,9r5wts47bv195z3rm8gajztg,A. Ahmed,Defender,22.0,9.0,,1.0,,,,1.0,4.0,1.0,,59.0,49.0,8.0,43.0,9.0,6.0,31.0,100.0,9.0,12.0,8.0,9.0,56.0,8.0,17.0,224.0,10.0,,187.0,185.0,25.0,1.0,,,35.0,38.0,,108.0,37.0,53.0,9.0,420.0,2.0,3.0,84.0,182.0,2.0,219.0,129.0,2.0,51.0,55.0,31.0,734.0,51.0,6.0,10.0,18.0,12.0,,2.0,33.0,6.0,11.0,8.0,7.0,121.0,0.0,1.0,4.0,1.0,,9.0,20.0,8.0,5.0,,,,,,,,,,,1.0,1.0,2.0,2.0,,,1.0,,,,2.0,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,6cdhdb44atdm9b3n7swgi002y,M. Anchor,Goalkeeper,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,bhzjqo4qidpkmh7lqqir9h4ic,J. Badwal,Midfielder,59.0,2.0,,,,,,2.0,,,,1.0,2.0,,1.0,,1.0,,2.0,2.0,,1.0,2.0,,1.0,,4.0,10.0,,3.0,3.0,,,,,1.0,2.0,,3.0,1.0,,,7.0,,,3.0,2.0,,3.0,2.0,,,3.0,1.0,15.0,1.0,1.0,,,,,,,,2.0,,,3.0,0.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,54b4j04ondrq28e4eenma1rai,S. Berhalter,Midfielder,16.0,8.0,3.0,3.0,,,,,3.0,11.0,14.0,119.0,30.0,8.0,77.0,6.0,14.0,31.0,52.0,6.0,28.0,12.0,8.0,82.0,14.0,19.0,351.0,10.0,5.0,295.0,276.0,6.0,5.0,,,36.0,11.0,20.0,66.0,56.0,32.0,17.0,490.0,10.0,3.0,83.0,288.0,19.0,339.0,184.0,20.0,22.0,34.0,7.0,681.0,109.0,4.0,10.0,,10.0,,5.0,77.0,7.0,7.0,10.0,12.0,106.0,0.0,2.0,4.0,8.0,6.0,8.0,1.0,5.0,4.0,,,,,,,,,,,2.0,3.0,9.0,1.0,4.0,2.0,2.0,3.0,1.0,2.0,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,3qw81ws1dvf6ye83m2sd9vje1,T. Blackmon,Defender,33.0,8.0,1.0,2.0,,,,,1.0,2.0,,197.0,11.0,8.0,30.0,7.0,8.0,32.0,23.0,11.0,3.0,,8.0,97.0,23.0,5.0,422.0,10.0,5.0,380.0,360.0,7.0,6.0,,25.0,22.0,5.0,,46.0,42.0,21.0,5.0,549.0,9.0,13.0,20.0,368.0,20.0,406.0,183.0,20.0,12.0,25.0,2.0,713.0,193.0,14.0,4.0,,3.0,1.0,2.0,112.0,15.0,13.0,40.0,3.0,75.0,0.0,4.0,2.0,,,3.0,1.0,1.0,1.0,1.0,,,,,,2.0,,2.0,,,1.0,,2.0,1.0,1.0,2.0,1.0,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,1g87lk1nglquvmvpowjfpcpre,I. Boehmer,Goalkeeper,32.0,2.0,,,,,,,,,,35.0,,2.0,4.0,,,9.0,,3.0,,,2.0,17.0,1.0,,49.0,10.0,1.0,39.0,31.0,,2.0,,,,,,1.0,10.0,,,60.0,,,,30.0,8.0,37.0,4.0,10.0,,1.0,,180.0,15.0,1.0,,,,1.0,,17.0,6.0,3.0,1.0,,10.0,0.0,,,,,,,,,,,,4.0,1.0,1.0,14.0,1.0,10.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,5k3ijtizx5ten8jeqlji4mvpw,G. Bovalina,Defender,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,8yu7irbyel9lwn1l3u7oke1ud,A. Cubas,Midfielder,20.0,8.0,,2.0,,,,2.0,3.0,9.0,,96.0,18.0,6.0,22.0,5.0,11.0,25.0,50.0,9.0,2.0,,8.0,68.0,4.0,10.0,226.0,10.0,2.0,195.0,180.0,2.0,6.0,,,20.0,1.0,,54.0,31.0,33.0,27.0,303.0,1.0,,30.0,190.0,15.0,221.0,99.0,11.0,32.0,21.0,4.0,525.0,67.0,3.0,7.0,3.0,2.0,1.0,8.0,61.0,11.0,11.0,14.0,19.0,41.0,0.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,6.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,84wint64ygxx3pi5fz3mr12j8,N. Fleuriau Chateau,Forward,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
