equipo,link,logo,cod_equipo,cod_liga,liga,url_squad,url_matches_equipo,url_seasonstats,equipo_folder
AF Sporting San Miguelito,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/af-sporting-san-miguelito/44f2yubyhlmern9sangd54bw6,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=44f2yubyhlmern9sangd54bw6,44f2yubyhlmern9sangd54bw6,6nv6rqeo7bc5utin12d6385w,concacaf-champions-cup-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=44f2yubyhlmern9sangd54bw6&tmcl=6nv6rqeo7bc5utin12d6385w&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W392d98ca21d413189f200b6210bfd899ca6839500,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=44f2yubyhlmern9sangd54bw6&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3ef2c70875982050022559b3f6c6f09b9668f34d9,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=44f2yubyhlmern9sangd54bw6&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b364f07ac83a1a57a994effcb74544bcc1bc0689,AF_Sporting_San_Miguelito
Atlético Ottawa,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/atlético-ottawa/dn8tjhuq0bax4dgixqvluhzze,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=dn8tjhuq0bax4dgixqvluhzze,dn8tjhuq0bax4dgixqvluhzze,6nv6rqeo7bc5utin12d6385w,concacaf-champions-cup-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=dn8tjhuq0bax4dgixqvluhzze&tmcl=6nv6rqeo7bc5utin12d6385w&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W33001d91687e06c705edb25482214fcbec20e8250,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=dn8tjhuq0bax4dgixqvluhzze&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f26afa23da18502c79ae3e0f701deb9c971096a4,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=dn8tjhuq0bax4dgixqvluhzze&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b970726ac741e7e35252ba6d551e2c2d93fd0bc4,Atlético_Ottawa
CD Olimpia,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/cd-olimpia/1vxcqmz5lh9iocbkhfq7ac601,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=1vxcqmz5lh9iocbkhfq7ac601,1vxcqmz5lh9iocbkhfq7ac601,6nv6rqeo7bc5utin12d6385w,concacaf-champions-cup-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=1vxcqmz5lh9iocbkhfq7ac601&tmcl=6nv6rqeo7bc5utin12d6385w&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W390895068014290f5a7b7960c4fc3556722d70dd6,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=1vxcqmz5lh9iocbkhfq7ac601&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3853d4389c376aba87709cb74f47f16de053ca2aa,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=1vxcqmz5lh9iocbkhfq7ac601&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W386c35cd17b95f333537cb00c743c10543d6f581a,CD_Olimpia
CF América,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/cf-américa/eu8c408f59yx7egaqossbv25e,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=eu8c408f59yx7egaqossbv25e,eu8c408f59yx7egaqossbv25e,6nv6rqeo7bc5utin12d6385w,concacaf-champions-cup-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=eu8c408f59yx7egaqossbv25e&tmcl=6nv6rqeo7bc5utin12d6385w&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f4a84445c51d557b7ba2cb6fe1810f4a304a62d4,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=eu8c408f59yx7egaqossbv25e&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3eea3cefef734d94980ec4d96959cba11be0cb2d2,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=eu8c408f59yx7egaqossbv25e&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W358a9f0b7ec4f8f567eaa872947b0b3800190175e,CF_América
CF Cruz Azul,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/cf-cruz-azul/1aw67co8uut64yckd3wbhy9t2,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=1aw67co8uut64yckd3wbhy9t2,1aw67co8uut64yckd3wbhy9t2,6nv6rqeo7bc5utin12d6385w,concacaf-champions-cup-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=1aw67co8uut64yckd3wbhy9t2&tmcl=6nv6rqeo7bc5utin12d6385w&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f9e85c69d93a7a6161ebc2dfe027ee6c6f6ae6e8,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=1aw67co8uut64yckd3wbhy9t2&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b10ea50398613571f33e8734109ec9d38976ec62,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=1aw67co8uut64yckd3wbhy9t2&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3788901cd31633b6f523eb84fe7a6900ea05262ee,CF_Cruz_Azul
CF Monterrey,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/cf-monterrey/233335xtoe3e3phg3hp91xguq,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=233335xtoe3e3phg3hp91xguq,233335xtoe3e3phg3hp91xguq,6nv6rqeo7bc5utin12d6385w,concacaf-champions-cup-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=233335xtoe3e3phg3hp91xguq&tmcl=6nv6rqeo7bc5utin12d6385w&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b7196280dde14dd3b16f0c0df5a58db86c3f2af6,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=233335xtoe3e3phg3hp91xguq&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W38343659ee5aec626f13d24191d9fababbc2e5dcf,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=233335xtoe3e3phg3hp91xguq&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W378ea389d8fb363e1e2c2ae49372cbcc4d9097dce,CF_Monterrey
CS Cartaginés,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/cs-cartaginés/5tlc1uoevh0wrkazhzeoj0vd2,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=5tlc1uoevh0wrkazhzeoj0vd2,5tlc1uoevh0wrkazhzeoj0vd2,6nv6rqeo7bc5utin12d6385w,concacaf-champions-cup-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=5tlc1uoevh0wrkazhzeoj0vd2&tmcl=6nv6rqeo7bc5utin12d6385w&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3bfb95719b77c11a2b1ec7c0c3a06441c4052063f,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=5tlc1uoevh0wrkazhzeoj0vd2&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36580b201a24ad19b5f7cc7aa8b812bb0e2fc843e,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=5tlc1uoevh0wrkazhzeoj0vd2&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W310ef562945d776134dcc6741fbc888b2ed215dcd,CS_Cartaginés
CSD Xelajú Mario Camposeco,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/csd-xelajú-mario-camposeco/7mtw94t97bm3k3ubk2rxg8ys4,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=7mtw94t97bm3k3ubk2rxg8ys4,7mtw94t97bm3k3ubk2rxg8ys4,6nv6rqeo7bc5utin12d6385w,concacaf-champions-cup-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=7mtw94t97bm3k3ubk2rxg8ys4&tmcl=6nv6rqeo7bc5utin12d6385w&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d2bb1ad346d484a92d667b98dd5bc1e125134943,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=7mtw94t97bm3k3ubk2rxg8ys4&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a4536b4975f230e4bb0e2b827c2275bab699133f,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=7mtw94t97bm3k3ubk2rxg8ys4&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b4852094e573b1bb96c0cbfd5ce5d367133c79cc,CSD_Xelajú_Mario_Camposeco
Club Tigres UANL,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/club-tigres-uanl/6hmo9mrlz73nwxkshwuu5vsfm,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=6hmo9mrlz73nwxkshwuu5vsfm,6hmo9mrlz73nwxkshwuu5vsfm,6nv6rqeo7bc5utin12d6385w,concacaf-champions-cup-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=6hmo9mrlz73nwxkshwuu5vsfm&tmcl=6nv6rqeo7bc5utin12d6385w&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W32baf014bd5e575089e0ac7222e1e70b77fe224b0,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=6hmo9mrlz73nwxkshwuu5vsfm&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d47c417f2ef7f80b9e9bc1974d2f66630f8ef480,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=6hmo9mrlz73nwxkshwuu5vsfm&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W32c6043748b709a45a37d3eea4f1d8a4273227c40,Club_Tigres_UANL
Club Universidad Nacional,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/club-universidad-nacional/ayabrorjqa1bj7jk1fdqu1t57,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=ayabrorjqa1bj7jk1fdqu1t57,ayabrorjqa1bj7jk1fdqu1t57,6nv6rqeo7bc5utin12d6385w,concacaf-champions-cup-2026,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=ayabrorjqa1bj7jk1fdqu1t57&tmcl=6nv6rqeo7bc5utin12d6385w&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W306dfe6273b39e337718099b5dfca478aee2ae726,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=ayabrorjqa1bj7jk1fdqu1t57&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3c68ced718365e35fec679bd4f5500dd5181235c4,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6nv6rqeo7bc5utin12d6385w&ctst=ayabrorjqa1bj7jk1fdqu1t57&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W391d51ed5adb78b51899d0eec9a853d5d2fc89914,Club_Universidad_Nacional
