dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
21,Luis Reyes,CF Monterrey,CF_Monterrey,Concacaf Champions Cup,Defender,Mexico,21051apcxzotsbfnwivngarbp,233335xtoe3e3phg3hp91xguq,e6rl4hongahbihxd3tpudespd,6nv6rqeo7bc5utin12d6385w,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/view/233335xtoe3e3phg3hp91xguq/player/view/21051apcxzotsbfnwivngarbp
5,,CF Monterrey,CF_Monterrey,Concacaf Champions Cup,Midfielder,Mexico,2ufp5icqczg2wvcxl5axnxu96,233335xtoe3e3phg3hp91xguq,e6rl4hongahbihxd3tpudespd,6nv6rqeo7bc5utin12d6385w,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/view/233335xtoe3e3phg3hp91xguq/player/view/2ufp5icqczg2wvcxl5axnxu96
11,,CF Monterrey,CF_Monterrey,Concacaf Champions Cup,Attacker,Argentina,36g1p3hll0wmj8icjk1krrp0q,233335xtoe3e3phg3hp91xguq,e6rl4hongahbihxd3tpudespd,6nv6rqeo7bc5utin12d6385w,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/view/233335xtoe3e3phg3hp91xguq/player/view/36g1p3hll0wmj8icjk1krrp0q
9,,CF Monterrey,CF_Monterrey,Concacaf Champions Cup,Attacker,France,3ikhefktnj44ys7rqjzr5q09h,233335xtoe3e3phg3hp91xguq,e6rl4hongahbihxd3tpudespd,6nv6rqeo7bc5utin12d6385w,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/view/233335xtoe3e3phg3hp91xguq/player/view/3ikhefktnj44ys7rqjzr5q09h
,,CF Monterrey,CF_Monterrey,Concacaf Champions Cup,,Argentina,47cf8n42u9lspiq3jg8gztecp,233335xtoe3e3phg3hp91xguq,e6rl4hongahbihxd3tpudespd,6nv6rqeo7bc5utin12d6385w,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/view/233335xtoe3e3phg3hp91xguq/player/view/47cf8n42u9lspiq3jg8gztecp
19,,CF Monterrey,CF_Monterrey,Concacaf Champions Cup,Defender,Mexico,4brxad2pilyhwhjgri3u0rmga,233335xtoe3e3phg3hp91xguq,e6rl4hongahbihxd3tpudespd,6nv6rqeo7bc5utin12d6385w,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/view/233335xtoe3e3phg3hp91xguq/player/view/4brxad2pilyhwhjgri3u0rmga
25,,CF Monterrey,CF_Monterrey,Concacaf Champions Cup,Goalkeeper,Uruguay,4tt9wh05c0oj5qviq1xn3qms5,233335xtoe3e3phg3hp91xguq,e6rl4hongahbihxd3tpudespd,6nv6rqeo7bc5utin12d6385w,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/view/233335xtoe3e3phg3hp91xguq/player/view/4tt9wh05c0oj5qviq1xn3qms5
40,,CF Monterrey,CF_Monterrey,Concacaf Champions Cup,Goalkeeper,Mexico,5l0ai0fiegmpehqlljfpfj5lg,233335xtoe3e3phg3hp91xguq,e6rl4hongahbihxd3tpudespd,6nv6rqeo7bc5utin12d6385w,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/view/233335xtoe3e3phg3hp91xguq/player/view/5l0ai0fiegmpehqlljfpfj5lg
41,,CF Monterrey,CF_Monterrey,Concacaf Champions Cup,Midfielder,Mexico,66d2zxl119dijxic3lz6h14ic,233335xtoe3e3phg3hp91xguq,e6rl4hongahbihxd3tpudespd,6nv6rqeo7bc5utin12d6385w,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/view/233335xtoe3e3phg3hp91xguq/player/view/66d2zxl119dijxic3lz6h14ic
13,,CF Monterrey,CF_Monterrey,Concacaf Champions Cup,Defender,Mexico,6l97gjz7cqyesvghutj2k3nbp,233335xtoe3e3phg3hp91xguq,e6rl4hongahbihxd3tpudespd,6nv6rqeo7bc5utin12d6385w,https://www.scoresway.com/en_GB/soccer/concacaf-champions-cup-2026/6nv6rqeo7bc5utin12d6385w/teams/view/233335xtoe3e3phg3hp91xguq/player/view/6l97gjz7cqyesvghutj2k3nbp
