liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Leftside Passes,Open Play Passes,Progressive Carries,Recoveries,Rightside Passes,Shots On Target ( inc goals ),Starts,Successful Dribbles,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Foul Attempted Tackle,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Substitute Off,Unsuccessful lay-offs,Hit Woodwork,Substitute On,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Yellow Cards,Successful Crosses & Corners,Successful Crosses open play,Total Fouls Won,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Successful Launches,Total Big Chances Saved,Corners Taken (incl short corners),Corners Won,Key Passes (Attempt Assists),Overruns,Successful Corners into Box,Successful Lay-offs,Total Big Chances Created,Unsuccessful Corners into Box,Offsides,Goals,Goals Openplay,Goals from Inside Box,Headed Goals,Total Big Chances Scored,Home Goals,Away Goals,Assists (Intentional),Goal Assists,Blocked Shots,Through balls,Catches,Saves made - parried,Clearances Off the Line,Handballs conceded,Attempts from Set Pieces,Goals from Outside Box,Right Foot Goals,Goalkeeper Smother,Goals Conceded Outside Box,Penalty Goals Conceded,Shots Created,Drops,Penalties Faced,Left Foot Goals,Penalties Conceded,Foul Won Penalty,Penalties Taken,Penalty Goals,Saves made - caught,Other Goals,Straight Red Cards,Total Red Cards,Last Player Tackle,Second Goal Assists,Red Cards - 2nd Yellow,Penalties Off Target,Crosses not Claimed,Direct Setpiece Goals,Set Pieces Goals,Penalties Saved,Saves from Penalty,Own Goal Scored
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,6hh057kb54ovy3lqxo5bvxlhw,A. García,Midfielder,8,1.0,1.0,,2.0,24.0,,24.0,,14.0,9.0,5.0,41.0,13.0,2.0,4.0,4.0,13.0,8.0,5.0,,5.0,61.0,9.0,7.0,19.0,,1.0,2.0,1.0,51.0,35.0,16.0,50.0,,1.0,,2.0,157.0,7.0,,2.0,1.0,24.0,61.0,,51.0,1.0,,10.0,87.0,5.0,,,9.0,2.0,10.0,0.0,,5.0,,,,,,1.0,1.0,1.0,,,,2.0,,,,,,,,1.0,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,dhh0fvd8mc7lr11aubf8foi5l,D. Aparicio,Midfielder,19,1.0,1.0,,2.0,6.0,3.0,23.0,,9.0,5.0,4.0,3.0,33.0,2.0,7.0,7.0,8.0,4.0,4.0,4.0,35.0,102.0,19.0,7.0,30.0,,2.0,,6.0,93.0,24.0,71.0,89.0,2.0,1.0,,2.0,180.0,1.0,,2.0,3.0,11.0,104.0,,95.0,3.0,1.0,9.0,130.0,1.0,2.0,3.0,2.0,7.0,6.0,0.0,1.0,5.0,3.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,duw6sg7kjolujphqyubcnzq50,M. Arana,Midfielder,54,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,9qyg5hre038m06bzzupzgmsk4,E. Arzú,Forward,16,1.0,,1.0,1.0,,,,,2.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,11.0,,,,1.0,,,,,,,,1.0,,,,,,,0.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,82g30af5h2uux55q2zyitpmtx,J. Benavidez,Midfielder,10,,,,2.0,18.0,,46.0,,12.0,9.0,3.0,41.0,28.0,2.0,7.0,7.0,12.0,9.0,3.0,2.0,25.0,97.0,21.0,9.0,28.0,2.0,2.0,3.0,10.0,85.0,60.0,29.0,75.0,,,,,180.0,5.0,1.0,2.0,3.0,28.0,99.0,3.0,85.0,,1.0,14.0,131.0,2.0,,5.0,16.0,,9.0,0.0,1.0,3.0,1.0,1.0,,,1.0,,2.0,1.0,1.0,4.0,,,,,,,,,,,,2.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,4fqvitjj7eqhmt631v4caks9g,D. Cacho,Midfielder,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,2jmztba5givggmydojh1lpfys,J. Capeluto,Defender,4,,,,1.0,1.0,,,,2.0,1.0,1.0,,4.0,1.0,3.0,3.0,2.0,1.0,1.0,,1.0,6.0,,1.0,,,1.0,1.0,,4.0,1.0,3.0,4.0,,,3.0,,23.0,,,,1.0,5.0,6.0,,4.0,,,2.0,12.0,,1.0,1.0,2.0,,1.0,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,2tz20qhjzattu0szqzqjjmv4k,N. Cruz,Midfielder,12,,,,2.0,5.0,,4.0,,13.0,8.0,5.0,15.0,2.0,2.0,1.0,1.0,13.0,8.0,5.0,,6.0,16.0,3.0,4.0,3.0,,,,1.0,13.0,9.0,4.0,12.0,,1.0,,,68.0,7.0,,1.0,1.0,15.0,16.0,,13.0,1.0,3.0,3.0,35.0,4.0,,,3.0,1.0,3.0,0.0,1.0,1.0,,,,,,2.0,1.0,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,9eqeieo1s5m7etfg4s0nshgk4,D. Palacios,Defender,21,,,,2.0,3.0,,,,,,,,4.0,2.0,,,,,,,4.0,11.0,,,,,,,,10.0,2.0,8.0,10.0,,,,1.0,12.0,,,,,1.0,11.0,,10.0,,,1.0,12.0,,1.0,1.0,1.0,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Real CD España,annmut4ru8fcfawzby7oisgk5,D. García,Defender,6,1.0,,1.0,2.0,12.0,3.0,23.0,,3.0,1.0,2.0,1.0,31.0,2.0,7.0,7.0,2.0,1.0,1.0,3.0,33.0,104.0,14.0,9.0,32.0,,2.0,,7.0,91.0,10.0,85.0,88.0,,1.0,,,180.0,,,6.0,1.0,13.0,108.0,1.0,95.0,1.0,1.0,13.0,126.0,,3.0,8.0,11.0,2.0,5.0,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
