liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Leftside Passes,Open Play Passes,Progressive Carries,Recoveries,Rightside Passes,Shots On Target ( inc goals ),Starts,Successful Dribbles,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Foul Attempted Tackle,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Substitute Off,Unsuccessful lay-offs,Hit Woodwork,Substitute On,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Yellow Cards,Successful Crosses & Corners,Successful Crosses open play,Total Fouls Won,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Successful Launches,Total Big Chances Saved,Corners Taken (incl short corners),Corners Won,Key Passes (Attempt Assists),Overruns,Successful Corners into Box,Successful Lay-offs,Total Big Chances Created,Unsuccessful Corners into Box,Offsides,Goals,Goals Openplay,Goals from Inside Box,Headed Goals,Total Big Chances Scored,Home Goals,Away Goals,Assists (Intentional),Goal Assists,Blocked Shots,Through balls,Catches,Saves made - parried,Clearances Off the Line,Handballs conceded,Attempts from Set Pieces,Goals from Outside Box,Right Foot Goals,Goalkeeper Smother,Goals Conceded Outside Box,Penalty Goals Conceded,Shots Created,Drops,Penalties Faced,Left Foot Goals,Penalties Conceded,Foul Won Penalty,Penalties Taken,Penalty Goals,Saves made - caught,Other Goals,Straight Red Cards,Total Red Cards,Last Player Tackle,Second Goal Assists,Red Cards - 2nd Yellow,Penalties Off Target,Crosses not Claimed,Direct Setpiece Goals,Set Pieces Goals,Penalties Saved,Saves from Penalty,Own Goal Scored
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,7ow3xv8u8vzjfis6fn1p7n4dl,A. Roldan,Defender,16,8.0,6.0,2.0,4.0,10.0,6.0,38.0,,19.0,12.0,7.0,18.0,88.0,4.0,4.0,3.0,11.0,6.0,5.0,5.0,75.0,171.0,15.0,8.0,11.0,,4.0,1.0,11.0,153.0,56.0,110.0,154.0,2.0,2.0,,1.0,359.0,1.0,,16.0,2.0,22.0,184.0,1.0,165.0,4.0,1.0,19.0,231.0,,8.0,13.0,13.0,6.0,6.0,0.0,2.0,3.0,3.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,6cdhdb44atdm9b3n7swgi002y,M. Anchor,Goalkeeper,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,6glxg9gvqn1uc1jmwisnml68l,P. Arriola,Forward,17,2.0,1.0,1.0,4.0,15.0,1.0,20.0,,16.0,8.0,8.0,37.0,12.0,4.0,2.0,1.0,14.0,7.0,7.0,,6.0,51.0,9.0,7.0,18.0,4.0,3.0,,2.0,41.0,23.0,19.0,39.0,1.0,1.0,,2.0,218.0,2.0,2.0,4.0,3.0,24.0,51.0,4.0,41.0,2.0,9.0,10.0,91.0,1.0,,2.0,15.0,1.0,8.0,1.0,2.0,3.0,2.0,,3.0,,,1.0,6.0,6.0,,1.0,1.0,5.0,,,,,,,,,,,,4.0,,,3.0,1.0,,1.0,2.0,2.0,2.0,,2.0,0.0,2.0,,,1.0,2.0,,,,,,,1.0,,1.0,,4.0,,,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,7mnh4dln104xhunf6u9f2546i,C. Baker,Defender,33,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,,3.0,,,1.0,,,1.0,,1.0,,,,3.0,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,ez0t0pl5qxy0sa3zp1l77sjro,S. Brunell,Midfielder,37,5.0,3.0,2.0,4.0,15.0,,37.0,1.0,40.0,19.0,21.0,40.0,44.0,4.0,4.0,3.0,35.0,16.0,19.0,3.0,32.0,112.0,21.0,13.0,21.0,,4.0,2.0,1.0,87.0,41.0,46.0,86.0,6.0,1.0,,,312.0,11.0,,7.0,2.0,42.0,112.0,1.0,87.0,7.0,1.0,25.0,178.0,6.0,2.0,2.0,16.0,9.0,23.0,0.0,2.0,11.0,8.0,1.0,2.0,,,,,,1.0,,,10.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,1n0l8r7kj88y4k7tfaolsrkkp,C. Roldan,Midfielder,7,13.0,4.0,9.0,4.0,42.0,1.0,64.0,1.0,41.0,15.0,26.0,44.0,96.0,4.0,4.0,3.0,28.0,11.0,17.0,2.0,47.0,246.0,31.0,27.0,63.0,,4.0,3.0,16.0,196.0,101.0,97.0,182.0,3.0,4.0,,1.0,360.0,5.0,,11.0,4.0,61.0,248.0,1.0,198.0,7.0,1.0,50.0,311.0,,10.0,17.0,33.0,17.0,33.0,0.0,2.0,7.0,4.0,1.0,,1.0,,,,,1.0,,,8.0,,,,,,,,1.0,,,,1.0,,,6.0,2.0,,,,,,,,,,2.0,3.0,2.0,2.0,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,3y5rrahty1k0l1hnww3bcozmy,O. De Rosario,Forward,95,10.0,6.0,4.0,3.0,9.0,,16.0,,24.0,13.0,11.0,18.0,4.0,3.0,2.0,1.0,14.0,7.0,7.0,1.0,4.0,23.0,9.0,2.0,7.0,2.0,2.0,3.0,,16.0,10.0,8.0,17.0,,1.0,,,147.0,4.0,1.0,1.0,3.0,23.0,24.0,5.0,17.0,1.0,6.0,7.0,57.0,,,1.0,7.0,,6.0,0.0,1.0,2.0,,3.0,2.0,,,1.0,,,,1.0,1.0,3.0,,,,,,,,,,,1.0,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,f2sspwt1mtyf9y3z4xe1csgh6,H. Dotson,Midfielder,31,1.0,,1.0,2.0,3.0,,4.0,,2.0,,2.0,3.0,4.0,2.0,,,1.0,,1.0,1.0,1.0,11.0,2.0,,3.0,,,,,9.0,5.0,4.0,9.0,1.0,,,,20.0,,,3.0,,2.0,11.0,,9.0,1.0,,2.0,17.0,,,,,2.0,2.0,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,5wttdjpftd57c2t5959sm2yg9,J. Ferreira,Forward,9,2.0,1.0,1.0,4.0,36.0,,30.0,,21.0,8.0,13.0,52.0,35.0,4.0,3.0,2.0,19.0,7.0,12.0,2.0,43.0,115.0,19.0,17.0,7.0,,3.0,2.0,2.0,82.0,55.0,34.0,85.0,1.0,7.0,,4.0,251.0,2.0,,2.0,1.0,41.0,121.0,,87.0,8.0,5.0,34.0,168.0,,5.0,6.0,24.0,12.0,28.0,0.0,,14.0,8.0,,2.0,1.0,,1.0,2.0,2.0,,2.0,1.0,2.0,,,,,,,,,,1.0,3.0,5.0,,,8.0,3.0,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,27fyf4lu42ovf02lksw45pjo5,S. Frei,Goalkeeper,24,,,,4.0,,,12.0,1.0,,,,,69.0,4.0,4.0,3.0,,,,,24.0,58.0,2.0,42.0,16.0,,4.0,,16.0,43.0,11.0,64.0,59.0,,,,,360.0,,,4.0,,34.0,109.0,,75.0,,,34.0,155.0,,20.0,34.0,29.0,5.0,,0.0,,,,,,,,,,,1.0,,,,49.0,10.0,36.0,,14.0,8.0,6.0,6.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
