equipo,link,logo,cod_equipo,cod_liga,liga,url_squad,url_matches_equipo
Canada,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2015-usa-canada/1u95s7m7q59ca2yy59iz2p239/teams/canada/eg7vduna0h3vis1wd47s41za7,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=eg7vduna0h3vis1wd47s41za7,eg7vduna0h3vis1wd47s41za7,1u95s7m7q59ca2yy59iz2p239,concacaf-gold-cup-2015-usa-canada,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=eg7vduna0h3vis1wd47s41za7&tmcl=1u95s7m7q59ca2yy59iz2p239&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36e9f1abb09eda1d1200a176404f78dcc64c40e6a,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1u95s7m7q59ca2yy59iz2p239&ctst=eg7vduna0h3vis1wd47s41za7&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f7d98e31c21f4b0d143add684ba9e71876bfffb9
Costa Rica,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2015-usa-canada/1u95s7m7q59ca2yy59iz2p239/teams/costa-rica/bfgqfm4qa3mal7fll74wd04mu,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=bfgqfm4qa3mal7fll74wd04mu,bfgqfm4qa3mal7fll74wd04mu,1u95s7m7q59ca2yy59iz2p239,concacaf-gold-cup-2015-usa-canada,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=bfgqfm4qa3mal7fll74wd04mu&tmcl=1u95s7m7q59ca2yy59iz2p239&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W30d67281afdf68e259ada12efdc1f158243bfae42,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1u95s7m7q59ca2yy59iz2p239&ctst=bfgqfm4qa3mal7fll74wd04mu&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3ecba8bafac81135a51792aa2c205352bc4b15ce1
Cuba,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2015-usa-canada/1u95s7m7q59ca2yy59iz2p239/teams/cuba/m49kr6rapkqh6zbqdm01w3sj,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=m49kr6rapkqh6zbqdm01w3sj,m49kr6rapkqh6zbqdm01w3sj,1u95s7m7q59ca2yy59iz2p239,concacaf-gold-cup-2015-usa-canada,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=m49kr6rapkqh6zbqdm01w3sj&tmcl=1u95s7m7q59ca2yy59iz2p239&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3bc4ab4bf6d10a43718a6d472bb71458810fb99e9,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1u95s7m7q59ca2yy59iz2p239&ctst=m49kr6rapkqh6zbqdm01w3sj&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34a1c1784a9abb6bd52f02dd65e1f12a2fa4241a2
El Salvador,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2015-usa-canada/1u95s7m7q59ca2yy59iz2p239/teams/el-salvador/avc9qnhswi33ld54pvpp4fmkg,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=avc9qnhswi33ld54pvpp4fmkg,avc9qnhswi33ld54pvpp4fmkg,1u95s7m7q59ca2yy59iz2p239,concacaf-gold-cup-2015-usa-canada,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=avc9qnhswi33ld54pvpp4fmkg&tmcl=1u95s7m7q59ca2yy59iz2p239&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3dd86392ee1a642bb1de9a2887631da74466d1355,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1u95s7m7q59ca2yy59iz2p239&ctst=avc9qnhswi33ld54pvpp4fmkg&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3244fbaec79af0ceacca0681a443f39a7b4ec3d73
Guatemala,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2015-usa-canada/1u95s7m7q59ca2yy59iz2p239/teams/guatemala/a4wu0pabb2b7r8ik6gs0w1o28,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=a4wu0pabb2b7r8ik6gs0w1o28,a4wu0pabb2b7r8ik6gs0w1o28,1u95s7m7q59ca2yy59iz2p239,concacaf-gold-cup-2015-usa-canada,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=a4wu0pabb2b7r8ik6gs0w1o28&tmcl=1u95s7m7q59ca2yy59iz2p239&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f8bd67a42c0ca2ea03ad7617e962664b226da27c,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1u95s7m7q59ca2yy59iz2p239&ctst=a4wu0pabb2b7r8ik6gs0w1o28&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W377955a447470026d3252b9e628c6fc83b3881f05
Haiti,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2015-usa-canada/1u95s7m7q59ca2yy59iz2p239/teams/haiti/151psmk1h1c846f2lqmflkx75,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=151psmk1h1c846f2lqmflkx75,151psmk1h1c846f2lqmflkx75,1u95s7m7q59ca2yy59iz2p239,concacaf-gold-cup-2015-usa-canada,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=151psmk1h1c846f2lqmflkx75&tmcl=1u95s7m7q59ca2yy59iz2p239&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a847aa74ec09ba767aceacc56d4c7f324b76e613,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1u95s7m7q59ca2yy59iz2p239&ctst=151psmk1h1c846f2lqmflkx75&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d18678703689ea73316cb807e673e801d261c7b0
Honduras,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2015-usa-canada/1u95s7m7q59ca2yy59iz2p239/teams/honduras/6ngz19ekzqqufux1sswnhzlsw,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=6ngz19ekzqqufux1sswnhzlsw,6ngz19ekzqqufux1sswnhzlsw,1u95s7m7q59ca2yy59iz2p239,concacaf-gold-cup-2015-usa-canada,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=6ngz19ekzqqufux1sswnhzlsw&tmcl=1u95s7m7q59ca2yy59iz2p239&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W39990ed630242b572d761f95cb83e28dff01a9708,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1u95s7m7q59ca2yy59iz2p239&ctst=6ngz19ekzqqufux1sswnhzlsw&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b0b5b5e9aa327a5c5c76ca874b9d15f5947c4aa4
Jamaica,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2015-usa-canada/1u95s7m7q59ca2yy59iz2p239/teams/jamaica/8yhjl13p7luh3v905btbvz42t,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=8yhjl13p7luh3v905btbvz42t,8yhjl13p7luh3v905btbvz42t,1u95s7m7q59ca2yy59iz2p239,concacaf-gold-cup-2015-usa-canada,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=8yhjl13p7luh3v905btbvz42t&tmcl=1u95s7m7q59ca2yy59iz2p239&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3ad6cb2f02aa8b2a7642e1d4e005cf4fd9a0edd0e,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1u95s7m7q59ca2yy59iz2p239&ctst=8yhjl13p7luh3v905btbvz42t&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34d19c45ab9199c5fd53d84b37c63946d8c95bdc2
Mexico,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2015-usa-canada/1u95s7m7q59ca2yy59iz2p239/teams/mexico/4vofb84dzb5fyc81n2ssws6ah,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=4vofb84dzb5fyc81n2ssws6ah,4vofb84dzb5fyc81n2ssws6ah,1u95s7m7q59ca2yy59iz2p239,concacaf-gold-cup-2015-usa-canada,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=4vofb84dzb5fyc81n2ssws6ah&tmcl=1u95s7m7q59ca2yy59iz2p239&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3bd49f43002d59468aa68d62c5ccbb9fd76224fab,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1u95s7m7q59ca2yy59iz2p239&ctst=4vofb84dzb5fyc81n2ssws6ah&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a7f586628185803c2382b8216d0139a62e3319d5
Panama,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2015-usa-canada/1u95s7m7q59ca2yy59iz2p239/teams/panama/8856r86rattc8kxn6a0l9tb2t,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=8856r86rattc8kxn6a0l9tb2t,8856r86rattc8kxn6a0l9tb2t,1u95s7m7q59ca2yy59iz2p239,concacaf-gold-cup-2015-usa-canada,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=8856r86rattc8kxn6a0l9tb2t&tmcl=1u95s7m7q59ca2yy59iz2p239&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d470e0cd672c1d5c605230a5775a38cab4a9eead,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=1u95s7m7q59ca2yy59iz2p239&ctst=8856r86rattc8kxn6a0l9tb2t&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34fcbeb65d7af3332ee29aabcb840748675585002
