root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,suissk0a0wxk7egdz2ie2d3p,J. Aparicio,Midfielder,23.0,3,0,1,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,2yqe9xmm8dg4lwlko7ypzl239,G. Arias,Defender,11.0,0,0,0,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,5pkkt6cu451rsrcuhw8j0plg5,J. Arreola,Midfielder,7.0,0,0,0,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,5roxwexdtxhm468h2vgk509g5,V. Ayala,Goalkeeper,1.0,0,0,0,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,d9pe23hfuzljxo0h6lgsnbkr9,C. Castrillo,Defender,13.0,0,0,0,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,b837mp5kdq6j5rvaw8qudv4l,E. Chinchilla,Attacker,9.0,3,0,0,0,0,0,3,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,etf7x75r5xkt5wg6j5erpniz9,S. Cincotta,Defender,18.0,3,0,0,0,0,0,2,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,3lcchhirv1wng2b9hdtx70el1,J. Contreras,Midfielder,10.0,2,0,1,2,1,1,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,bveydwphpd20sea43rggidg45,B. de León,Midfielder,17.0,2,0,0,0,0,0,0,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,3lg2iaurvwiojfmgkvrg1j2l1,C. Figueroa,Midfielder,19.0,1,0,0,0,0,0,1,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,e6ubrovhf8hi704f1kuyeafv9,M. Hernández,Defender,5.0,2,0,1,0,0,0,0,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,9gq8m9cblak7uf99faxup4rf9,K. Herrarte,Midfielder,14.0,1,0,0,0,0,0,0,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,xxr4tifwb9zpm6qwjrj5jv11,R. Jérez,Goalkeeper,21.0,1,0,0,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,ei72wwdtvwqzimvm3fa73a1g5,W. Lalín,Defender,4.0,3,0,1,0,0,0,0,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,9nzooz3zfb2g5dxlm5rp8w6hh,D. López,Defender,15.0,2,0,0,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,1j2d7gk9bl1apfu4ruk70x8et,M. López,Attacker,22.0,3,0,0,0,0,0,1,2
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,darquyz8fs9x9wm3irw2ocbf9,J. Márquez,Midfielder,8.0,1,0,0,0,0,0,0,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,2phb6cigbvyjzckgrpwdfdvpx,C. Mejía,Midfielder,6.0,2,0,0,0,0,0,1,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,eouawsfejaqsh4am560csv1ed,R. Morales,Defender,2.0,2,0,2,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,1i4iup1rksu4hvkq4mr4jxzh1,P. Motta,Goalkeeper,12.0,2,0,0,0,0,0,0,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,zykalc2oixfyvayradbcxp05,M. Pappa,Midfielder,16.0,3,0,0,0,0,0,1,0
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,jaivf7y6jgj4famrsqsdtpsl,C. Ruíz,Attacker,20.0,3,1,1,0,0,0,0,1
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2015 USA-Canada,Guatemala,Guatemala,a25qphwbqcqimv5odv1kpyvp,E. Vásquez,Defender,3.0,3,0,1,0,0,0,0,0
