liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Launches,Yellow Cards,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Shots,Foul Attempted Tackle,Total Touches In Opposition Box,Unsuccessful Dribbles,Unsuccessful Crosses open play,Corners Won,Blocked Shots,Throw Ins to Opposition Player,Shots On Target ( inc goals ),Through balls,Substitute On,Successful Lay-offs,Successful Crosses open play,Handballs conceded,Hit Woodwork,Saves Made,GK Successful Distribution,Punches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Foul Won Penalty,Offsides,Goals,Headed Goals,Goals from Inside Box,Right Foot Goals,Clearances Off the Line,Penalties Taken,Unsuccessful lay-offs,Penalty Goals,Penalty Goals Conceded,Goals Conceded Outside Box,Catches,Penalties Faced,Penalties Off Target,Left Foot Goals,Attempts from Set Pieces,Goals from Outside Box,Penalties Conceded,Set Pieces Goals,Total Red Cards,Red Cards - 2nd Yellow,Goalkeeper Smother,Drops,Own Goal Scored,Saves made - caught,Second Goal Assists,Other Goals,Last Man Tackle
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Costa Rica,9g44s484ebg54aoq473vg72l1,E. Aguilar,Midfielder,20,169.0,,99.0,25.0,9.0,52.0,,2.0,27.0,48.0,2.0,9.0,102.0,2.0,,2.0,81.0,2.0,11.0,6.0,45.0,8.0,18.0,10.0,2.0,4.0,,150.0,9.0,4.0,,16.0,19.0,10.0,10.0,10.0,4.0,2.0,18.0,,2.0,7.0,4.0,3.0,,8.0,13.0,88.0,91.0,2.0,,,1.0,8.0,1.0,1.0,8.0,,,2.0,2.0,,6.0,,4.0,2.0,2.0,2.0,4.0,,4.0,,2.0,1.0,2.0,,,,,,,,,,,,2.0,,1.0,,,,,,1.0,,,,,2.0,3.0,1.0,,1.0,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Costa Rica,6r7lv7woj3lwr3lynpjkqtwph,C. Bolaños,Midfielder,7,20.0,,15.0,6.0,,7.0,,1.0,6.0,7.0,,2.0,17.0,,,,14.0,,3.0,,,,5.0,1.0,,,1.0,22.0,2.0,1.0,,1.0,2.0,10.0,1.0,,1.0,,1.0,,,3.0,1.0,1.0,,,9.0,12.0,14.0,,,,,,,,1.0,,,,,,,,1.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Costa Rica,aau4faihpdv6pyok673ii2yfp,C. Borges,Midfielder,5,390.0,,300.0,35.0,,136.0,4.0,12.0,45.0,138.0,5.0,25.0,311.0,,10.0,,254.0,4.0,37.0,,92.0,7.0,31.0,29.0,4.0,2.0,8.0,355.0,,4.0,,23.0,105.0,10.0,15.0,20.0,3.0,7.0,33.0,5.0,4.0,2.0,4.0,,,15.0,79.0,263.0,274.0,10.0,1.0,,5.0,18.0,,8.0,8.0,1.0,,1.0,1.0,3.0,4.0,6.0,3.0,,2.0,5.0,2.0,,3.0,,,3.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,2.0,,,,,,2.0,1.0,1.0,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Costa Rica,8vjv4ix1zqi58118r6tyqhhhx,F. Calvo,Defender,15,111.0,2.0,82.0,1.0,,35.0,4.0,8.0,15.0,38.0,,4.0,85.0,,2.0,,70.0,2.0,12.0,,40.0,2.0,11.0,4.0,1.0,,2.0,98.0,,2.0,1.0,5.0,35.0,10.0,3.0,3.0,2.0,1.0,8.0,3.0,2.0,1.0,2.0,,,3.0,9.0,70.0,73.0,3.0,,,,5.0,,,2.0,,,,,2.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Costa Rica,bzb96y82gcod1quxxvz6csvyt,J. Campbell,Forward,12,342.0,2.0,148.0,34.0,,78.0,1.0,3.0,62.0,42.0,6.0,29.0,152.0,3.0,9.0,10.0,113.0,3.0,32.0,,11.0,3.0,33.0,22.0,4.0,5.0,5.0,222.0,3.0,4.0,,44.0,38.0,10.0,21.0,7.0,5.0,,47.0,1.0,3.0,6.0,4.0,3.0,,23.0,69.0,116.0,120.0,3.0,1.0,,5.0,26.0,1.0,3.0,21.0,,,1.0,2.0,3.0,5.0,4.0,11.0,6.0,2.0,3.0,1.0,,3.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Costa Rica,52cki9zte648usjhlutb0x239,Allan Cruz,Midfielder,13,390.0,,176.0,34.0,1.0,75.0,2.0,3.0,44.0,73.0,8.0,28.0,178.0,,8.0,,143.0,4.0,31.0,,50.0,4.0,24.0,23.0,4.0,5.0,7.0,234.0,,4.0,,39.0,64.0,10.0,24.0,4.0,10.0,6.0,50.0,2.0,4.0,,4.0,,1.0,21.0,30.0,145.0,147.0,11.0,1.0,1.0,7.0,26.0,1.0,7.0,18.0,1.0,1.0,4.0,2.0,5.0,5.0,6.0,9.0,3.0,,1.0,1.0,,3.0,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Costa Rica,a9yimyxegu9sx46hqvwswjs2d,Ó. Duarte,Defender,6,320.0,1.0,176.0,4.0,,40.0,11.0,16.0,31.0,111.0,5.0,15.0,182.0,,5.0,,135.0,3.0,31.0,,76.0,1.0,21.0,12.0,3.0,1.0,10.0,219.0,,4.0,2.0,10.0,83.0,10.0,13.0,16.0,1.0,8.0,20.0,15.0,3.0,,4.0,,,5.0,19.0,147.0,151.0,10.0,1.0,,3.0,7.0,2.0,6.0,5.0,5.0,2.0,,1.0,2.0,2.0,4.0,4.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Costa Rica,373320n20gpzgazgw4i06dl62,K. Fuller,Defender,4,210.0,10.0,63.0,12.0,,35.0,2.0,2.0,23.0,22.0,6.0,6.0,65.0,,7.0,,55.0,3.0,8.0,,12.0,1.0,5.0,6.0,2.0,3.0,5.0,121.0,,2.0,1.0,25.0,16.0,10.0,11.0,2.0,4.0,1.0,27.0,7.0,3.0,2.0,2.0,,1.0,15.0,25.0,55.0,57.0,2.0,,1.0,2.0,16.0,4.0,2.0,10.0,,1.0,3.0,1.0,1.0,2.0,7.0,8.0,3.0,2.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Costa Rica,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,Defender,16,198.0,8.0,108.0,13.0,,45.0,3.0,3.0,31.0,48.0,6.0,16.0,112.0,,6.0,2.0,90.0,1.0,19.0,,6.0,,13.0,11.0,2.0,5.0,8.0,162.0,,3.0,,21.0,40.0,10.0,17.0,3.0,5.0,5.0,27.0,3.0,1.0,2.0,3.0,,,9.0,53.0,89.0,93.0,6.0,1.0,,5.0,10.0,1.0,8.0,12.0,1.0,1.0,2.0,,1.0,,6.0,,,2.0,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Costa Rica,4x7028jq272nhqkcltmmgs91x,M. George,Forward,11,249.0,,43.0,15.0,,23.0,1.0,2.0,20.0,8.0,,13.0,46.0,2.0,6.0,,31.0,3.0,15.0,,16.0,1.0,13.0,7.0,3.0,,2.0,71.0,,4.0,,7.0,8.0,10.0,5.0,,4.0,1.0,17.0,1.0,3.0,,4.0,,,3.0,7.0,28.0,31.0,10.0,,,,12.0,,1.0,4.0,,,,5.0,9.0,8.0,,15.0,,,1.0,3.0,,3.0,,1.0,2.0,,2.0,1.0,,,,,,,,,3.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
