liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Launches,Yellow Cards,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Shots,Foul Attempted Tackle,Total Touches In Opposition Box,Unsuccessful Dribbles,Unsuccessful Crosses open play,Corners Won,Blocked Shots,Throw Ins to Opposition Player,Shots On Target ( inc goals ),Through balls,Substitute On,Successful Lay-offs,Successful Crosses open play,Handballs conceded,Hit Woodwork,Saves Made,GK Successful Distribution,Punches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Foul Won Penalty,Offsides,Goals,Headed Goals,Goals from Inside Box,Right Foot Goals,Clearances Off the Line,Penalties Taken,Unsuccessful lay-offs,Penalty Goals,Penalty Goals Conceded,Goals Conceded Outside Box,Catches,Penalties Faced,Penalties Off Target,Left Foot Goals,Attempts from Set Pieces,Goals from Outside Box,Penalties Conceded,Set Pieces Goals,Total Red Cards,Red Cards - 2nd Yellow,Goalkeeper Smother,Drops,Own Goal Scored,Saves made - caught,Second Goal Assists,Other Goals,Last Man Tackle
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,4jyrztlaueae7eg18kuvxa489,L. Bailey,Forward,7,360.0,2.0,93.0,29.0,2.0,46.0,,1.0,58.0,29.0,1.0,21.0,95.0,,3.0,14.0,68.0,5.0,22.0,,11.0,5.0,28.0,20.0,4.0,3.0,3.0,178.0,4.0,4.0,,38.0,19.0,10.0,25.0,5.0,8.0,2.0,45.0,,5.0,9.0,4.0,4.0,1.0,15.0,36.0,71.0,73.0,7.0,2.0,1.0,1.0,20.0,,2.0,23.0,1.0,,1.0,4.0,5.0,7.0,2.0,11.0,3.0,3.0,2.0,4.0,,3.0,1.0,,,2.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,vii7iwznqiwigznyp13a6505,A. Blake,Goalkeeper,1,450.0,,65.0,,,15.0,19.0,42.0,43.0,61.0,1.0,1.0,119.0,,,,49.0,5.0,43.0,,22.0,,33.0,51.0,5.0,1.0,10.0,170.0,,5.0,,3.0,84.0,10.0,7.0,27.0,2.0,5.0,8.0,1.0,6.0,,5.0,,,1.0,13.0,46.0,76.0,5.0,2.0,,1.0,1.0,,,2.0,8.0,,1.0,,,,,,,,,,,,,,,,,,11.0,55.0,,6.0,3.0,5.0,14.0,,,,,,,,,,,,1.0,4.0,,,,,,,,,,1.0,1.0,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,6t1iwmt8vwah0kldd5u51fd1x,B. Brown,Forward,18,172.0,,46.0,14.0,,20.0,,,19.0,18.0,1.0,9.0,47.0,1.0,2.0,3.0,37.0,3.0,9.0,,13.0,1.0,6.0,5.0,2.0,4.0,3.0,70.0,,3.0,1.0,12.0,9.0,10.0,7.0,1.0,,3.0,23.0,,3.0,,3.0,,1.0,8.0,11.0,37.0,38.0,11.0,,1.0,1.0,16.0,,1.0,4.0,,,2.0,1.0,8.0,1.0,,4.0,2.0,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,a4q9yjgjjcjq0qxqmg2nmijf9,J. Flemmings,Forward,12,344.0,,100.0,25.0,,42.0,,6.0,53.0,39.0,3.0,17.0,104.0,2.0,11.0,5.0,79.0,3.0,23.0,,20.0,2.0,21.0,20.0,4.0,3.0,3.0,183.0,,5.0,,64.0,30.0,10.0,33.0,2.0,23.0,2.0,69.0,1.0,4.0,1.0,5.0,,,33.0,29.0,77.0,81.0,5.0,1.0,,3.0,36.0,,3.0,31.0,,2.0,1.0,1.0,3.0,4.0,4.0,3.0,6.0,1.0,1.0,2.0,,3.0,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,d50x000h9o6i8kd8aihie4lx,M. Foster,Forward,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,97pjboubtkne3y3p19q7oag9h,S. Francis,Defender,14,450.0,1.0,225.0,10.0,,59.0,11.0,25.0,52.0,125.0,5.0,21.0,230.0,,3.0,2.0,164.0,5.0,46.0,,86.0,1.0,35.0,26.0,5.0,3.0,13.0,271.0,,5.0,2.0,14.0,104.0,10.0,16.0,20.0,,9.0,26.0,11.0,6.0,2.0,5.0,,,7.0,30.0,181.0,184.0,12.0,2.0,,4.0,10.0,1.0,9.0,7.0,5.0,,1.0,,3.0,1.0,2.0,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,8xxeuttt1yy26qf8w73bqua51,M. Hector,Defender,3,358.0,1.0,210.0,19.0,,75.0,2.0,14.0,42.0,114.0,9.0,25.0,228.0,1.0,9.0,1.0,168.0,4.0,39.0,,40.0,2.0,31.0,21.0,4.0,3.0,8.0,265.0,,5.0,1.0,27.0,87.0,10.0,18.0,21.0,2.0,6.0,36.0,8.0,5.0,,5.0,,,15.0,82.0,171.0,189.0,9.0,2.0,,6.0,18.0,3.0,5.0,12.0,,1.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,afw0d1iesr2uueu8200rbn561,A. Knight,Goalkeeper,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,15jb2rb0mvhaz492ii7yqrk6h,K. Lambert,Midfielder,21,17.0,,8.0,3.0,,4.0,,,1.0,3.0,1.0,1.0,8.0,,1.0,,7.0,,1.0,,2.0,,,1.0,,,1.0,10.0,,1.0,,2.0,2.0,10.0,2.0,,,1.0,3.0,,1.0,,1.0,,,1.0,1.0,7.0,7.0,1.0,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,ctcf8m5r0uqvzgtr0qkfbnc9h,K. Lawrence,Defender,20,450.0,33.0,149.0,40.0,7.0,71.0,6.0,9.0,51.0,64.0,11.0,17.0,154.0,,5.0,1.0,125.0,5.0,26.0,6.0,53.0,8.0,33.0,15.0,5.0,6.0,6.0,269.0,8.0,5.0,,27.0,55.0,10.0,18.0,3.0,6.0,,33.0,8.0,6.0,13.0,5.0,2.0,,9.0,6.0,126.0,128.0,6.0,2.0,,6.0,15.0,5.0,11.0,18.0,,,3.0,,6.0,,1.0,1.0,1.0,8.0,1.0,,6.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,a3uoyl25330qgi2by44eq4o2d,A. Lewis,Midfielder,4,192.0,,121.0,17.0,,62.0,,3.0,24.0,47.0,1.0,12.0,124.0,1.0,1.0,,101.0,2.0,15.0,,50.0,1.0,14.0,12.0,2.0,1.0,2.0,141.0,,4.0,,8.0,22.0,10.0,6.0,8.0,2.0,3.0,12.0,,2.0,1.0,4.0,,,5.0,35.0,106.0,109.0,4.0,1.0,1.0,1.0,6.0,,2.0,3.0,1.0,,,1.0,1.0,2.0,,4.0,1.0,1.0,1.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,9ev8f4qxozcykzs80sc40andh,D. Lowe,Defender,17,340.0,,172.0,4.0,1.0,52.0,10.0,25.0,43.0,86.0,7.0,13.0,175.0,1.0,3.0,1.0,116.0,2.0,38.0,,15.0,5.0,30.0,24.0,4.0,3.0,9.0,236.0,,4.0,2.0,20.0,96.0,10.0,22.0,21.0,5.0,9.0,31.0,24.0,2.0,1.0,4.0,,,7.0,60.0,136.0,137.0,11.0,2.0,,5.0,9.0,2.0,11.0,13.0,5.0,2.0,2.0,,2.0,2.0,2.0,5.0,1.0,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,1s48glvpagsxfh15j8ilh0fai,T. Magee,Midfielder,19,3.0,,2.0,,,,,,,2.0,,,2.0,,,,2.0,,,,,,,1.0,,,,2.0,,1.0,,,,10.0,,,,,,,1.0,,1.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,e77l3wpj8gep8h3o736y18xjp,D. Mattocks,Forward,10,115.0,1.0,19.0,6.0,,13.0,1.0,1.0,8.0,3.0,,5.0,22.0,1.0,5.0,1.0,15.0,2.0,6.0,,6.0,1.0,7.0,,1.0,1.0,1.0,33.0,,3.0,,6.0,6.0,10.0,3.0,1.0,,2.0,11.0,,2.0,2.0,3.0,,,5.0,4.0,13.0,16.0,5.0,,,,8.0,,,1.0,,,,2.0,3.0,3.0,3.0,5.0,,2.0,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Jamaica,cegti98uvnxk3u3isjdlv7k5x,D. Miller,Goalkeeper,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
