liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Launches,Yellow Cards,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Shots,Foul Attempted Tackle,Total Touches In Opposition Box,Unsuccessful Dribbles,Unsuccessful Crosses open play,Corners Won,Blocked Shots,Throw Ins to Opposition Player,Shots On Target ( inc goals ),Through balls,Substitute On,Successful Lay-offs,Successful Crosses open play,Handballs conceded,Hit Woodwork,Saves Made,GK Successful Distribution,Punches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Foul Won Penalty,Offsides,Goals,Headed Goals,Goals from Inside Box,Right Foot Goals,Clearances Off the Line,Penalties Taken,Unsuccessful lay-offs,Penalty Goals,Penalty Goals Conceded,Goals Conceded Outside Box,Catches,Penalties Faced,Penalties Off Target,Left Foot Goals,Attempts from Set Pieces,Goals from Outside Box,Penalties Conceded,Set Pieces Goals,Total Red Cards,Red Cards - 2nd Yellow,Goalkeeper Smother,Drops,Own Goal Scored,Saves made - caught,Second Goal Assists,Other Goals,Last Man Tackle
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Martinique,bqalp62clcrozv8fbbz1t1ihh,S. Abaul,Midfielder,20,270.0,,53.0,7.0,,19.0,1.0,5.0,33.0,18.0,1.0,14.0,56.0,,5.0,3.0,34.0,7.0,19.0,,21.0,4.0,18.0,9.0,3.0,2.0,2.0,94.0,,3.0,2.0,19.0,13.0,10.0,14.0,3.0,5.0,7.0,35.0,3.0,7.0,1.0,3.0,,,12.0,15.0,34.0,37.0,16.0,1.0,,,21.0,1.0,1.0,7.0,1.0,,1.0,3.0,9.0,4.0,3.0,9.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Martinique,o0ur5txyajy82do3ir5av7bp,J. Babin,Defender,6,270.0,,104.0,4.0,,27.0,1.0,11.0,20.0,67.0,2.0,9.0,114.0,,1.0,,82.0,7.0,20.0,,52.0,,13.0,9.0,3.0,1.0,7.0,141.0,,3.0,4.0,5.0,43.0,10.0,12.0,12.0,3.0,8.0,17.0,9.0,7.0,,3.0,,,1.0,15.0,87.0,94.0,12.0,1.0,,2.0,5.0,,4.0,4.0,1.0,,1.0,1.0,4.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Martinique,9hvk0xwifem6zoackcemtbx0p,R. Barthéléry,Defender,22,166.0,13.0,30.0,3.0,,10.0,2.0,3.0,18.0,11.0,12.0,7.0,31.0,1.0,4.0,,19.0,3.0,10.0,,,,8.0,4.0,2.0,,3.0,83.0,,2.0,,21.0,12.0,10.0,13.0,2.0,1.0,,24.0,5.0,3.0,1.0,2.0,,,8.0,16.0,20.0,21.0,3.0,,,9.0,11.0,3.0,8.0,13.0,,,,1.0,3.0,2.0,3.0,2.0,,1.0,1.0,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Martinique,a2yuysqk9ubovci8ynikwdpii,M. Biron,Forward,10,85.0,,10.0,2.0,,6.0,1.0,1.0,8.0,1.0,2.0,2.0,10.0,1.0,3.0,3.0,6.0,1.0,3.0,,,1.0,3.0,3.0,1.0,1.0,,27.0,,2.0,,12.0,4.0,10.0,7.0,1.0,1.0,1.0,16.0,,1.0,,2.0,,,6.0,4.0,7.0,7.0,4.0,,,1.0,9.0,1.0,1.0,6.0,,1.0,1.0,3.0,3.0,3.0,2.0,5.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Martinique,3twbl53nl7011hrxkwy7mwxqt,S. Camille,Defender,18,270.0,19.0,82.0,15.0,1.0,23.0,1.0,3.0,25.0,48.0,8.0,12.0,85.0,,8.0,1.0,65.0,7.0,15.0,,29.0,,10.0,21.0,3.0,3.0,6.0,155.0,1.0,3.0,2.0,22.0,34.0,10.0,13.0,5.0,2.0,2.0,25.0,7.0,7.0,1.0,3.0,1.0,,11.0,7.0,67.0,70.0,3.0,1.0,,3.0,12.0,5.0,8.0,11.0,,1.0,2.0,1.0,1.0,2.0,6.0,,,,,,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Martinique,c888skcclfmbivfoc78dn87v9,L. Chauvet,Goalkeeper,1,270.0,,56.0,,,12.0,22.0,45.0,47.0,48.0,,1.0,106.0,,,,37.0,7.0,46.0,,10.0,,39.0,31.0,3.0,,7.0,140.0,,3.0,,,78.0,10.0,1.0,23.0,1.0,1.0,1.0,2.0,7.0,,3.0,,,,18.0,37.0,60.0,1.0,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,17.0,25.0,,8.0,2.0,9.0,11.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Martinique,cma49asm4svuodngo65ucehn9,S. Crétinoir,Forward,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Martinique,8qszmcllkzpub2r82wd5a3mxh,R. Cesar,Defender,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Martinique,cv3xqr4xxkxub011e67s2awgl,J. Delem,Midfielder,8,270.0,,102.0,10.0,,24.0,7.0,11.0,18.0,64.0,7.0,7.0,106.0,,3.0,1.0,75.0,7.0,18.0,,11.0,2.0,10.0,11.0,3.0,2.0,8.0,137.0,,3.0,5.0,12.0,48.0,10.0,10.0,13.0,,2.0,15.0,10.0,7.0,,3.0,,,4.0,37.0,85.0,88.0,3.0,1.0,,5.0,5.0,2.0,4.0,8.0,1.0,2.0,1.0,,1.0,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Martinique,4tnd9ugas9nyq2tcx4wstk7ze,G. Enelada,Midfielder,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
