dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Nicaragua,Concacaf Gold Cup,,Costa Rica,10finqjwbcfgw941j7r429bkl,8tdrk99ukper6iqqutevwqech,f51991ex45qhp1p3iu74u4d4e,4jnci33be15y2npzrzwfvui5m,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2019-usa-costa-rica-jamaica/4jnci33be15y2npzrzwfvui5m/teams/view/8tdrk99ukper6iqqutevwqech/player/view/10finqjwbcfgw941j7r429bkl
16,,Nicaragua,Concacaf Gold Cup,Attacker,Nicaragua,14uejilfk2jk7k4lh58uz9fc9,8tdrk99ukper6iqqutevwqech,f51991ex45qhp1p3iu74u4d4e,4jnci33be15y2npzrzwfvui5m,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2019-usa-costa-rica-jamaica/4jnci33be15y2npzrzwfvui5m/teams/view/8tdrk99ukper6iqqutevwqech/player/view/14uejilfk2jk7k4lh58uz9fc9
,,Nicaragua,Concacaf Gold Cup,Goalkeeper,Nicaragua,16bgheedsi6nr3gm5170nzpey,8tdrk99ukper6iqqutevwqech,f51991ex45qhp1p3iu74u4d4e,4jnci33be15y2npzrzwfvui5m,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2019-usa-costa-rica-jamaica/4jnci33be15y2npzrzwfvui5m/teams/view/8tdrk99ukper6iqqutevwqech/player/view/16bgheedsi6nr3gm5170nzpey
17,,Nicaragua,Concacaf Gold Cup,Midfielder,Nicaragua,1gum1wcqcosgqmmba2ymv6acp,8tdrk99ukper6iqqutevwqech,f51991ex45qhp1p3iu74u4d4e,4jnci33be15y2npzrzwfvui5m,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2019-usa-costa-rica-jamaica/4jnci33be15y2npzrzwfvui5m/teams/view/8tdrk99ukper6iqqutevwqech/player/view/1gum1wcqcosgqmmba2ymv6acp
21,,Nicaragua,Concacaf Gold Cup,Defender,Nicaragua,2e27szskifoq503akqfb2ih1x,8tdrk99ukper6iqqutevwqech,f51991ex45qhp1p3iu74u4d4e,4jnci33be15y2npzrzwfvui5m,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2019-usa-costa-rica-jamaica/4jnci33be15y2npzrzwfvui5m/teams/view/8tdrk99ukper6iqqutevwqech/player/view/2e27szskifoq503akqfb2ih1x
,Rigoberto Fuentes,Nicaragua,Concacaf Gold Cup,Defender,Nicaragua,2g82ntpohrmaaf09e74z5lj2t,8tdrk99ukper6iqqutevwqech,f51991ex45qhp1p3iu74u4d4e,4jnci33be15y2npzrzwfvui5m,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2019-usa-costa-rica-jamaica/4jnci33be15y2npzrzwfvui5m/teams/view/8tdrk99ukper6iqqutevwqech/player/view/2g82ntpohrmaaf09e74z5lj2t
22,,Nicaragua,Concacaf Gold Cup,Midfielder,Nicaragua,325vit25p627knlj7s8o1xz3d,8tdrk99ukper6iqqutevwqech,f51991ex45qhp1p3iu74u4d4e,4jnci33be15y2npzrzwfvui5m,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2019-usa-costa-rica-jamaica/4jnci33be15y2npzrzwfvui5m/teams/view/8tdrk99ukper6iqqutevwqech/player/view/325vit25p627knlj7s8o1xz3d
,,Nicaragua,Concacaf Gold Cup,Goalkeeper,Nicaragua,3fxaaanvkzdmwrm0q179asb11,8tdrk99ukper6iqqutevwqech,f51991ex45qhp1p3iu74u4d4e,4jnci33be15y2npzrzwfvui5m,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2019-usa-costa-rica-jamaica/4jnci33be15y2npzrzwfvui5m/teams/view/8tdrk99ukper6iqqutevwqech/player/view/3fxaaanvkzdmwrm0q179asb11
,,Nicaragua,Concacaf Gold Cup,Defender,Nicaragua,3gipq0qea8wnnt3ioex72lwb9,8tdrk99ukper6iqqutevwqech,f51991ex45qhp1p3iu74u4d4e,4jnci33be15y2npzrzwfvui5m,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2019-usa-costa-rica-jamaica/4jnci33be15y2npzrzwfvui5m/teams/view/8tdrk99ukper6iqqutevwqech/player/view/3gipq0qea8wnnt3ioex72lwb9
,Ulises Pozo,Nicaragua,Concacaf Gold Cup,Defender,Nicaragua,3p1ehjuvkwg71b15vrq9s44q1,8tdrk99ukper6iqqutevwqech,f51991ex45qhp1p3iu74u4d4e,4jnci33be15y2npzrzwfvui5m,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2019-usa-costa-rica-jamaica/4jnci33be15y2npzrzwfvui5m/teams/view/8tdrk99ukper6iqqutevwqech/player/view/3p1ehjuvkwg71b15vrq9s44q1
