dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Jamaica,Jamaica,Concacaf Gold Cup,Midfielder,Jamaica,11fnw0grmhiwnqc6xg7xjlasp,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/11fnw0grmhiwnqc6xg7xjlasp
,,Jamaica,Jamaica,Concacaf Gold Cup,Midfielder,Jamaica,15jb2rb0mvhaz492ii7yqrk6h,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/15jb2rb0mvhaz492ii7yqrk6h
,,Jamaica,Jamaica,Concacaf Gold Cup,Midfielder,Jamaica,19re27yuqrz9lz8axaoisaw2d,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/19re27yuqrz9lz8axaoisaw2d
,,Jamaica,Jamaica,Concacaf Gold Cup,Attacker,Jamaica,19ycnmneiucdrc1fd9zwrf4rt,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/19ycnmneiucdrc1fd9zwrf4rt
,,Jamaica,Jamaica,Concacaf Gold Cup,Goalkeeper,Jamaica,1ciz5llp2ot92lf39l2xt9qsp,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/1ciz5llp2ot92lf39l2xt9qsp
,,Jamaica,Jamaica,Concacaf Gold Cup,Attacker,Jamaica,1emha184z70pj2va9qrwczrah,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/1emha184z70pj2va9qrwczrah
,,Jamaica,Jamaica,Concacaf Gold Cup,Defender,Jamaica,1m2glt59umfhzrf2kgdhppnmx,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/1m2glt59umfhzrf2kgdhppnmx
,,Jamaica,Jamaica,Concacaf Gold Cup,Defender,Jamaica,1oeekgzkzju2jce7651vbdrrp,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/1oeekgzkzju2jce7651vbdrrp
21,,Jamaica,Jamaica,Concacaf Gold Cup,Midfielder,Jamaica,1s48glvpagsxfh15j8ilh0fai,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/1s48glvpagsxfh15j8ilh0fai
,,Jamaica,Jamaica,Concacaf Gold Cup,,Jamaica,1z6u0ba90z5f01glw370brsnp,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/1z6u0ba90z5f01glw370brsnp
,,Jamaica,Jamaica,Concacaf Gold Cup,Midfielder,Jamaica,25tx0d0g6samoiue2v3iz4rt,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/25tx0d0g6samoiue2v3iz4rt
,,Jamaica,Jamaica,Concacaf Gold Cup,,Jamaica,2ckguzbzp5oc8exnkrmh4sbft,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/2ckguzbzp5oc8exnkrmh4sbft
,,Jamaica,Jamaica,Concacaf Gold Cup,Defender,Jamaica,2fyga1shd4mwcn90mze2pe4tl,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/2fyga1shd4mwcn90mze2pe4tl
,,Jamaica,Jamaica,Concacaf Gold Cup,Defender,Jamaica,2qamr32kp5hwtisixdbph8hrd,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/2qamr32kp5hwtisixdbph8hrd
,,Jamaica,Jamaica,Concacaf Gold Cup,Defender,Jamaica,2wbdazjmsxba9yoqxk204ft1x,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/2wbdazjmsxba9yoqxk204ft1x
22,,Jamaica,Jamaica,Concacaf Gold Cup,Midfielder,Jamaica,2yflerah2shma2hzhm99msez9,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/2yflerah2shma2hzhm99msez9
6,,Jamaica,Jamaica,Concacaf Gold Cup,Defender,Jamaica,3y2n8pbvk0qy62p79gnk8nc2d,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/3y2n8pbvk0qy62p79gnk8nc2d
7,,Jamaica,Jamaica,Concacaf Gold Cup,Attacker,Jamaica,4jyrztlaueae7eg18kuvxa489,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/4jyrztlaueae7eg18kuvxa489
,,Jamaica,Jamaica,Concacaf Gold Cup,Attacker,Jamaica,4wvmomwvllnv2uux06172u1gp,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/4wvmomwvllnv2uux06172u1gp
,,Jamaica,Jamaica,Concacaf Gold Cup,Attacker,Jamaica,549bk4ar8s05kzy78wi86one2,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/549bk4ar8s05kzy78wi86one2
19,,Jamaica,Jamaica,Concacaf Gold Cup,Defender,Jamaica,5kdcg5tlzqdsmqdvyvxf49rrp,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/5kdcg5tlzqdsmqdvyvxf49rrp
,,Jamaica,Jamaica,Concacaf Gold Cup,Midfielder,Jamaica,61esp7ett8p66f2agq9nuryp6,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/61esp7ett8p66f2agq9nuryp6
,,Jamaica,Jamaica,Concacaf Gold Cup,Defender,Jamaica,620ov705lykzkoognm7tuhaeh,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/620ov705lykzkoognm7tuhaeh
18,,Jamaica,Jamaica,Concacaf Gold Cup,Midfielder,Jamaica,62218y3fekkricaj3lcopw0r9,8yhjl13p7luh3v905btbvz42t,f51991ex45qhp1p3iu74u4d4e,ecveqbaggkm48s6ty8fuz90q,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-2021/ecveqbaggkm48s6ty8fuz90q/teams/view/8yhjl13p7luh3v905btbvz42t/player/view/62218y3fekkricaj3lcopw0r9
