root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Total Shots,Total Losses Of Possession,Index,Total Fouls Conceded,Substitute Off,Yellow Cards,Games Played,Foul Attempted Tackle,Successful Passes Own Half,PutThrough/Blocked Distribution Won,Total Tackles,Shots Off Target (inc woodwork),Ground Duels lost,Unsuccessful Long Passes,Total Touches In Opposition Box,Successful Open Play Passes,Substitute On,Unsuccessful Passes Opposition Half,Forward Passes,Penalty Goals Conceded,Tackles Won,Successful Short Passes,Touches,Successful Passes Opposition Half,Ground Duels won,PutThrough/Blocked Distribution,Duels,Recoveries,Backward Passes,Time Played,Duels won,Times Tackled,Unsuccessful Passes Own Half,Ground Duels,Open Play Passes,Goals Conceded,Starts,Leftside Passes,Unsuccessful Dribbles,Unsuccessful Short Passes,Appearances,Shots On Target ( inc goals ),Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels lost,Corners Won,Aerial Duels won,Aerial Duels,Rightside Passes,Duels lost,Key Passes (Attempt Assists),Home Goals,Away Goals,Winning Goal,Successful Long Passes,Total Fouls Won,Foul Won Penalty,Tackles Lost,Assists (Intentional),Successful Crosses & Corners,Total Clearances,Successful Dribbles,Hit Woodwork,Offsides,Goals from Inside Box,Goal Assists,Goals,Interceptions,Unsuccessful Crosses open play,Successful Lay-offs,Successful Crosses open play,Unsuccessful Crosses & Corners,Right Foot Goals,Throw Ins to Opposition Player,Throw Ins to Own Player,Blocked Shots,Unsuccessful Launches,Punches,Penalties Saved,Successful Launches,Catches,Saves Made,Saves from Penalty,Clean Sheets,Penalties Faced,Saves Made from Outside Box,GK Unsuccessful Distribution,GK Successful Distribution,Saves Made from Inside Box,Saves made - parried,Through balls,Corners Taken (incl short corners),Blocks,Set Pieces Goals,Unsuccessful Corners into Box,Successful Corners into Box,Attempts from Set Pieces,Goals from Outside Box,Penalties Conceded,Penalty Goals,Unsuccessful lay-offs,Penalties Taken,Handballs conceded,Left Foot Goals,Headed Goals,Goalkeeper Smother,Total Red Cards,Straight Red Cards,Goals Conceded Outside Box,Fifty Fifty,Successful Fifty Fifty,Drops,Clearances Off the Line,Red Cards - 2nd Yellow,Own Goal Scored,Crosses not Claimed,Saves made - caught,Last Man Tackle,Second Goal Assists,Penalties Off Target
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,4jyrztlaueae7eg18kuvxa489,L. Bailey,Forward,7,3.0,26.0,10.0,3.0,1.0,1.0,2.0,1.0,13.0,,2.0,1.0,9.0,2.0,6.0,34.0,,11.0,12.0,,1.0,31.0,84.0,24.0,10.0,1.0,21.0,9.0,11.0,173.0,10.0,5.0,2.0,19.0,43.0,1.0,2.0,16.0,3.0,8.0,2.0,2.0,45.0,35.0,1.0,10.0,2.0,,,2.0,6.0,11.0,1.0,0.0,0.0,0.0,4.0,6.0,,1.0,,2.0,,2.0,,2.0,,1.0,,,1.0,,,3.0,,,5.0,1.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,8eq6usenz9whrzff68slytxhx,D. Barnes,Goalkeeper,13,,9.0,10.0,,,,1.0,,12.0,,,,,9.0,,8.0,,5.0,15.0,,,9.0,26.0,,,,,5.0,,90.0,,,4.0,,13.0,1.0,1.0,3.0,,,1.0,,21.0,12.0,1.0,9.0,,,,,3.0,,,0.0,0.0,0.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,,1.0,1.0,,,,,,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,cd9o30ebm183hfyfp79flgixh,A. Bell,Defender,4,,11.0,10.0,5.0,1.0,1.0,3.0,2.0,41.0,,3.0,,9.0,,1.0,68.0,1.0,5.0,31.0,,1.0,65.0,121.0,29.0,9.0,1.0,20.0,8.0,15.0,190.0,10.0,1.0,2.0,18.0,74.0,1.0,2.0,5.0,,6.0,3.0,,76.0,70.0,1.0,6.0,1.0,1.0,1.0,2.0,25.0,10.0,1.0,0.0,0.0,0.0,5.0,5.0,,2.0,,,7.0,1.0,,,,,,,1.0,1.0,,1.0,,3.0,18.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,vii7iwznqiwigznyp13a6505,A. Blake,Goalkeeper,1,,29.0,10.0,1.0,,,3.0,,27.0,,,,,29.0,,25.0,,23.0,49.0,,,22.0,96.0,12.0,,,2.0,29.0,,270.0,1.0,,6.0,,38.0,2.0,3.0,12.0,,,3.0,,68.0,39.0,2.0,29.0,1.0,,1.0,2.0,7.0,1.0,,0.0,0.0,0.0,17.0,,,,,,1.0,,,,,,,,,,,,,,,,13.0,,,5.0,1.0,10.0,,1.0,,7.0,5.0,25.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,bvmqiuxeyjf68mz3jbm6i295h,C. Burke,Forward,9,1.0,33.0,10.0,11.0,1.0,1.0,4.0,7.0,4.0,3.0,3.0,,18.0,,10.0,17.0,2.0,20.0,15.0,,2.0,18.0,74.0,15.0,7.0,5.0,47.0,3.0,3.0,206.0,18.0,5.0,1.0,25.0,33.0,1.0,2.0,9.0,2.0,16.0,4.0,1.0,35.0,19.0,1.0,16.0,11.0,3.0,11.0,22.0,8.0,29.0,4.0,0.0,1.0,0.0,1.0,2.0,,1.0,,,1.0,2.0,,,,,1.0,1.0,5.0,1.0,,5.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,ch8dgambei1xbzmikkglg3c9h,B. De Cordova-Reid,Forward,10,5.0,22.0,10.0,2.0,1.0,,2.0,1.0,20.0,,,1.0,6.0,3.0,7.0,37.0,,9.0,10.0,,,36.0,77.0,19.0,2.0,2.0,12.0,8.0,14.0,178.0,3.0,4.0,4.0,8.0,48.0,1.0,2.0,13.0,2.0,8.0,2.0,4.0,50.0,39.0,1.0,11.0,3.0,2.0,1.0,4.0,13.0,9.0,,1.0,0.0,0.0,3.0,2.0,,,,,,,,2.0,,,1.0,,2.0,1.0,,2.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,ctly31kk772nia6is9ul9ar4l,O. Fisher,Defender,8,,32.0,10.0,4.0,,1.0,3.0,,29.0,,4.0,,13.0,3.0,1.0,52.0,2.0,8.0,24.0,,4.0,50.0,127.0,26.0,14.0,4.0,29.0,15.0,12.0,170.0,15.0,8.0,8.0,27.0,67.0,2.0,1.0,30.0,4.0,12.0,3.0,,69.0,54.0,2.0,15.0,1.0,1.0,1.0,2.0,3.0,14.0,1.0,0.0,0.0,0.0,4.0,7.0,,,,1.0,3.0,3.0,,,,,,3.0,1.0,,1.0,1.0,,5.0,17.0,,2.0,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,a4q9yjgjjcjq0qxqmg2nmijf9,J. Flemmings,Forward,12,7.0,31.0,10.0,4.0,1.0,,4.0,2.0,24.0,3.0,4.0,2.0,15.0,,11.0,55.0,2.0,8.0,24.0,,2.0,54.0,134.0,35.0,18.0,5.0,39.0,22.0,20.0,212.0,21.0,8.0,7.0,33.0,68.0,2.0,2.0,4.0,2.0,14.0,4.0,5.0,73.0,59.0,2.0,14.0,3.0,2.0,3.0,6.0,25.0,18.0,6.0,0.0,1.0,1.0,5.0,8.0,,2.0,,,1.0,6.0,,1.0,1.0,,1.0,4.0,1.0,,,1.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,7h0gsxgvwctttg7n3r0uxcvrp,A. Gray,Forward,14,5.0,7.0,10.0,1.0,1.0,,3.0,,3.0,,1.0,2.0,5.0,1.0,8.0,9.0,2.0,4.0,5.0,,1.0,12.0,30.0,9.0,5.0,,12.0,,6.0,90.0,5.0,3.0,,10.0,13.0,2.0,1.0,5.0,1.0,3.0,3.0,3.0,16.0,12.0,2.0,4.0,2.0,1.0,,2.0,,7.0,,0.0,0.0,0.0,,2.0,,,,,,2.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,8xxeuttt1yy26qf8w73bqua51,M. Hector,Defender,3,1.0,13.0,10.0,4.0,2.0,,2.0,2.0,48.0,1.0,1.0,1.0,5.0,2.0,1.0,64.0,,7.0,24.0,,1.0,62.0,91.0,23.0,2.0,3.0,14.0,11.0,9.0,133.0,6.0,,5.0,7.0,76.0,1.0,2.0,32.0,,10.0,2.0,,83.0,71.0,1.0,12.0,3.0,,4.0,7.0,18.0,8.0,1.0,0.0,0.0,0.0,9.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,9d4gtvh2wplwc87rs42ut0frp,D. Johnson,Midfielder,16,1.0,40.0,10.0,4.0,1.0,,4.0,3.0,74.0,3.0,4.0,,10.0,7.0,3.0,141.0,,25.0,62.0,,2.0,136.0,219.0,80.0,5.0,6.0,16.0,19.0,32.0,351.0,6.0,3.0,5.0,15.0,167.0,3.0,4.0,34.0,1.0,19.0,4.0,1.0,177.0,151.0,3.0,26.0,,2.0,1.0,1.0,49.0,10.0,5.0,0.0,0.0,0.0,15.0,1.0,,2.0,,3.0,3.0,,,1.0,,1.0,,1.0,,2.0,,4.0,,,1.0,,4.0,,,1.0,,,,1.0,,,,,,,,7.0,1.0,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,ctcf8m5r0uqvzgtr0qkfbnc9h,K. Lawrence,Defender,20,2.0,31.0,10.0,1.0,1.0,,3.0,1.0,14.0,1.0,7.0,2.0,5.0,7.0,3.0,43.0,1.0,17.0,32.0,,3.0,44.0,114.0,32.0,9.0,4.0,20.0,8.0,10.0,170.0,14.0,3.0,6.0,14.0,63.0,2.0,2.0,2.0,3.0,13.0,3.0,,66.0,46.0,2.0,20.0,1.0,,5.0,6.0,22.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,,4.0,,,5.0,1.0,,,,,,2.0,2.0,,,3.0,,5.0,13.0,1.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,9ev8f4qxozcykzs80sc40andh,D. Lowe,Defender,17,1.0,57.0,10.0,7.0,,1.0,4.0,4.0,106.0,,7.0,1.0,9.0,25.0,2.0,150.0,,43.0,120.0,,3.0,134.0,273.0,54.0,16.0,1.0,40.0,43.0,8.0,360.0,22.0,1.0,10.0,25.0,198.0,3.0,4.0,62.0,1.0,25.0,4.0,,209.0,159.0,3.0,50.0,9.0,,6.0,15.0,19.0,18.0,1.0,0.0,0.0,0.0,25.0,5.0,,4.0,,1.0,17.0,4.0,,,,,,12.0,3.0,,1.0,3.0,,,3.0,,7.0,,,4.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,1s48glvpagsxfh15j8ilh0fai,T. Magee,Midfielder,21,1.0,11.0,10.0,1.0,1.0,,2.0,1.0,11.0,,2.0,1.0,4.0,1.0,1.0,28.0,1.0,6.0,13.0,,1.0,26.0,49.0,17.0,6.0,,12.0,6.0,8.0,85.0,6.0,3.0,,10.0,32.0,1.0,1.0,7.0,1.0,3.0,2.0,,32.0,28.0,1.0,4.0,2.0,1.0,,2.0,4.0,6.0,2.0,0.0,0.0,0.0,2.0,3.0,,1.0,,,,1.0,,,,,,1.0,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,5kdcg5tlzqdsmqdvyvxf49rrp,A. Mariappa,Defender,19,,3.0,10.0,2.0,,,1.0,1.0,30.0,,,,1.0,1.0,,46.0,,2.0,24.0,,,44.0,57.0,17.0,,1.0,5.0,4.0,4.0,90.0,2.0,,1.0,1.0,49.0,1.0,1.0,8.0,,2.0,1.0,,50.0,47.0,1.0,3.0,2.0,1.0,2.0,4.0,14.0,3.0,,0.0,0.0,0.0,3.0,,,,,,1.0,,,,,,,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2021,Jamaica,Jamaica,3y2n8pbvk0qy62p79gnk8nc2d,L. Moore,Defender,6,,23.0,10.0,4.0,,1.0,4.0,,86.0,,2.0,,3.0,10.0,1.0,110.0,1.0,16.0,58.0,,,106.0,158.0,26.0,4.0,,22.0,12.0,5.0,279.0,14.0,,5.0,7.0,130.0,2.0,3.0,26.0,,11.0,4.0,,133.0,112.0,2.0,21.0,5.0,,10.0,15.0,44.0,8.0,,0.0,0.0,0.0,6.0,2.0,,2.0,,,12.0,,,1.0,,,,2.0,,,,,,,,,3.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
