root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Corners Taken (incl short corners),Successful Dribbles,Duels lost,PutThrough/Blocked Distribution,Touches,Time Played,Ground Duels lost,Backward Passes,Total Fouls Won,Successful Crosses & Corners,Successful Passes Own Half,Successful Short Passes,Unsuccessful Short Passes,Tackles Lost,Goals Conceded Inside Box,Penalty Goals Conceded,Starts,Key Passes (Attempt Assists),Total Touches In Opposition Box,Ground Duels won,Total Tackles,Successful Crosses open play,Tackles Won,Unsuccessful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Substitute Off,Forward Passes,Unsuccessful Long Passes,Total Clearances,Total Passes,Throw Ins to Own Player,Unsuccessful Passes Own Half,Successful Lay-offs,Aerial Duels,Index,Successful Passes Opposition Half,Total Losses Of Possession,Blocked Shots,Goals Conceded,Aerial Duels lost,Ground Duels,Interceptions,Duels won,Unsuccessful Crosses open play,Unsuccessful Dribbles,Leftside Passes,Aerial Duels won,Unsuccessful Launches,Total Shots,Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Times Tackled,Recoveries,Unsuccessful Crosses & Corners,Appearances,Games Played,Blocks,Total Fouls Conceded,PutThrough/Blocked Distribution Won,Duels,Successful Open Play Passes,Successful Long Passes,Corners Won,Shots Off Target (inc woodwork),Rightside Passes,Winning Goal,Successful Launches,Clean Sheets,Saves Made from Outside Box,Saves made - parried,Saves Made,GK Successful Distribution,Goal Kicks,Catches,Punches,GK Unsuccessful Distribution,Saves Made from Inside Box,Substitute On,Foul Attempted Tackle,Shots On Target ( inc goals ),Goals from Inside Box,Handballs conceded,Right Foot Goals,Goals,Assists (Intentional),Yellow Cards,Goal Assists,Attempts from Set Pieces,Home Goals,Away Goals,Unsuccessful Corners into Box,Penalty Goals,Offsides,Penalties Taken,Successful Corners into Box,Throw Ins to Opposition Player,Own Goal Scored,Headed Goals,Second Goal Assists,Left Foot Goals,Penalties Conceded,Penalties Faced,Goals Conceded Outside Box,Through balls,Goalkeeper Smother,Foul Won Penalty,Clearances Off the Line,Saves from Penalty,Penalties Saved,Unsuccessful lay-offs,Last Man Tackle,Total Red Cards,Straight Red Cards,Drops,Saves made - caught,Goals from Outside Box,Hit Woodwork,Red Cards - 2nd Yellow,Fifty Fifty,Successful Fifty Fifty,Overruns,Crosses not Claimed,Set Pieces Goals
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,9xgy4pzbc717eynmza0henget,J. Archibald,Goalkeeper,18,,,,,111.0,244.0,,,1.0,,17.0,10.0,1.0,,9.0,,3.0,,,,,,,37.0,49.0,1.0,73.0,48.0,3.0,76.0,,12.0,,2.0,10.0,10.0,51.0,,12.0,,,,2.0,,,2.0,2.0,9.0,,29.0,27.0,,28.0,,3.0,3.0,,,,2.0,13.0,17.0,,,1.0,0.0,4.0,,4.0,4.0,12.0,22.0,28.0,3.0,,19.0,8.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,azvu0918l0yjfttduno14wpgp,R. Belgrove,Forward,22,,1.0,1.0,1.0,25.0,46.0,1.0,7.0,2.0,,7.0,10.0,3.0,2.0,3.0,,,,3.0,5.0,2.0,,,4.0,4.0,,,1.0,,15.0,1.0,,,1.0,10.0,4.0,7.0,,3.0,,6.0,,6.0,,,,1.0,,1.0,15.0,11.0,,3.0,,2.0,2.0,,,,7.0,11.0,1.0,,1.0,8.0,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,6gd4i6qhk075h8aczp3r0b6cp,C. Bertie,Forward,9,,,,,7.0,27.0,,2.0,2.0,,2.0,3.0,1.0,,1.0,,,,,2.0,,,,1.0,1.0,,1.0,,,4.0,,,,,10.0,1.0,1.0,,1.0,,2.0,,2.0,,,,,,,3.0,3.0,,1.0,,1.0,1.0,,,,2.0,2.0,,,,1.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,bx9ol6nw0rhk5vru59dmhi1gp,A. Burley,Defender,4,,,5.0,3.0,74.0,180.0,5.0,5.0,1.0,,23.0,31.0,9.0,2.0,6.0,,2.0,,2.0,3.0,2.0,,,11.0,16.0,,21.0,7.0,4.0,52.0,4.0,5.0,,,10.0,13.0,18.0,,9.0,,8.0,2.0,3.0,,,11.0,,3.0,,46.0,36.0,,10.0,,2.0,2.0,3.0,3.0,2.0,8.0,30.0,5.0,,,15.0,0.0,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,2lcpjnpehrumgcmhfoyqzu1h,K. Freeman,Forward,16,,,15.0,2.0,45.0,134.0,3.0,8.0,,,9.0,20.0,5.0,1.0,4.0,,2.0,,1.0,2.0,2.0,,1.0,5.0,5.0,2.0,6.0,,1.0,27.0,,,1.0,16.0,10.0,13.0,15.0,,6.0,12.0,5.0,,6.0,,1.0,5.0,4.0,,,21.0,22.0,1.0,3.0,,2.0,2.0,,2.0,1.0,21.0,16.0,2.0,1.0,,8.0,0.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,2cf8n2mc4ker8qsivh7shub4l,R. Hanley,Midfielder,20,,,2.0,1.0,41.0,90.0,1.0,2.0,3.0,,8.0,19.0,6.0,,5.0,,1.0,,,3.0,,,,4.0,7.0,,17.0,1.0,1.0,28.0,4.0,3.0,,2.0,10.0,13.0,9.0,,5.0,1.0,4.0,1.0,4.0,,,1.0,1.0,1.0,,28.0,21.0,,3.0,,1.0,1.0,,,,6.0,21.0,2.0,,,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,86uw4tpxjuvsmjcv7wi2wpsk5,J. Hazel,Forward,10,,1.0,5.0,2.0,35.0,76.0,4.0,8.0,1.0,,6.0,20.0,6.0,,4.0,,,3.0,5.0,2.0,,,,5.0,6.0,,2.0,,,26.0,,2.0,,1.0,10.0,14.0,11.0,1.0,5.0,1.0,6.0,,2.0,1.0,1.0,9.0,,,1.0,24.0,20.0,2.0,2.0,1.0,3.0,3.0,,2.0,,7.0,18.0,,2.0,1.0,7.0,0.0,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,dta304hh1e2pj9b2oa0vg4vkl,J. Ible,Defender,5,,,3.0,,67.0,161.0,2.0,1.0,1.0,,17.0,31.0,3.0,2.0,5.0,,2.0,,4.0,3.0,2.0,,,6.0,7.0,1.0,15.0,4.0,5.0,41.0,3.0,2.0,,3.0,10.0,17.0,15.0,1.0,8.0,1.0,5.0,4.0,5.0,1.0,,3.0,2.0,1.0,,36.0,34.0,1.0,9.0,1.0,2.0,2.0,,1.0,,8.0,30.0,3.0,1.0,,22.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,c7u3m433ntroyrk1i2uljky5l,J. Jeffers,Goalkeeper,1,,,,,9.0,26.0,,,,,2.0,1.0,,,2.0,,,,,,,,,3.0,4.0,,7.0,4.0,,7.0,,1.0,,,10.0,1.0,5.0,,2.0,,,,,,,,,1.0,,1.0,3.0,,,,1.0,1.0,,,,,,2.0,,,,0.0,,,,1.0,1.0,3.0,6.0,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,smbfxwf10v5zuczltpeastm,M. Lewis,Midfielder,15,1.0,1.0,8.0,,41.0,66.0,8.0,2.0,1.0,1.0,7.0,9.0,5.0,3.0,4.0,,,2.0,,8.0,6.0,,3.0,7.0,7.0,,10.0,2.0,3.0,21.0,,,,1.0,10.0,8.0,13.0,,4.0,,16.0,,9.0,,1.0,4.0,1.0,,2.0,21.0,14.0,3.0,2.0,,3.0,3.0,,2.0,,17.0,14.0,5.0,,1.0,5.0,0.0,2.0,,,,,,,,,,,3.0,2.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,8w6khhwug7h99g553qpkxwe7d,R. Liburd,Forward,17,,1.0,6.0,,24.0,72.0,4.0,7.0,,,5.0,13.0,6.0,,3.0,,1.0,1.0,1.0,1.0,,,,6.0,6.0,1.0,6.0,,1.0,19.0,,,1.0,6.0,10.0,8.0,8.0,,3.0,2.0,5.0,,5.0,,,1.0,4.0,,,17.0,13.0,2.0,1.0,,2.0,2.0,,2.0,,11.0,11.0,,,,5.0,0.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,dzny38va8u41axi9op0r5v6qd,L. Maynard,Defender,6,,4.0,4.0,1.0,100.0,252.0,3.0,5.0,2.0,,35.0,44.0,3.0,1.0,9.0,,3.0,1.0,1.0,10.0,4.0,,3.0,12.0,14.0,1.0,34.0,11.0,7.0,69.0,1.0,2.0,,1.0,10.0,20.0,14.0,,12.0,1.0,13.0,6.0,10.0,,,22.0,,4.0,,62.0,55.0,,6.0,,3.0,3.0,3.0,1.0,1.0,14.0,49.0,11.0,,,8.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,cdby17z7rlkt0g2btqrqu5l9l,Y. Mitchum,Midfielder,8,,1.0,10.0,5.0,84.0,195.0,5.0,11.0,6.0,1.0,22.0,46.0,6.0,,8.0,,2.0,,,11.0,4.0,1.0,4.0,4.0,7.0,1.0,15.0,1.0,1.0,57.0,1.0,4.0,,5.0,10.0,29.0,11.0,2.0,9.0,5.0,16.0,,11.0,1.0,1.0,14.0,,,1.0,57.0,50.0,2.0,13.0,1.0,3.0,3.0,1.0,,3.0,21.0,50.0,4.0,1.0,1.0,17.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,nu2ab9ytlybr31ptd66rxwq,E. Nicholls,Defender,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,9cadrqp4c1gnd1zj5tt2lz59m,X. Parke,Goalkeeper,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,4hyx0ourb49k8cmk1c28o7cdm,M. Roberts,Defender,2,,1.0,15.0,4.0,128.0,270.0,13.0,6.0,2.0,2.0,16.0,36.0,15.0,3.0,11.0,,3.0,1.0,1.0,11.0,8.0,2.0,5.0,13.0,17.0,,25.0,2.0,8.0,54.0,14.0,7.0,,5.0,10.0,23.0,44.0,,14.0,2.0,24.0,3.0,14.0,3.0,1.0,22.0,3.0,2.0,1.0,51.0,37.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,3.0,29.0,34.0,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,11.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,1l1ilvcyhfr64gw458yncvl5h,R. Sawyers,Midfielder,19,,2.0,13.0,2.0,141.0,270.0,8.0,23.0,2.0,1.0,37.0,82.0,16.0,4.0,11.0,,3.0,2.0,3.0,9.0,5.0,1.0,1.0,19.0,22.0,,39.0,6.0,1.0,109.0,2.0,4.0,,8.0,10.0,51.0,31.0,2.0,14.0,5.0,17.0,2.0,12.0,1.0,1.0,22.0,3.0,,1.0,100.0,87.0,3.0,6.0,1.0,3.0,3.0,,1.0,1.0,25.0,79.0,5.0,1.0,,25.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,St. Kitts and Nevis,St._Kitts_and_Nevis,duyq2sf6esd56jijpn4nsmsmi,D. Simmonds,Defender,12,,,2.0,,5.0,18.0,1.0,,,,,,1.0,,2.0,,,,,,,,,1.0,2.0,,2.0,1.0,,2.0,,1.0,,1.0,10.0,,2.0,,2.0,1.0,1.0,,,,,,,1.0,,2.0,,,,,1.0,1.0,1.0,,,2.0,,,,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
