dorsal,nombre,equipo,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
29,,Belize,Concacaf Gold Cup Qualification,Defender,Belize,1am2jz4iejmqfany5b3tm3ehg,ad06y2rz0lcrn6dsone4cl4g5,cc5tzz23tryrfqbm2pbv0jill,9pbzvxnd73ixn9vragqdsbj84,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-qualification-2025-usa-canada/9pbzvxnd73ixn9vragqdsbj84/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/1am2jz4iejmqfany5b3tm3ehg
6,,Belize,Concacaf Gold Cup Qualification,Attacker,Belize,1ndc6n7nfkk5h2nxr70wgn4es,ad06y2rz0lcrn6dsone4cl4g5,cc5tzz23tryrfqbm2pbv0jill,9pbzvxnd73ixn9vragqdsbj84,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-qualification-2025-usa-canada/9pbzvxnd73ixn9vragqdsbj84/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/1ndc6n7nfkk5h2nxr70wgn4es
30,,Belize,Concacaf Gold Cup Qualification,Defender,Belize,26fvy5gpt35saqnvv29mpxkb8,ad06y2rz0lcrn6dsone4cl4g5,cc5tzz23tryrfqbm2pbv0jill,9pbzvxnd73ixn9vragqdsbj84,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-qualification-2025-usa-canada/9pbzvxnd73ixn9vragqdsbj84/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/26fvy5gpt35saqnvv29mpxkb8
19,,Belize,Concacaf Gold Cup Qualification,Attacker,Belize,2apoancw9q15lg9cielk7rqj8,ad06y2rz0lcrn6dsone4cl4g5,cc5tzz23tryrfqbm2pbv0jill,9pbzvxnd73ixn9vragqdsbj84,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-qualification-2025-usa-canada/9pbzvxnd73ixn9vragqdsbj84/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/2apoancw9q15lg9cielk7rqj8
13,,Belize,Concacaf Gold Cup Qualification,Midfielder,Belize,2nb3ombm3z27un4vvrb2o5kb8,ad06y2rz0lcrn6dsone4cl4g5,cc5tzz23tryrfqbm2pbv0jill,9pbzvxnd73ixn9vragqdsbj84,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-qualification-2025-usa-canada/9pbzvxnd73ixn9vragqdsbj84/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/2nb3ombm3z27un4vvrb2o5kb8
17,,Belize,Concacaf Gold Cup Qualification,Midfielder,Belize,2vmowjr3auqbr9nex2i2lwy96,ad06y2rz0lcrn6dsone4cl4g5,cc5tzz23tryrfqbm2pbv0jill,9pbzvxnd73ixn9vragqdsbj84,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-qualification-2025-usa-canada/9pbzvxnd73ixn9vragqdsbj84/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/2vmowjr3auqbr9nex2i2lwy96
7,,Belize,Concacaf Gold Cup Qualification,Midfielder,Belize,30jtweqwo11z3f0ejmg8t5nth,ad06y2rz0lcrn6dsone4cl4g5,cc5tzz23tryrfqbm2pbv0jill,9pbzvxnd73ixn9vragqdsbj84,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-qualification-2025-usa-canada/9pbzvxnd73ixn9vragqdsbj84/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/30jtweqwo11z3f0ejmg8t5nth
31,,Belize,Concacaf Gold Cup Qualification,Defender,Belize,30s17p54fl46e7dirb391luxh,ad06y2rz0lcrn6dsone4cl4g5,cc5tzz23tryrfqbm2pbv0jill,9pbzvxnd73ixn9vragqdsbj84,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-qualification-2025-usa-canada/9pbzvxnd73ixn9vragqdsbj84/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/30s17p54fl46e7dirb391luxh
33,,Belize,Concacaf Gold Cup Qualification,Midfielder,Belize,3bp5lhoesl6ogoi4zeefxnn8q,ad06y2rz0lcrn6dsone4cl4g5,cc5tzz23tryrfqbm2pbv0jill,9pbzvxnd73ixn9vragqdsbj84,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-qualification-2025-usa-canada/9pbzvxnd73ixn9vragqdsbj84/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/3bp5lhoesl6ogoi4zeefxnn8q
,,Belize,Concacaf Gold Cup Qualification,,Belize,3j53d9dv8ujxny1hkzwm7gd05,ad06y2rz0lcrn6dsone4cl4g5,cc5tzz23tryrfqbm2pbv0jill,9pbzvxnd73ixn9vragqdsbj84,https://www.scoresway.com/en_GB/soccer/concacaf-gold-cup-qualification-2025-usa-canada/9pbzvxnd73ixn9vragqdsbj84/teams/view/ad06y2rz0lcrn6dsone4cl4g5/player/view/3j53d9dv8ujxny1hkzwm7gd05
