liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Short Passes,Successful Launches,Goals Conceded,Goal Kicks,Games Played,Saves Made from Inside Box,Appearances,Starts,Unsuccessful Passes Own Half,Successful Long Passes,Total Losses Of Possession,GK Unsuccessful Distribution,Time Played,Successful Passes Opposition Half,Forward Passes,Unsuccessful Long Passes,Total Clearances,Goals Conceded Outside Box,Saves Made,Duels won,Open Play Passes,Successful Open Play Passes,Recoveries,Rightside Passes,Touches,Index,Total Successful Passes ( Excl Crosses & Corners ) ,Duels,Ground Duels won,Unsuccessful Passes Opposition Half,Successful Passes Own Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),GK Successful Distribution,Total Passes,Goalkeeper Smother,Leftside Passes,Goals Conceded Inside Box,Ground Duels,Saves Made from Outside Box,Winning Goal,Duels lost,Aerial Duels lost,Unsuccessful Launches,Penalties Conceded,Foul Attempted Tackle,Unsuccessful Short Passes,PutThrough/Blocked Distribution,Aerial Duels,Yellow Cards,Interceptions,Throw Ins to Own Player,Total Fouls Conceded,Total Fouls Won,Throw Ins to Opposition Player,Backward Passes,Penalty Goals Conceded,Ground Duels lost,Handballs conceded,Substitute Off,PutThrough/Blocked Distribution Won,Times Tackled,Own Goal Scored,Blocks,Goals,Aerial Duels won,Total Shots,Unsuccessful Crosses & Corners,Blocked Shots,Successful Dribbles,Right Foot Goals,Unsuccessful Dribbles,Total Touches In Opposition Box,Unsuccessful Crosses open play,Shots On Target ( inc goals ),Key Passes (Attempt Assists),Goals from Outside Box,Home Goals,Away Goals,Corners Taken (incl short corners),Total Tackles,Substitute On,Successful Corners into Box,Attempts from Set Pieces,Successful Crosses & Corners,Tackles Won,Corners Won,Saves made - parried,Penalties Faced,Successful Crosses open play,Tackles Lost,Overruns,Shots Off Target (inc woodwork),Successful Lay-offs,Offsides,Goals from Inside Box,Unsuccessful lay-offs,Headed Goals,Catches,Punches,Through balls,Penalty Goals,Left Foot Goals,Penalties Taken,Assists (Intentional),Goal Assists,Foul Won Penalty,Unsuccessful Corners into Box,Clean Sheets,Hit Woodwork,Last Player Tackle,Second Goal Assists,Drops,Straight Red Cards,Total Red Cards,Saves made - caught
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Nicaragua,vq78qiuvg7uwks2mpimmvqad,Ó. Acevedo,Defender,21,37.0,1.0,1.0,,2.0,,2.0,1.0,4.0,4.0,19.0,,106.0,23.0,28.0,3.0,3.0,,,5.0,54.0,40.0,5.0,18.0,83.0,10.0,41.0,13.0,4.0,13.0,18.0,14.0,,55.0,,4.0,1.0,8.0,,0.0,8.0,4.0,2.0,,1.0,11.0,7.0,5.0,,2.0,10.0,2.0,1.0,2.0,5.0,,4.0,,,1.0,,,,,1.0,1.0,3.0,,,,,,3.0,,1.0,,,,,3.0,1.0,,,,,,,,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Nicaragua,36g32bqc6hcb36inlydjr5roq,A. Arauz,Midfielder,3,34.0,,1.0,,2.0,,2.0,1.0,2.0,2.0,20.0,,105.0,24.0,10.0,1.0,,,,10.0,44.0,35.0,4.0,7.0,77.0,10.0,36.0,17.0,10.0,10.0,13.0,9.0,,45.0,,15.0,1.0,16.0,,0.0,7.0,1.0,1.0,,2.0,8.0,4.0,1.0,1.0,,2.0,3.0,3.0,1.0,13.0,,6.0,,1.0,1.0,3.0,,,,,2.0,3.0,2.0,4.0,,2.0,5.0,2.0,2.0,1.0,,,,2.0,3.0,1.0,,,1.0,3.0,1.0,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Nicaragua,55xs1o7hiqwyspi1nx7axc962,J. Arteaga,Midfielder,13,19.0,,1.0,,2.0,,2.0,1.0,1.0,4.0,6.0,,52.0,14.0,5.0,,,,,3.0,21.0,19.0,5.0,12.0,35.0,10.0,23.0,7.0,2.0,3.0,10.0,2.0,,25.0,,3.0,1.0,4.0,,0.0,4.0,2.0,,,1.0,2.0,1.0,3.0,,,,1.0,1.0,,5.0,,2.0,,1.0,,1.0,,,,1.0,2.0,2.0,1.0,,,,,1.0,2.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Nicaragua,9d8t7wj24hlck4o3v5r4qbaol,J. Barrera,Midfielder,10,33.0,,2.0,,2.0,,2.0,2.0,2.0,11.0,22.0,,168.0,33.0,10.0,1.0,,,,10.0,52.0,43.0,5.0,15.0,82.0,10.0,44.0,32.0,9.0,11.0,11.0,9.0,,53.0,,17.0,2.0,27.0,,0.0,22.0,4.0,,,5.0,8.0,2.0,5.0,1.0,,,7.0,2.0,,11.0,,18.0,,2.0,,7.0,,,,1.0,1.0,4.0,1.0,3.0,,2.0,6.0,4.0,1.0,1.0,,,,,4.0,,,,,2.0,2.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Nicaragua,big3exu63k4j0wxawnut1doiy,B. Bonilla,Forward,5,33.0,,2.0,,2.0,,2.0,2.0,3.0,3.0,32.0,,142.0,28.0,10.0,3.0,,,,15.0,45.0,34.0,8.0,20.0,95.0,10.0,36.0,26.0,13.0,17.0,10.0,11.0,,47.0,,2.0,2.0,24.0,,0.0,11.0,,,,,8.0,5.0,2.0,,,6.0,1.0,6.0,,15.0,,11.0,,2.0,2.0,7.0,,,,2.0,1.0,9.0,2.0,3.0,,4.0,1.0,4.0,,2.0,,,,5.0,4.0,,,3.0,2.0,2.0,4.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Nicaragua,bin4vax911zapydktka8el3e2,J. Cano,Defender,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Nicaragua,1d97e4jk5w6b02jkc13x070iy,E. Castillo,Forward,8,5.0,,1.0,,1.0,,1.0,,,,1.0,,27.0,2.0,1.0,,,,,2.0,6.0,5.0,1.0,4.0,9.0,10.0,5.0,3.0,2.0,1.0,3.0,1.0,,6.0,,,1.0,3.0,,0.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Nicaragua,99bh2a1ei7afh7oipc1opf2s5,J. Coronel,Midfielder,15,90.0,1.0,2.0,,2.0,,2.0,2.0,5.0,9.0,17.0,,180.0,60.0,40.0,5.0,2.0,,,17.0,109.0,92.0,7.0,37.0,140.0,10.0,99.0,24.0,15.0,12.0,39.0,17.0,,116.0,,35.0,2.0,20.0,,0.0,7.0,2.0,2.0,,4.0,12.0,2.0,4.0,,2.0,,4.0,4.0,,4.0,,5.0,,,1.0,,,,,2.0,1.0,,1.0,,,,,,,2.0,,,,,11.0,,,,,4.0,,,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Nicaragua,4er0oi3yngvgs4124h3zjtbzd,M. Fletes,Defender,18,94.0,1.0,2.0,1.0,2.0,,2.0,2.0,2.0,16.0,22.0,,175.0,54.0,59.0,9.0,7.0,,,13.0,119.0,105.0,6.0,11.0,156.0,10.0,110.0,21.0,8.0,14.0,56.0,15.0,1.0,125.0,,47.0,2.0,16.0,,0.0,8.0,,1.0,,4.0,6.0,3.0,5.0,1.0,1.0,,4.0,2.0,,8.0,,8.0,,1.0,1.0,2.0,,1.0,,5.0,2.0,1.0,,1.0,,,1.0,1.0,,2.0,,,,,5.0,,,,,3.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Nicaragua,4jwapm0g207vxkrig7aw3jok4,B. Hernández,Forward,6,10.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,7.0,,63.0,10.0,5.0,,,,,3.0,12.0,10.0,1.0,2.0,23.0,10.0,11.0,8.0,3.0,4.0,1.0,2.0,,13.0,,2.0,1.0,8.0,,0.0,5.0,,,,1.0,2.0,1.0,,1.0,,,3.0,2.0,,4.0,,5.0,,1.0,,1.0,,,,,1.0,2.0,,,,,,2.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
