dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Defender,Dominican Republic,22nujg34kwvuzqr31xnvm09ka,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/22nujg34kwvuzqr31xnvm09ka
,José Luis De la Cruz,Dominican Republic,Dominican_Republic,Concacaf Nations League,Defender,Dominican Republic,2a3ivo63c237e10hzfp3pud0q,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/2a3ivo63c237e10hzfp3pud0q
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Midfielder,Dominican Republic,2fb77cyefzoq0ktpant4h3vca,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/2fb77cyefzoq0ktpant4h3vca
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Defender,Dominican Republic,2ruvwbb7da2ybsovhed91duui,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/2ruvwbb7da2ybsovhed91duui
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Goalkeeper,Dominican Republic,341l3axjs34vgae82i2pxqxre,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/341l3axjs34vgae82i2pxqxre
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Defender,Dominican Republic,3jq6uutsv2zlvr5rtefo44q21,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/3jq6uutsv2zlvr5rtefo44q21
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Attacker,Dominican Republic,3ti8b3zeo13626ldxvomdh3hl,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/3ti8b3zeo13626ldxvomdh3hl
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Midfielder,Dominican Republic,4p26ulu0mq448156ls7vnctsl,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/4p26ulu0mq448156ls7vnctsl
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Attacker,Dominican Republic,4q9tq5buu1hmend7fygzdrt1x,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/4q9tq5buu1hmend7fygzdrt1x
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Defender,Dominican Republic,4s0bvnmp9q603udljhyutuzmd,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/4s0bvnmp9q603udljhyutuzmd
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Attacker,Dominican Republic,594t9zh3mnfbtgvgsx5sk4woa,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/594t9zh3mnfbtgvgsx5sk4woa
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Midfielder,Dominican Republic,5heptjnboaeyttkas0z9kbalm,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/5heptjnboaeyttkas0z9kbalm
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Defender,Dominican Republic,5lwzg2j8xynpaahfvx2clfbp,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/5lwzg2j8xynpaahfvx2clfbp
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Midfielder,Dominican Republic,5pdcbdcfj5tnp9hcgxx8yavze,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/5pdcbdcfj5tnp9hcgxx8yavze
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Attacker,Dominican Republic,5wqoxdam99w0xeivobg2oowk,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/5wqoxdam99w0xeivobg2oowk
,,Dominican Republic,Dominican_Republic,Concacaf Nations League,Midfielder,Dominican Republic,65jctzcct9irz3wre08c2v2wa,2uq1ocokdg5b95fmc6m7sp6md,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/2uq1ocokdg5b95fmc6m7sp6md/player/view/65jctzcct9irz3wre08c2v2wa
