dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,El Salvador,El_Salvador,Concacaf Nations League,Defender,El Salvador,116ze3r6o220nyfwe0xxwrhed,avc9qnhswi33ld54pvpp4fmkg,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/avc9qnhswi33ld54pvpp4fmkg/player/view/116ze3r6o220nyfwe0xxwrhed
,,El Salvador,El_Salvador,Concacaf Nations League,Midfielder,El Salvador,11vqsu7sts8o9gfgx2wnmjf11,avc9qnhswi33ld54pvpp4fmkg,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/avc9qnhswi33ld54pvpp4fmkg/player/view/11vqsu7sts8o9gfgx2wnmjf11
,,El Salvador,El_Salvador,Concacaf Nations League,Attacker,El Salvador,12bsi0e1s0lz5qollxqsuse6t,avc9qnhswi33ld54pvpp4fmkg,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/avc9qnhswi33ld54pvpp4fmkg/player/view/12bsi0e1s0lz5qollxqsuse6t
,,El Salvador,El_Salvador,Concacaf Nations League,Attacker,El Salvador,12tp18pmn8g5h4zi93weduwgl,avc9qnhswi33ld54pvpp4fmkg,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/avc9qnhswi33ld54pvpp4fmkg/player/view/12tp18pmn8g5h4zi93weduwgl
,,El Salvador,El_Salvador,Concacaf Nations League,Midfielder,El Salvador,13c4094f5f4456j5o1kqxgtzp,avc9qnhswi33ld54pvpp4fmkg,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/avc9qnhswi33ld54pvpp4fmkg/player/view/13c4094f5f4456j5o1kqxgtzp
,,El Salvador,El_Salvador,Concacaf Nations League,Attacker,El Salvador,1kdncb4u62inp64nfddaz3e1h,avc9qnhswi33ld54pvpp4fmkg,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/avc9qnhswi33ld54pvpp4fmkg/player/view/1kdncb4u62inp64nfddaz3e1h
,,El Salvador,El_Salvador,Concacaf Nations League,Attacker,El Salvador,1nfr8ckkngangvxa7qxsc87o5,avc9qnhswi33ld54pvpp4fmkg,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/avc9qnhswi33ld54pvpp4fmkg/player/view/1nfr8ckkngangvxa7qxsc87o5
,,El Salvador,El_Salvador,Concacaf Nations League,Defender,El Salvador,1r446xomu7osop75m83ulz84p,avc9qnhswi33ld54pvpp4fmkg,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/avc9qnhswi33ld54pvpp4fmkg/player/view/1r446xomu7osop75m83ulz84p
,,El Salvador,El_Salvador,Concacaf Nations League,Midfielder,El Salvador,2ved5q40f3ht7e4xdui1flcd1,avc9qnhswi33ld54pvpp4fmkg,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/avc9qnhswi33ld54pvpp4fmkg/player/view/2ved5q40f3ht7e4xdui1flcd1
,,El Salvador,El_Salvador,Concacaf Nations League,Midfielder,El Salvador,2wktd6o1xfnsuy8nnxihj2cwl,avc9qnhswi33ld54pvpp4fmkg,cu0rmpyff5692eo06ltddjo8a,2hsuy6ov9qaywjzz6lujb8xgq,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2019-2020/2hsuy6ov9qaywjzz6lujb8xgq/teams/view/avc9qnhswi33ld54pvpp4fmkg/player/view/2wktd6o1xfnsuy8nnxihj2cwl
