root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Passes Own Half,Ground Duels won,Foul Attempted Tackle,Throw Ins to Opposition Player,Appearances,Index,Total Passes,Unsuccessful Crosses & Corners,Key Passes (Attempt Assists),Total Unsuccessful Passes ( Excl Crosses & Corners ),Blocked Shots,Total Tackles,Tackles Lost,Duels,PutThrough/Blocked Distribution,Duels won,Backward Passes,Unsuccessful Passes Opposition Half,Successful Open Play Passes,Tackles Won,Aerial Duels won,Unsuccessful Short Passes,Rightside Passes,Offsides,Time Played,Total Touches In Opposition Box,Aerial Duels lost,Total Losses Of Possession,Successful Short Passes,Open Play Passes,Total Fouls Conceded,Times Tackled,Corners Won,Unsuccessful Crosses open play,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Passes Opposition Half,Forward Passes,Successful Long Passes,Aerial Duels,Duels lost,Touches,Successful Passes Own Half,Clean Sheets,Blocks,Throw Ins to Own Player,Ground Duels,PutThrough/Blocked Distribution Won,Total Fouls Won,Leftside Passes,Unsuccessful Long Passes,Total Clearances,Starts,Recoveries,Ground Duels lost,Assists (Intentional),Goal Assists,Goals Conceded Inside Box,Goals Conceded,Unsuccessful Dribbles,Interceptions,Winning Goal,Saves Made from Inside Box,Catches,Saves Made,Saves Made from Outside Box,Successful Dribbles,Saves made - parried,Goal Kicks,GK Successful Distribution,GK Unsuccessful Distribution,Successful Launches,Unsuccessful Launches,Total Shots,Handballs conceded,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Unsuccessful lay-offs,Successful Crosses & Corners,Successful Crosses open play,Left Foot Goals,Goals from Inside Box,Home Goals,Away Goals,Through balls,Successful Lay-offs,Right Foot Goals,Successful Corners into Box,Foul Won Penalty,Penalties Taken,Attempts from Set Pieces,Penalty Goals,Unsuccessful Corners into Box,Corners Taken (incl short corners),Clearances Off the Line,Penalties Off Target,Headed Goals,Goalkeeper Smother,Saves made - caught,Second Goal Assists,Hit Woodwork,Goals Conceded Outside Box,Penalty Goals Conceded,Penalties Conceded,Penalties Faced,Punches,Drops,Goals from Outside Box,Own Goal Scored,Set Pieces Goals,Penalties Saved,Saves from Penalty,Last Man Tackle
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,dszuj3a23wso9ffm3w6mp4qy2,B. Aguilera,Midfielder,0.0,3.0,,,,,,2.0,1.0,2.0,5.0,,,3.0,10.0,52.0,,2.0,14.0,,4.0,3.0,12.0,1.0,6.0,8.0,12.0,34.0,1.0,1.0,11.0,11.0,,96.0,,2.0,22.0,35.0,47.0,,4.0,,,38.0,24.0,22.0,3.0,3.0,6.0,70.0,16.0,,,,9.0,1.0,1.0,11.0,3.0,,1.0,8.0,4.0,,,2.0,2.0,2.0,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,a0c7uephm9jijirsv7ho3hjze,J. Alcócer,Forward,0.0,2.0,,,,,,,2.0,2.0,8.0,1.0,,2.0,10.0,38.0,1.0,2.0,8.0,2.0,6.0,4.0,17.0,2.0,8.0,7.0,7.0,30.0,2.0,,5.0,16.0,,140.0,6.0,,19.0,29.0,38.0,1.0,6.0,4.0,1.0,30.0,22.0,7.0,1.0,,9.0,65.0,8.0,,,2.0,17.0,,2.0,8.0,3.0,,2.0,6.0,9.0,,,1.0,1.0,4.0,,0.0,,,,,,,,,,,1.0,4.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,374d5vwsh5mshcsia66lve579,E. Alvarado,Goalkeeper,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,25qmad3kcnapvbf4fb9fw6ctm,J. Bennette,Forward,0.0,2.0,,,,,,1.0,1.0,2.0,5.0,,,2.0,10.0,26.0,3.0,1.0,3.0,,3.0,2.0,13.0,3.0,5.0,6.0,4.0,23.0,1.0,,3.0,10.0,,87.0,2.0,3.0,10.0,22.0,26.0,,2.0,,2.0,23.0,13.0,4.0,1.0,3.0,8.0,43.0,10.0,,,,10.0,3.0,1.0,6.0,,,1.0,6.0,5.0,,,1.0,1.0,1.0,,0.0,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,2mmbvkcqy81b3w5wdpw426rx1,R. Blanco,Midfielder,0.0,1.0,,,,,,,,5.0,2.0,,2.0,1.0,10.0,29.0,1.0,,10.0,,2.0,1.0,5.0,2.0,3.0,2.0,6.0,17.0,1.0,1.0,7.0,3.0,,90.0,1.0,,15.0,17.0,27.0,,1.0,1.0,1.0,19.0,6.0,14.0,2.0,1.0,2.0,53.0,13.0,,1.0,8.0,4.0,,,10.0,3.0,1.0,1.0,6.0,2.0,,,2.0,2.0,,5.0,0.0,,,,,,,,,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,aau4faihpdv6pyok673ii2yfp,C. Borges,Midfielder,5.0,1.0,,,,,,,1.0,,5.0,,,1.0,10.0,47.0,,,3.0,,2.0,,7.0,,5.0,4.0,3.0,42.0,2.0,,,9.0,,72.0,1.0,1.0,4.0,41.0,44.0,1.0,,,,44.0,27.0,22.0,3.0,1.0,2.0,59.0,18.0,,1.0,,6.0,,1.0,12.0,3.0,,1.0,4.0,1.0,,,,,,,0.0,,,,,2.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,8vjv4ix1zqi58118r6tyqhhhx,F. Calvo,Defender,0.0,3.0,1.0,,,,,,,16.0,7.0,2.0,1.0,3.0,10.0,257.0,,3.0,49.0,,5.0,2.0,26.0,4.0,12.0,6.0,33.0,199.0,3.0,5.0,24.0,115.0,,270.0,3.0,7.0,53.0,181.0,246.0,3.0,1.0,1.0,,208.0,82.0,106.0,27.0,12.0,14.0,298.0,126.0,1.0,2.0,1.0,14.0,4.0,2.0,30.0,25.0,10.0,3.0,23.0,7.0,,,2.0,2.0,,7.0,0.0,,,,,,,1.0,,1.0,2.0,5.0,3.0,,2.0,1.0,,,,,1.0,1.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,bzb96y82gcod1quxxvz6csvyt,J. Campbell,Forward,0.0,4.0,1.0,,,,,1.0,,4.0,17.0,1.0,,4.0,10.0,114.0,15.0,8.0,29.0,4.0,2.0,,30.0,4.0,18.0,21.0,40.0,78.0,2.0,1.0,23.0,21.0,3.0,287.0,15.0,4.0,59.0,80.0,106.0,2.0,5.0,4.0,4.0,85.0,67.0,37.0,5.0,5.0,12.0,187.0,23.0,1.0,1.0,2.0,25.0,1.0,11.0,35.0,6.0,1.0,3.0,5.0,8.0,,,3.0,3.0,,1.0,1.0,,,,,4.0,,,,,,,6.0,,3.0,3.0,,5.0,,1.0,1.0,1.0,0.0,,,,4.0,,,2.0,,5.0,10.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,at9jab3qv8j4azup6qd5ggui2,D. Chacón,Midfielder,0.0,2.0,,,,,,1.0,,2.0,5.0,2.0,,2.0,10.0,37.0,,1.0,4.0,1.0,3.0,1.0,13.0,,5.0,3.0,2.0,31.0,2.0,,4.0,12.0,,108.0,1.0,,7.0,31.0,35.0,4.0,2.0,,,33.0,9.0,10.0,2.0,,8.0,50.0,24.0,,1.0,,13.0,,1.0,12.0,,1.0,1.0,2.0,8.0,,,2.0,2.0,1.0,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2022-2023,Costa Rica,Costa_Rica,cb8o8l688w6ozwhklub9ftxbd,K. Chamorro,Goalkeeper,0.0,2.0,,,,,,,,1.0,,,,2.0,10.0,36.0,,,11.0,,,,1.0,,,,10.0,17.0,,,,3.0,,180.0,,1.0,11.0,18.0,24.0,,,,,25.0,4.0,27.0,7.0,1.0,1.0,53.0,21.0,,,,,,,6.0,11.0,,2.0,14.0,,,,2.0,2.0,,,0.0,1.0,1.0,4.0,3.0,,1.0,11.0,18.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
