dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,United States,United_States,Concacaf Nations League,Midfielder,USA,1lym8zscp7l8icay2cya7cauh,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/1lym8zscp7l8icay2cya7cauh
,Cristian Roldan,United States,United_States,Concacaf Nations League,Midfielder,USA,1n0l8r7kj88y4k7tfaolsrkkp,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/1n0l8r7kj88y4k7tfaolsrkkp
,,United States,United_States,Concacaf Nations League,Midfielder,USA,25vb30mtetefhp3ix26nlhx0q,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/25vb30mtetefhp3ix26nlhx0q
,,United States,United_States,Concacaf Nations League,Defender,USA,269gnyszrb8ezl57m1ampsdlh,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/269gnyszrb8ezl57m1ampsdlh
,,United States,United_States,Concacaf Nations League,Midfielder,USA,288nn7pbq5ewriiyb9o7da86h,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/288nn7pbq5ewriiyb9o7da86h
,,United States,United_States,Concacaf Nations League,Attacker,USA,28o7vv0jud22hmg4h649yozqh,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/28o7vv0jud22hmg4h649yozqh
,,United States,United_States,Concacaf Nations League,Goalkeeper,USA,29rxabx4plofa06zgwuxlejca,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/29rxabx4plofa06zgwuxlejca
,,United States,United_States,Concacaf Nations League,Defender,USA,2b70vt2e23kytcb3vjz9fpw8a,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/2b70vt2e23kytcb3vjz9fpw8a
,,United States,United_States,Concacaf Nations League,Midfielder,USA,2dxsntw3djezptdjqzu0oxi7e,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/2dxsntw3djezptdjqzu0oxi7e
,,United States,United_States,Concacaf Nations League,Defender,USA,2p6uagebunshlw5zmp16748dm,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/2p6uagebunshlw5zmp16748dm
,,United States,United_States,Concacaf Nations League,Midfielder,USA,2we9yak4ipkr1ljigj20puv6y,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/2we9yak4ipkr1ljigj20puv6y
,,United States,United_States,Concacaf Nations League,Midfielder,USA,30wgzae40crezwtuqf1sbnwtl,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/30wgzae40crezwtuqf1sbnwtl
,,United States,United_States,Concacaf Nations League,Defender,USA,3bvr4z5z4cyb8fadfwtgxrx0p,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/3bvr4z5z4cyb8fadfwtgxrx0p
,,United States,United_States,Concacaf Nations League,Defender,USA,3ebyf23azgbktpf7dgwlphkvd,9vh2u1p4ppm597tjfahst2m3n,cu0rmpyff5692eo06ltddjo8a,84lurtafp6kpmrh1tdrjwq1hw,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2022-2023/84lurtafp6kpmrh1tdrjwq1hw/teams/view/9vh2u1p4ppm597tjfahst2m3n/player/view/3ebyf23azgbktpf7dgwlphkvd
