dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,,Antigua and Barbuda,10dj4ay2g187attc6q5gax2hh,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/10dj4ay2g187attc6q5gax2hh
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Midfielder,Antigua and Barbuda,1casvpkjthmdjli2n3ps8bxg4,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/1casvpkjthmdjli2n3ps8bxg4
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Midfielder,Antigua and Barbuda,1p9ljberldpuxr878lfjlmxn9,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/1p9ljberldpuxr878lfjlmxn9
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Midfielder,Antigua and Barbuda,1rlgg8r70nxnhfjodewedzaqc,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/1rlgg8r70nxnhfjodewedzaqc
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Attacker,Antigua and Barbuda,1scn9tlquqa2zpsxop9866tt6,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/1scn9tlquqa2zpsxop9866tt6
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Midfielder,Antigua and Barbuda,26gjvoq9e42zsn1hfvqz1cui2,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/26gjvoq9e42zsn1hfvqz1cui2
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Attacker,Antigua and Barbuda,2828ipv6zpzuve2z07q6gsyc5,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/2828ipv6zpzuve2z07q6gsyc5
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Midfielder,Antigua and Barbuda,34t6b2l0hm8uaocm0qnwzo7vt,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/34t6b2l0hm8uaocm0qnwzo7vt
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Defender,Antigua and Barbuda,3w8bdjhj8iruudryesgqxqwyy,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/3w8bdjhj8iruudryesgqxqwyy
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Defender,Antigua and Barbuda,42kqvetzspprh1qpdp4t4d2ad,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/42kqvetzspprh1qpdp4t4d2ad
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Attacker,Antigua and Barbuda,4n2c7qt6r6qqhzjs64nvytqs,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/4n2c7qt6r6qqhzjs64nvytqs
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Defender,Antigua and Barbuda,4t3y5x6443zbk8o3gz7oo4dn8,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/4t3y5x6443zbk8o3gz7oo4dn8
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Midfielder,Antigua and Barbuda,4z9wvehopoh6jumq6dkkmk9d6,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/4z9wvehopoh6jumq6dkkmk9d6
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Defender,Antigua and Barbuda,4zxm5akjmny33jfvxzelzkmj8,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/4zxm5akjmny33jfvxzelzkmj8
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Midfielder,Antigua and Barbuda,52qayll40oreo7nc2yli0d4o9,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/52qayll40oreo7nc2yli0d4o9
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Attacker,Antigua and Barbuda,57qlzx16kg9giz5dhi3k1t61h,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/57qlzx16kg9giz5dhi3k1t61h
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Attacker,Antigua and Barbuda,5fu338dfayz4ejp4t9llup0ix,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/5fu338dfayz4ejp4t9llup0ix
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Defender,Antigua and Barbuda,5iffq5aax9e3k1ug349sux1p1,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/5iffq5aax9e3k1ug349sux1p1
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Midfielder,Antigua and Barbuda,5l98mfry68wf27ib98rdjhpii,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/5l98mfry68wf27ib98rdjhpii
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Attacker,Antigua and Barbuda,5ye5agvijb2x9pw0vxfyl0k16,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/5ye5agvijb2x9pw0vxfyl0k16
,Shakore Simon,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Defender,Antigua and Barbuda,5zgyrbrl3cxn7ttjgmw75zqlm,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/5zgyrbrl3cxn7ttjgmw75zqlm
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Attacker,Antigua and Barbuda,6ahwcd5nabjpypluy0sp0xq1g,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/6ahwcd5nabjpypluy0sp0xq1g
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Defender,Antigua and Barbuda,6nlto0h5xlbaamn0klso7ieh,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/6nlto0h5xlbaamn0klso7ieh
,,Antigua and Barbuda,Antigua_and_Barbuda,Concacaf Nations League,Attacker,Antigua and Barbuda,74ve3jgtoa1asa1rrvgwatpm1,a90m8z0sazz6fn3swvghc3sut,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/a90m8z0sazz6fn3swvghc3sut/player/view/74ve3jgtoa1asa1rrvgwatpm1
