dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Canada,Canada,Concacaf Nations League,Attacker,Canada,11brjfbwv1v5jvz5rleiob5k9,eg7vduna0h3vis1wd47s41za7,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eg7vduna0h3vis1wd47s41za7/player/view/11brjfbwv1v5jvz5rleiob5k9
,,Canada,Canada,Concacaf Nations League,Defender,Canada,1e9pmgwavcrxus1a8yommuolw,eg7vduna0h3vis1wd47s41za7,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eg7vduna0h3vis1wd47s41za7/player/view/1e9pmgwavcrxus1a8yommuolw
,,Canada,Canada,Concacaf Nations League,Midfielder,Canada,27exg4oaa7sym40hi0szdc05x,eg7vduna0h3vis1wd47s41za7,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eg7vduna0h3vis1wd47s41za7/player/view/27exg4oaa7sym40hi0szdc05x
,,Canada,Canada,Concacaf Nations League,,England,2aqcy45jmk2kh7t5u4gvx37bp,eg7vduna0h3vis1wd47s41za7,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eg7vduna0h3vis1wd47s41za7/player/view/2aqcy45jmk2kh7t5u4gvx37bp
,,Canada,Canada,Concacaf Nations League,Attacker,Canada,2r6suw717hgzqsp8ogvwdfk6h,eg7vduna0h3vis1wd47s41za7,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eg7vduna0h3vis1wd47s41za7/player/view/2r6suw717hgzqsp8ogvwdfk6h
,,Canada,Canada,Concacaf Nations League,Attacker,Canada,3d6qu8bknc94x0eoi4nu09ppm,eg7vduna0h3vis1wd47s41za7,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eg7vduna0h3vis1wd47s41za7/player/view/3d6qu8bknc94x0eoi4nu09ppm
,,Canada,Canada,Concacaf Nations League,Defender,Canada,3dev7rxsam4451gyu07wwrkkp,eg7vduna0h3vis1wd47s41za7,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eg7vduna0h3vis1wd47s41za7/player/view/3dev7rxsam4451gyu07wwrkkp
,,Canada,Canada,Concacaf Nations League,Defender,Canada,3dtxx6whin53g58f5rz9xil7t,eg7vduna0h3vis1wd47s41za7,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eg7vduna0h3vis1wd47s41za7/player/view/3dtxx6whin53g58f5rz9xil7t
,,Canada,Canada,Concacaf Nations League,,Canada,3gqbfygd0gtw743qzh7fzkhjp,eg7vduna0h3vis1wd47s41za7,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eg7vduna0h3vis1wd47s41za7/player/view/3gqbfygd0gtw743qzh7fzkhjp
,,Canada,Canada,Concacaf Nations League,Attacker,Canada,3nu7bqtarr9yo5abdj3len04q,eg7vduna0h3vis1wd47s41za7,cu0rmpyff5692eo06ltddjo8a,n65wg7o8f4e5ov8tfgbop4b8,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2023-2024/n65wg7o8f4e5ov8tfgbop4b8/teams/view/eg7vduna0h3vis1wd47s41za7/player/view/3nu7bqtarr9yo5abdj3len04q
