root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Appearances,Goals Conceded Inside Box,Starts,Total Tackles,Duels won,Ground Duels won,Goals Conceded,Total Fouls Conceded,Recoveries,Total Passes,Touches,Unsuccessful Short Passes,Ground Duels,Index,Unsuccessful Passes Opposition Half,Games Played,Total Losses Of Possession,Leftside Passes,Successful Passes Opposition Half,Duels lost,Forward Passes,Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Passes Own Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Time Played,Backward Passes,Open Play Passes,Penalty Goals Conceded,Tackles Won,Ground Duels lost,Successful Short Passes,Successful Open Play Passes,Substitute Off,Interceptions,Total Fouls Won,Winning Goal,Rightside Passes,Saves Made,Saves Made from Inside Box,GK Successful Distribution,Unsuccessful Passes Own Half,Catches,GK Unsuccessful Distribution,Penalties Faced,Goal Kicks,Unsuccessful Long Passes,Successful Long Passes,Saves Made from Outside Box,Saves made - parried,Total Clearances,PutThrough/Blocked Distribution,Aerial Duels lost,PutThrough/Blocked Distribution Won,Foul Attempted Tackle,Substitute On,Aerial Duels,Successful Launches,Throw Ins to Own Player,Aerial Duels won,Tackles Lost,Throw Ins to Opposition Player,Blocks,Times Tackled,Successful Crosses & Corners,Successful Dribbles,Successful Corners into Box,Successful Lay-offs,Yellow Cards,Unsuccessful Crosses & Corners,Corners Won,Overruns,Unsuccessful Corners into Box,Unsuccessful Crosses open play,Corners Taken (incl short corners),Key Passes (Attempt Assists),Unsuccessful Dribbles,Successful Crosses open play,Total Touches In Opposition Box,Total Shots,Offsides,Shots On Target ( inc goals ),Unsuccessful Launches,Penalties Conceded,Handballs conceded,Shots Off Target (inc woodwork),Clearances Off the Line,Drops,Total Red Cards,Straight Red Cards,Attempts from Set Pieces,Blocked Shots,Red Cards - 2nd Yellow,Goals Conceded Outside Box,Through balls,Goal Assists,Goals,Left Foot Goals,Goals from Inside Box,Assists (Intentional),Right Foot Goals,Home Goals,Away Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Saves made - caught,Headed Goals,Hit Woodwork,Unsuccessful lay-offs,Goals from Outside Box,Own Goal Scored,Punches,Saves from Penalty,Penalties Saved,Set Pieces Goals,Clean Sheets,Goalkeeper Smother,Second Goal Assists,Last Man Tackle,Other Goals,Last Player Tackle
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,ckdicmotrgmgbm3aleu999yol,R. Alba,Forward,0,4.0,4.0,3.0,2.0,6.0,5.0,4.0,6.0,8.0,41.0,75.0,6.0,21.0,10.0,7.0,4.0,23.0,13.0,24.0,17.0,5.0,23.0,34.0,10.0,7.0,192.0,15.0,41.0,2.0,1.0,16.0,34.0,34.0,3.0,,1.0,0.0,8.0,,,,,,,,,1.0,,,,,2.0,1.0,1.0,,1.0,2.0,,,1.0,1.0,,,7.0,,2.0,,2.0,,,2.0,3.0,,,,2.0,5.0,,17.0,6.0,1.0,5.0,,,,1.0,,,,,,2.0,,,,,2.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,65jctzcct9irz3wre08c2v2wa,E. Azcona,Midfielder,0,3.0,,2.0,,2.0,1.0,,2.0,4.0,49.0,78.0,11.0,12.0,10.0,13.0,3.0,29.0,13.0,25.0,11.0,15.0,13.0,37.0,13.0,12.0,132.0,14.0,48.0,,,11.0,34.0,36.0,2.0,1.0,,0.0,7.0,,,,1.0,,,,,1.0,3.0,,,1.0,3.0,,3.0,2.0,1.0,1.0,,3.0,1.0,,,,6.0,1.0,1.0,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,,3.0,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,bpzi6q2xp42lygsqlep3cfiay,I. Báez,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,dj94zepwovns4ky1zqi0yg8ru,J. Báez,Midfielder,0,5.0,3.0,4.0,2.0,12.0,10.0,4.0,6.0,23.0,146.0,235.0,22.0,21.0,10.0,34.0,5.0,60.0,60.0,73.0,13.0,53.0,25.0,117.0,44.0,29.0,321.0,28.0,145.0,,1.0,11.0,106.0,116.0,3.0,8.0,4.0,0.0,5.0,,,,7.0,,,,,7.0,11.0,,,7.0,4.0,2.0,1.0,6.0,1.0,4.0,2.0,24.0,2.0,1.0,8.0,,3.0,,4.0,,,2.0,12.0,2.0,1.0,1.0,11.0,1.0,2.0,1.0,,5.0,3.0,1.0,1.0,2.0,,,2.0,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,e34x1wpk8lgb7bt21wnk3szkk,A. Ciriaco,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,97fozw0yj7mlai5x4wwpazxzp,I. Díaz,Defender,0,1.0,,,,,,,,,1.0,1.0,1.0,,10.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,4q9tq5buu1hmend7fygzdrt1x,L. Espinal,Forward,0,2.0,,,,1.0,1.0,,,2.0,10.0,13.0,2.0,2.0,10.0,2.0,2.0,3.0,1.0,6.0,3.0,4.0,4.0,8.0,2.0,2.0,19.0,3.0,10.0,,,1.0,8.0,8.0,,,1.0,0.0,2.0,,,,,,,,,,,,,,1.0,2.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,6mcj6w4or747a0z7s2qw5to7p,C. García,Defender,0,5.0,3.0,5.0,3.0,16.0,8.0,4.0,6.0,32.0,214.0,258.0,23.0,22.0,10.0,35.0,5.0,55.0,66.0,73.0,15.0,114.0,31.0,164.0,94.0,50.0,450.0,18.0,194.0,2.0,3.0,14.0,125.0,150.0,,3.0,4.0,0.0,16.0,,,,15.0,,,,,27.0,39.0,,,12.0,2.0,1.0,,5.0,,9.0,2.0,2.0,8.0,,,,4.0,3.0,1.0,,,1.0,,1.0,,,,,9.0,2.0,3.0,9.0,6.0,,2.0,14.0,1.0,1.0,4.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,cdrx186lyxwsiz64se3oqg4id,J. Guzmán,Goalkeeper,0,1.0,1.0,1.0,,,,2.0,,6.0,22.0,27.0,,,10.0,2.0,1.0,2.0,5.0,2.0,,16.0,,20.0,18.0,2.0,90.0,,15.0,,,,16.0,14.0,,,,0.0,1.0,1.0,,7.0,,,,,4.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,dp7983jxahfts5x9cqpyetey,E. Japa,Forward,0,3.0,1.0,1.0,2.0,10.0,9.0,2.0,,3.0,23.0,51.0,6.0,14.0,10.0,9.0,3.0,14.0,9.0,17.0,9.0,4.0,19.0,17.0,3.0,6.0,100.0,4.0,23.0,,1.0,5.0,16.0,17.0,1.0,,4.0,0.0,6.0,,,,,,,,,,1.0,,,,5.0,4.0,,,2.0,5.0,,,1.0,1.0,,2.0,3.0,3.0,3.0,,,,3.0,6.0,,,3.0,,4.0,1.0,3.0,6.0,,,,,,,,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
