root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Appearances,Goals Conceded Inside Box,Starts,Total Tackles,Duels won,Ground Duels won,Goals Conceded,Total Fouls Conceded,Recoveries,Total Passes,Touches,Unsuccessful Short Passes,Ground Duels,Index,Unsuccessful Passes Opposition Half,Games Played,Total Losses Of Possession,Leftside Passes,Successful Passes Opposition Half,Duels lost,Forward Passes,Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Passes Own Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Time Played,Backward Passes,Open Play Passes,Penalty Goals Conceded,Tackles Won,Ground Duels lost,Successful Short Passes,Successful Open Play Passes,Substitute Off,Interceptions,Total Fouls Won,Winning Goal,Rightside Passes,Saves Made,Saves Made from Inside Box,GK Successful Distribution,Unsuccessful Passes Own Half,Catches,GK Unsuccessful Distribution,Penalties Faced,Goal Kicks,Unsuccessful Long Passes,Successful Long Passes,Saves Made from Outside Box,Saves made - parried,Total Clearances,PutThrough/Blocked Distribution,Aerial Duels lost,PutThrough/Blocked Distribution Won,Foul Attempted Tackle,Substitute On,Aerial Duels,Successful Launches,Throw Ins to Own Player,Aerial Duels won,Tackles Lost,Throw Ins to Opposition Player,Blocks,Times Tackled,Successful Crosses & Corners,Successful Dribbles,Successful Corners into Box,Successful Lay-offs,Yellow Cards,Unsuccessful Crosses & Corners,Corners Won,Overruns,Unsuccessful Corners into Box,Unsuccessful Crosses open play,Corners Taken (incl short corners),Key Passes (Attempt Assists),Unsuccessful Dribbles,Successful Crosses open play,Total Touches In Opposition Box,Total Shots,Offsides,Shots On Target ( inc goals ),Unsuccessful Launches,Penalties Conceded,Handballs conceded,Shots Off Target (inc woodwork),Clearances Off the Line,Drops,Total Red Cards,Straight Red Cards,Attempts from Set Pieces,Blocked Shots,Red Cards - 2nd Yellow,Goals Conceded Outside Box,Through balls,Goal Assists,Goals,Left Foot Goals,Goals from Inside Box,Assists (Intentional),Right Foot Goals,Home Goals,Away Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Saves made - caught,Headed Goals,Hit Woodwork,Unsuccessful lay-offs,Goals from Outside Box,Own Goal Scored,Punches,Saves from Penalty,Penalties Saved,Set Pieces Goals,Clean Sheets,Goalkeeper Smother,Second Goal Assists,Last Man Tackle,Other Goals,Last Player Tackle
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,2oelg4qzc5due7w9ue0af26l1,M. Abena,Defender,0,4.0,1.0,4.0,5.0,9.0,7.0,2.0,3.0,20.0,195.0,226.0,6.0,11.0,10.0,7.0,4.0,15.0,82.0,38.0,5.0,54.0,14.0,184.0,146.0,11.0,330.0,23.0,188.0,,3.0,4.0,171.0,177.0,1.0,5.0,2.0,0.0,36.0,,,,5.0,,,,,5.0,13.0,,,9.0,1.0,1.0,,2.0,,3.0,,,2.0,2.0,,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,3.0,1.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,1.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,3wjur9ex802z648bnfi33idxw,R. Adipi,Midfielder,0,2.0,1.0,2.0,9.0,13.0,13.0,1.0,,12.0,57.0,84.0,8.0,19.0,10.0,7.0,2.0,19.0,17.0,17.0,7.0,9.0,20.0,47.0,30.0,10.0,110.0,12.0,54.0,,8.0,6.0,44.0,45.0,2.0,1.0,4.0,0.0,19.0,,,,3.0,,,,,2.0,3.0,,,,1.0,1.0,,,,1.0,,,,1.0,,,5.0,,,,1.0,,,,,,,,1.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,armxucjqaulvwfxyufovg3je1,N. Bakboord,Defender,0,4.0,1.0,3.0,9.0,11.0,11.0,2.0,6.0,20.0,127.0,181.0,18.0,25.0,10.0,18.0,4.0,44.0,55.0,45.0,17.0,50.0,28.0,98.0,53.0,29.0,252.0,20.0,121.0,,5.0,14.0,87.0,92.0,1.0,5.0,2.0,0.0,2.0,,,,14.0,,,,,11.0,11.0,,,4.0,5.0,3.0,1.0,5.0,1.0,3.0,,15.0,,4.0,1.0,,5.0,,,,,1.0,3.0,1.0,,,3.0,,,1.0,,,1.0,,,5.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,cywgibmici8hwp1ad1nhk3ufp,S. Becker,Forward,0,2.0,,2.0,1.0,8.0,6.0,1.0,,4.0,44.0,86.0,13.0,8.0,10.0,21.0,2.0,33.0,15.0,31.0,4.0,7.0,12.0,31.0,4.0,13.0,179.0,13.0,43.0,,1.0,2.0,31.0,30.0,1.0,,4.0,0.0,9.0,,,,2.0,,,,,,,,,1.0,2.0,2.0,1.0,,,4.0,,,2.0,,,,2.0,4.0,1.0,1.0,,,10.0,3.0,,2.0,5.0,4.0,4.0,,3.0,17.0,6.0,2.0,1.0,,,,5.0,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,8l3k9blmd5j4nzlpb8lam61g,A. Belfor,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,7cpuzx40qw7a0lce31w4g2o0k,F. Benali,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,4g7462wk1v4u60k1bc9atq8yd,D. Biseswar,Midfielder,0,2.0,,1.0,1.0,8.0,8.0,,2.0,4.0,48.0,69.0,8.0,11.0,10.0,12.0,2.0,16.0,10.0,31.0,3.0,17.0,11.0,39.0,9.0,9.0,70.0,7.0,42.0,,1.0,3.0,37.0,35.0,1.0,,6.0,0.0,14.0,,,,2.0,,,,,1.0,2.0,,,2.0,2.0,,1.0,,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,5.0,,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,d12t6sne6tamekfkwuf36spka,S. Cairo,Forward,0,2.0,,,,,,,,2.0,8.0,12.0,1.0,,10.0,4.0,2.0,4.0,2.0,3.0,,3.0,,7.0,4.0,1.0,14.0,1.0,8.0,,,,7.0,7.0,,,,0.0,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,2.0,1.0,2.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,317desohm2y36b3z9v21oi7hm,G. Cronie,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Suriname,Suriname,brqptr56zeku3bgqbixje0hxx,D. Dankerlui,Defender,0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,4.0,24.0,38.0,3.0,9.0,10.0,4.0,2.0,8.0,6.0,14.0,6.0,11.0,10.0,20.0,7.0,4.0,95.0,4.0,24.0,,3.0,5.0,18.0,20.0,,1.0,,0.0,3.0,,,,2.0,,,,,1.0,2.0,,,2.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,1.0,2.0,1.0,1.0,,2.0,,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
