dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Costa Rica,Costa_Rica,Concacaf Nations League,Attacker,Costa Rica,206pq3zqgobudaa5dfy93psr9,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/206pq3zqgobudaa5dfy93psr9
,,Costa Rica,Costa_Rica,Concacaf Nations League,Defender,Costa Rica,20vwubvsnysti6lte9jl3ky5l,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/20vwubvsnysti6lte9jl3ky5l
,,Costa Rica,Costa_Rica,Concacaf Nations League,Midfielder,Costa Rica,25qmad3kcnapvbf4fb9fw6ctm,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/25qmad3kcnapvbf4fb9fw6ctm
,,Costa Rica,Costa_Rica,Concacaf Nations League,Attacker,Costa Rica,2eb4ow1em8164ikjbewzv3b4k,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/2eb4ow1em8164ikjbewzv3b4k
,,Costa Rica,Costa_Rica,Concacaf Nations League,Defender,Costa Rica,2xyg899lo5y95m0ul3s778yz8,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/2xyg899lo5y95m0ul3s778yz8
,,Costa Rica,Costa_Rica,Concacaf Nations League,Goalkeeper,Costa Rica,374d5vwsh5mshcsia66lve579,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/374d5vwsh5mshcsia66lve579
,,Costa Rica,Costa_Rica,Concacaf Nations League,,Costa Rica,3bvco3yg1qvx73fr0phuxc3bp,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/3bvco3yg1qvx73fr0phuxc3bp
,,Costa Rica,Costa_Rica,Concacaf Nations League,Defender,Costa Rica,3gaoqrkf73134kvk2a023coa1,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/3gaoqrkf73134kvk2a023coa1
,,Costa Rica,Costa_Rica,Concacaf Nations League,Attacker,Costa Rica,3trsze862jfedh20wllf0ew44,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/3trsze862jfedh20wllf0ew44
,,Costa Rica,Costa_Rica,Concacaf Nations League,Midfielder,Costa Rica,3vqar43rau8xa567hxw29ekx6,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/3vqar43rau8xa567hxw29ekx6
,,Costa Rica,Costa_Rica,Concacaf Nations League,Defender,Costa Rica,3yj2ba2v9rw4odrwqyx2v3f2s,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/3yj2ba2v9rw4odrwqyx2v3f2s
,Aarón Cruz,Costa Rica,Costa_Rica,Concacaf Nations League,Goalkeeper,Costa Rica,45sq43290segk2ijbc5zti5ed,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/45sq43290segk2ijbc5zti5ed
,,Costa Rica,Costa_Rica,Concacaf Nations League,Defender,Costa Rica,4btrpw7phj2ydmy3n987ftj3d,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/4btrpw7phj2ydmy3n987ftj3d
,,Costa Rica,Costa_Rica,Concacaf Nations League,Defender,Costa Rica,4d6cfs28p6vb6q1ijkw3dks7p,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/4d6cfs28p6vb6q1ijkw3dks7p
,,Costa Rica,Costa_Rica,Concacaf Nations League,Defender,Costa Rica,4lrrsxmwie123bxlav18s2uei,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/4lrrsxmwie123bxlav18s2uei
,Allan Cruz,Costa Rica,Costa_Rica,Concacaf Nations League,Midfielder,Costa Rica,52cki9zte648usjhlutb0x239,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/52cki9zte648usjhlutb0x239
,,Costa Rica,Costa_Rica,Concacaf Nations League,Attacker,Costa Rica,56u0ykouaw86f3385b5onozjd,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/56u0ykouaw86f3385b5onozjd
,,Costa Rica,Costa_Rica,Concacaf Nations League,Defender,Costa Rica,5859qop5gz65gqeigtkeur0q2,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/5859qop5gz65gqeigtkeur0q2
,,Costa Rica,Costa_Rica,Concacaf Nations League,,Mexico,5kw4mlnpr3ctt30yh8bxnyk0l,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/5kw4mlnpr3ctt30yh8bxnyk0l
,,Costa Rica,Costa_Rica,Concacaf Nations League,,Argentina,62yib83ls7ajxad3buwkryk0l,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/62yib83ls7ajxad3buwkryk0l
,,Costa Rica,Costa_Rica,Concacaf Nations League,Defender,Costa Rica,66zgg8oyv7c7cvkujkan5ptxx,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/66zgg8oyv7c7cvkujkan5ptxx
,,Costa Rica,Costa_Rica,Concacaf Nations League,Goalkeeper,Costa Rica,6epv7s0kj0bd979mil2jvjget,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/6epv7s0kj0bd979mil2jvjget
,,Costa Rica,Costa_Rica,Concacaf Nations League,Midfielder,Costa Rica,6lh9oi0lc0r5l5vt94sxrhu96,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/6lh9oi0lc0r5l5vt94sxrhu96
,,Costa Rica,Costa_Rica,Concacaf Nations League,Midfielder,Costa Rica,7g1lvmpww9jrvojy55zengpw4,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/7g1lvmpww9jrvojy55zengpw4
,,Costa Rica,Costa_Rica,Concacaf Nations League,Midfielder,Costa Rica,7jfknunj61wxrgfgyt31hnlnu,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/7jfknunj61wxrgfgyt31hnlnu
,,Costa Rica,Costa_Rica,Concacaf Nations League,Attacker,Costa Rica,7ld5zwj14ozooju5v9kpfnckq,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/7ld5zwj14ozooju5v9kpfnckq
,,Costa Rica,Costa_Rica,Concacaf Nations League,Midfielder,Costa Rica,7vfi4xx7xmrkzdizzoz7v3jl5,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/7vfi4xx7xmrkzdizzoz7v3jl5
,Gerson Torres,Costa Rica,Costa_Rica,Concacaf Nations League,Attacker,Costa Rica,8243fpjmbs5kespadpl8a104p,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/8243fpjmbs5kespadpl8a104p
,,Costa Rica,Costa_Rica,Concacaf Nations League,Attacker,Costa Rica,8fuul8znu2hzdqkxsotqt6u0a,bfgqfm4qa3mal7fll74wd04mu,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu/player/view/8fuul8znu2hzdqkxsotqt6u0a
