root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Open Play Passes,Goals from Inside Box,Successful Open Play Passes,Leftside Passes,Ground Duels lost,Unsuccessful Short Passes,Successful Lay-offs,Unsuccessful Passes Own Half,Aerial Duels won,Penalty Goals Conceded,Goals Conceded Inside Box,Successful Passes Opposition Half,Appearances,Goals Conceded,Goals from Outside Box,Aerial Duels,Left Foot Goals,Total Fouls Won,Index,Backward Passes,Touches,Total Passes,Substitute Off,Handballs conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Substitute On,Successful Passes Own Half,Foul Attempted Tackle,Goals Conceded Outside Box,Times Tackled,Offsides,Total Losses Of Possession,Unsuccessful Dribbles,Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Shots,Starts,Ground Duels,PutThrough/Blocked Distribution Won,Goals,Shots On Target ( inc goals ),Ground Duels won,Right Foot Goals,Total Touches In Opposition Box,Unsuccessful Passes Opposition Half,Rightside Passes,PutThrough/Blocked Distribution,Overruns,Total Fouls Conceded,Aerial Duels lost,Forward Passes,Time Played,Recoveries,Games Played,Duels won,Shots Off Target (inc woodwork),Successful Short Passes,Successful Dribbles,Yellow Cards,Duels,Home Goals,Away Goals,Winning Goal,Key Passes (Attempt Assists),Through balls,Successful Crosses & Corners,Corners Won,Unsuccessful Launches,Successful Launches,Successful Long Passes,Unsuccessful Long Passes,Interceptions,Total Clearances,Blocked Shots,Tackles Lost,Corners Taken (incl short corners),Unsuccessful Crosses open play,Attempts from Set Pieces,Unsuccessful Corners into Box,Successful Corners into Box,Tackles Won,Unsuccessful Crosses & Corners,Throw Ins to Own Player,Total Tackles,Clean Sheets,Successful Crosses open play,Blocks,Goal Assists,Unsuccessful lay-offs,Goal Kicks,GK Successful Distribution,Throw Ins to Opposition Player,GK Unsuccessful Distribution,Saves Made from Outside Box,Saves Made from Inside Box,Saves made - parried,Drops,Saves Made,Catches,Penalties Faced,Penalties Conceded,Straight Red Cards,Total Red Cards,Foul Won Penalty,Assists (Intentional),Hit Woodwork,Headed Goals,Punches,Penalty Goals,Penalties Taken,Set Pieces Goals,Red Cards - 2nd Yellow,Crosses not Claimed,Own Goal Scored,Saves made - caught,Goalkeeper Smother,Clearances Off the Line,Saves from Penalty,Penalties Saved,Last Player Tackle,Second Goal Assists,Penalties Off Target
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,ecaofku4htx8if4kk2teq1rrp,R. Adé,Defender,0,309.0,,276.0,116.0,5.0,19.0,,11.0,4.0,1.0,4.0,106.0,5.0,5.0,,9.0,,1.0,10.0,19.0,353.0,319.0,,,285.0,,179.0,2.0,1.0,,,39.0,,10.0,34.0,1.0,5.0,13.0,,,,8.0,,2.0,23.0,57.0,1.0,,4.0,5.0,127.0,450.0,18.0,5.0,12.0,1.0,254.0,2.0,1.0,22.0,,,0.0,,,,,5.0,5.0,31.0,15.0,4.0,9.0,2.0,2.0,,,,,,3.0,,1.0,5.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,6c4j48upih9edutxqf7fopadx,B. Alcéus,Midfielder,0,20.0,,18.0,8.0,1.0,2.0,,2.0,,,,4.0,2.0,,,,,,10.0,3.0,22.0,20.0,,,18.0,2.0,14.0,1.0,,,,2.0,,1.0,2.0,,,2.0,,,,1.0,,,,5.0,,,1.0,,4.0,23.0,2.0,2.0,1.0,,18.0,,1.0,2.0,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,d3qx3gwypipcl2azrj9ing9ud,C. Arcus,Defender,0,182.0,,161.0,80.0,14.0,16.0,,3.0,1.0,1.0,3.0,100.0,4.0,4.0,,1.0,,3.0,10.0,30.0,261.0,186.0,2.0,,165.0,,72.0,8.0,1.0,2.0,,41.0,1.0,14.0,21.0,2.0,4.0,22.0,1.0,,1.0,8.0,,5.0,26.0,6.0,2.0,1.0,11.0,,70.0,323.0,21.0,4.0,9.0,1.0,156.0,1.0,2.0,23.0,,,0.0,5.0,,7.0,1.0,1.0,1.0,9.0,5.0,5.0,,1.0,1.0,,8.0,,,,3.0,8.0,26.0,4.0,1.0,7.0,1.0,2.0,,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,ayuafimtwls9zw9i1mfsuhbhm,C. Attys,Midfielder,0,201.0,3.0,188.0,52.0,21.0,8.0,2.0,3.0,1.0,1.0,2.0,99.0,5.0,3.0,,2.0,,10.0,10.0,61.0,271.0,206.0,2.0,,193.0,2.0,94.0,8.0,1.0,8.0,,31.0,5.0,22.0,13.0,7.0,3.0,43.0,5.0,3.0,3.0,22.0,1.0,9.0,14.0,54.0,5.0,,10.0,1.0,39.0,325.0,17.0,5.0,23.0,4.0,179.0,4.0,,45.0,2.0,1.0,3.0,3.0,1.0,,1.0,1.0,1.0,14.0,5.0,4.0,3.0,1.0,3.0,,4.0,,,,5.0,4.0,,8.0,,,,3.0,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,7tednz7d4xzxjpuqct8iyttjp,M. Cantave,Midfielder,0,29.0,2.0,27.0,5.0,8.0,,,1.0,,,1.0,21.0,5.0,1.0,,1.0,,3.0,10.0,9.0,52.0,29.0,1.0,1.0,27.0,4.0,7.0,6.0,,1.0,1.0,9.0,1.0,9.0,2.0,3.0,1.0,13.0,,2.0,2.0,5.0,2.0,6.0,4.0,3.0,1.0,2.0,8.0,1.0,12.0,121.0,2.0,5.0,5.0,1.0,26.0,,,14.0,2.0,0.0,0.0,3.0,,1.0,2.0,2.0,,1.0,2.0,,2.0,2.0,,2.0,2.0,,1.0,1.0,2.0,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,2rsduabh7r8i29f9i6znwbfu1,R. Damus,Forward,0,3.0,,3.0,,2.0,,,,,,,2.0,1.0,,,,,,10.0,2.0,6.0,3.0,,,3.0,1.0,1.0,,,2.0,,2.0,1.0,2.0,,,,3.0,,,,1.0,,1.0,,1.0,,,,,,14.0,1.0,1.0,1.0,,3.0,,,3.0,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,5wmik73cqursg7sv3w14ue5pm,L. Deedson,Forward,0,93.0,3.0,71.0,31.0,14.0,19.0,2.0,5.0,1.0,1.0,2.0,68.0,6.0,3.0,,1.0,2.0,1.0,10.0,29.0,162.0,95.0,3.0,2.0,73.0,2.0,11.0,4.0,1.0,9.0,3.0,52.0,6.0,14.0,22.0,6.0,4.0,22.0,3.0,3.0,5.0,8.0,1.0,22.0,25.0,8.0,7.0,2.0,6.0,,27.0,317.0,8.0,6.0,9.0,1.0,70.0,3.0,1.0,23.0,2.0,1.0,0.0,9.0,,6.0,4.0,,,3.0,3.0,2.0,1.0,4.0,,7.0,5.0,,2.0,4.0,4.0,8.0,3.0,4.0,,1.0,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,e5ijexrsv8b3at2koyyf3px0q,F. Dulysse,Defender,0,211.0,,195.0,56.0,3.0,12.0,,6.0,8.0,,1.0,67.0,4.0,1.0,,12.0,,1.0,10.0,6.0,235.0,221.0,,,204.0,2.0,137.0,2.0,,,,17.0,,7.0,17.0,1.0,2.0,6.0,2.0,,1.0,3.0,,3.0,11.0,78.0,3.0,,3.0,4.0,81.0,270.0,13.0,4.0,11.0,,192.0,,1.0,18.0,,,0.0,,,,1.0,2.0,2.0,12.0,5.0,,2.0,,,,,,,,2.0,,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,bl4lretp33t0jj3icujkf45p1,J. Duverne,Defender,0,128.0,,109.0,17.0,3.0,9.0,,5.0,4.0,,1.0,62.0,2.0,1.0,,7.0,,,10.0,8.0,153.0,130.0,1.0,,111.0,,49.0,2.0,,1.0,,24.0,,6.0,19.0,2.0,2.0,6.0,3.0,,,3.0,,3.0,16.0,35.0,4.0,,2.0,3.0,70.0,167.0,10.0,2.0,7.0,2.0,95.0,1.0,,13.0,,,0.0,,,,1.0,5.0,2.0,16.0,10.0,3.0,3.0,,,,2.0,,,,2.0,2.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2024-2025,Haiti,Haiti,enykosheyj22373i1hnikul4a,M. Expérience,Defender,0,100.0,,88.0,9.0,3.0,7.0,,2.0,2.0,,1.0,55.0,3.0,1.0,,2.0,,8.0,10.0,21.0,174.0,108.0,,,96.0,,42.0,1.0,,2.0,,27.0,1.0,3.0,12.0,,3.0,17.0,2.0,,,14.0,,4.0,18.0,44.0,4.0,2.0,1.0,,34.0,270.0,15.0,3.0,16.0,,90.0,2.0,,19.0,,,0.0,,,1.0,2.0,2.0,,6.0,5.0,4.0,4.0,,2.0,,8.0,,,,2.0,8.0,25.0,4.0,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
