dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,St. Vincent / Grenadines,St._Vincent-Grenadines,Concacaf Nations League,Defender,St. Vincent and the Grenadines,1hwbc5i6pxjdjgx0f88wmqqx,gwppyn5uw8dho14c6gx3arj5,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/gwppyn5uw8dho14c6gx3arj5/player/view/1hwbc5i6pxjdjgx0f88wmqqx
,,St. Vincent / Grenadines,St._Vincent-Grenadines,Concacaf Nations League,Midfielder,St. Vincent and the Grenadines,1xiqrnyiqnf08veoqbq31dtzo,gwppyn5uw8dho14c6gx3arj5,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/gwppyn5uw8dho14c6gx3arj5/player/view/1xiqrnyiqnf08veoqbq31dtzo
,,St. Vincent / Grenadines,St._Vincent-Grenadines,Concacaf Nations League,Attacker,St. Vincent and the Grenadines,2jmwwied2wfhkii8qqd0isahg,gwppyn5uw8dho14c6gx3arj5,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/gwppyn5uw8dho14c6gx3arj5/player/view/2jmwwied2wfhkii8qqd0isahg
,,St. Vincent / Grenadines,St._Vincent-Grenadines,Concacaf Nations League,Goalkeeper,St. Vincent and the Grenadines,2wfg2h0c5426t8fdnm07zoyz8,gwppyn5uw8dho14c6gx3arj5,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/gwppyn5uw8dho14c6gx3arj5/player/view/2wfg2h0c5426t8fdnm07zoyz8
,,St. Vincent / Grenadines,St._Vincent-Grenadines,Concacaf Nations League,Defender,St. Vincent and the Grenadines,2wkyb1n9vip6kxq3njfpfrl04,gwppyn5uw8dho14c6gx3arj5,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/gwppyn5uw8dho14c6gx3arj5/player/view/2wkyb1n9vip6kxq3njfpfrl04
,,St. Vincent / Grenadines,St._Vincent-Grenadines,Concacaf Nations League,Defender,St. Vincent and the Grenadines,4a0i413demzlfuro4yqcztlg5,gwppyn5uw8dho14c6gx3arj5,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/gwppyn5uw8dho14c6gx3arj5/player/view/4a0i413demzlfuro4yqcztlg5
,,St. Vincent / Grenadines,St._Vincent-Grenadines,Concacaf Nations League,Midfielder,St. Vincent and the Grenadines,4ahete1x3xlr7tbpwiek5zwlx,gwppyn5uw8dho14c6gx3arj5,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/gwppyn5uw8dho14c6gx3arj5/player/view/4ahete1x3xlr7tbpwiek5zwlx
,,St. Vincent / Grenadines,St._Vincent-Grenadines,Concacaf Nations League,Attacker,St. Vincent and the Grenadines,4avmtni30rahy4h40ffg89q6t,gwppyn5uw8dho14c6gx3arj5,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/gwppyn5uw8dho14c6gx3arj5/player/view/4avmtni30rahy4h40ffg89q6t
,,St. Vincent / Grenadines,St._Vincent-Grenadines,Concacaf Nations League,Midfielder,St. Vincent and the Grenadines,4iot3usqkz9ru1dwig1honhuc,gwppyn5uw8dho14c6gx3arj5,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/gwppyn5uw8dho14c6gx3arj5/player/view/4iot3usqkz9ru1dwig1honhuc
,,St. Vincent / Grenadines,St._Vincent-Grenadines,Concacaf Nations League,Midfielder,St. Vincent and the Grenadines,54l2j2lroy8lmehktwv629gk4,gwppyn5uw8dho14c6gx3arj5,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/gwppyn5uw8dho14c6gx3arj5/player/view/54l2j2lroy8lmehktwv629gk4
