dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
,,Suriname,Suriname,Concacaf Nations League,Attacker,Suriname,1fhp1665yo7bqgbm8vha0ahux,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/1fhp1665yo7bqgbm8vha0ahux
,,Suriname,Suriname,Concacaf Nations League,Attacker,Suriname,1lu7wsceoivdbsvqanykrr07p,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/1lu7wsceoivdbsvqanykrr07p
,,Suriname,Suriname,Concacaf Nations League,Attacker,Suriname,1mroid71v9bwpx0iaospei9gq,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/1mroid71v9bwpx0iaospei9gq
,,Suriname,Suriname,Concacaf Nations League,Attacker,Suriname,1rqpbl0ivf8qwdvi6gqpgxz9x,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/1rqpbl0ivf8qwdvi6gqpgxz9x
,,Suriname,Suriname,Concacaf Nations League,Defender,Suriname,2oelg4qzc5due7w9ue0af26l1,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/2oelg4qzc5due7w9ue0af26l1
,,Suriname,Suriname,Concacaf Nations League,Goalkeeper,Suriname,2xrabzai8t4l7zrdt7x33la8k,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/2xrabzai8t4l7zrdt7x33la8k
,,Suriname,Suriname,Concacaf Nations League,Attacker,Suriname,340zq2a1xabks1id8n8jijpjo,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/340zq2a1xabks1id8n8jijpjo
,,Suriname,Suriname,Concacaf Nations League,Midfielder,Suriname,3awoq36w443aauvv1xnffjlyh,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/3awoq36w443aauvv1xnffjlyh
,,Suriname,Suriname,Concacaf Nations League,Attacker,Suriname,3c4l2e3gzgpqrc2ygkbmp0jpx,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/3c4l2e3gzgpqrc2ygkbmp0jpx
,,Suriname,Suriname,Concacaf Nations League,Defender,Suriname,3h8gqv4l0lrls9day28t1sw0k,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/3h8gqv4l0lrls9day28t1sw0k
,,Suriname,Suriname,Concacaf Nations League,Attacker,Suriname,3n2imac1yp8jppsf36a4qg76y,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/3n2imac1yp8jppsf36a4qg76y
,,Suriname,Suriname,Concacaf Nations League,,Netherlands,3tvc4ltk0snw5ybuyjyud0vkl,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/3tvc4ltk0snw5ybuyjyud0vkl
,,Suriname,Suriname,Concacaf Nations League,Midfielder,Suriname,3wjur9ex802z648bnfi33idxw,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/3wjur9ex802z648bnfi33idxw
,,Suriname,Suriname,Concacaf Nations League,Attacker,Suriname,59hntz90bosu0npeg1b46g1d5,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/59hntz90bosu0npeg1b46g1d5
,,Suriname,Suriname,Concacaf Nations League,Goalkeeper,Suriname,60a5wbn4vfn9ww0ml3umhpofd,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/60a5wbn4vfn9ww0ml3umhpofd
,,Suriname,Suriname,Concacaf Nations League,Attacker,Suriname,61ybxaacy505gx6mp5luy0kmi,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/61ybxaacy505gx6mp5luy0kmi
,,Suriname,Suriname,Concacaf Nations League,Attacker,Suriname,69yxk09ki675kde2xwv87zpw5,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/69yxk09ki675kde2xwv87zpw5
,,Suriname,Suriname,Concacaf Nations League,Midfielder,Suriname,6a4jmorda77x4hq7z8r7mmbbp,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/6a4jmorda77x4hq7z8r7mmbbp
,,Suriname,Suriname,Concacaf Nations League,Defender,Suriname,6gj1r8dnoy17pemp9xtng6sbt,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/6gj1r8dnoy17pemp9xtng6sbt
,,Suriname,Suriname,Concacaf Nations League,Defender,Suriname,6lyedmu2vuf7jig3jmhz9b4ve,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/6lyedmu2vuf7jig3jmhz9b4ve
,,Suriname,Suriname,Concacaf Nations League,Goalkeeper,Suriname,75x1o1em496sla8ao5cciane,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/75x1o1em496sla8ao5cciane
,,Suriname,Suriname,Concacaf Nations League,Defender,Suriname,7a1f6wedz8jtcvn58d5pomm8k,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/7a1f6wedz8jtcvn58d5pomm8k
,,Suriname,Suriname,Concacaf Nations League,Defender,Suriname,7dwqdyf6cbb8iw4fsh0lo75qt,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/7dwqdyf6cbb8iw4fsh0lo75qt
,,Suriname,Suriname,Concacaf Nations League,Defender,Suriname,7eo3ceto09y3x4j4gh9m91kvd,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/7eo3ceto09y3x4j4gh9m91kvd
,,Suriname,Suriname,Concacaf Nations League,Goalkeeper,Suriname,7wo4627xo1mx5k0vpwhe8hqll,165simty2guc4l2fb7zbrlg9m,cu0rmpyff5692eo06ltddjo8a,7xh03f8iha4vw8k44wvwoa68k,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m/player/view/7wo4627xo1mx5k0vpwhe8hqll
