matchday,id,equipo_local,link_local,equipo_visitante,link_visitante,link_partido,date,season,liga,source
3rd Place Final,8cakrx2sdjctm7j2bth109kwk,Canada,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/eg7vduna0h3vis1wd47s41za7,United States,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/9vh2u1p4ppm597tjfahst2m3n,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/match/view/8cakrx2sdjctm7j2bth109kwk,23/03/2025,2024-2025,Concacaf_Concacaf_Nations_League,results
League C,fzufa9vh5yrwzcym5kysb2ms,USVI,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/75wey07xf5dwm5t76drg6k4k9,Bahamas,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/64le7lqb2ork2odjnft2lcf6d,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/match/view/fzufa9vh5yrwzcym5kysb2ms,04/09/2024,2024-2025,Concacaf_Concacaf_Nations_League,results
League C,gua74cepaszxedq5zqvrhn2s,Anguilla,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/a8qocq8ic1q8zme3s7d3icrmd,Turks & Caicos,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/cc0hi2guykoqjj15atvrsmgs5,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/match/view/gua74cepaszxedq5zqvrhn2s,04/09/2024,2024-2025,Concacaf_Concacaf_Nations_League,results
League C,hkzn2ia12l4cuwnuai4685xw,British VI,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/9u425psmj98quzjm5ekozmeyb,Cayman,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/ckypeadymrd2akaqkumu3w6ol,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/match/view/hkzn2ia12l4cuwnuai4685xw,04/09/2024,2024-2025,Concacaf_Concacaf_Nations_League,results
League A,9sxe7lyoin88ir0xjufak3axg,Guyana,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bvo5fwy7p1zrkdy5gbcnrx9ed,Suriname,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/165simty2guc4l2fb7zbrlg9m,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/match/view/9sxe7lyoin88ir0xjufak3axg,05/09/2024,2024-2025,Concacaf_Concacaf_Nations_League,results
League B,aiytx7n05od3f7ac5ka8f51jo,Montserrat,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/eer5msu8ajonm2fhub25fs153,El Salvador,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/avc9qnhswi33ld54pvpp4fmkg,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/match/view/aiytx7n05od3f7ac5ka8f51jo,05/09/2024,2024-2025,Concacaf_Concacaf_Nations_League,results
League A,9s32rpuraiiom4heod9u2kcgk,Costa Rica,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/bfgqfm4qa3mal7fll74wd04mu,Guadeloupe,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/42pfckeuruxqitnr7kxd9436x,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/match/view/9s32rpuraiiom4heod9u2kcgk,06/09/2024,2024-2025,Concacaf_Concacaf_Nations_League,results
League A,9tn3yxdsa6uxs9dvms6ni63o4,Guatemala,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/a4wu0pabb2b7r8ik6gs0w1o28,Martinique,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/40tyvoz1vs7drd192u010oiqr,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/match/view/9tn3yxdsa6uxs9dvms6ni63o4,06/09/2024,2024-2025,Concacaf_Concacaf_Nations_League,results
League A,9v1zaqy74w1w11yv7b3nx3aqc,French Guiana,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/14gc6u4pxcafhhm8pf64hvy3p,Nicaragua,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/8tdrk99ukper6iqqutevwqech,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/match/view/9v1zaqy74w1w11yv7b3nx3aqc,06/09/2024,2024-2025,Concacaf_Concacaf_Nations_League,results
League B,ajqe3gh369y27cfwdpc8mqfbo,Bonaire,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/8tjgp47v3kqgyyfo8tvo55av7,St. Vincent,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/teams/view/gwppyn5uw8dho14c6gx3arj5,https://www.scoresway.com/en_GB/soccer/concacaf-nations-league-2024-2025/7xh03f8iha4vw8k44wvwoa68k/match/view/ajqe3gh369y27cfwdpc8mqfbo,06/09/2024,2024-2025,Concacaf_Concacaf_Nations_League,results
