liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Substitute On,Appearances,Index,Games Played,Yellow Cards,Substitute Off,Goals Conceded Inside Box,Starts,Goals Conceded,Clean Sheets,Goals,Right Foot Goals,Open Play Passes,Successful Passes Opposition Half,Total Passes,Successful Short Passes,Total Shots,Touches,Total Touches In Opposition Box,Shots On Target ( inc goals ),Assists (Intentional),Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Goal Assists,Successful Crosses & Corners,Successful Crosses open play,Total Red Cards,Straight Red Cards,Headed Goals,Forward Passes,Unsuccessful Crosses open play,Throw Ins to Own Player,Successful Lay-offs,Corners Won,Backward Passes,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Fouls Conceded,Successful Dribbles,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Ground Duels,Duels won,Successful Long Passes,Total Fouls Won,Unsuccessful Dribbles,Duels,Left Foot Goals,Unsuccessful Crosses & Corners,Handballs conceded,Ground Duels lost,Tackles Won,Duels lost,Tackles Lost,Ground Duels won,Successful Launches,PutThrough/Blocked Distribution Won,Aerial Duels lost,Set Pieces Goals,Goals from Outside Box,Attempts from Set Pieces,Aerial Duels won,Total Clearances,Aerial Duels,Unsuccessful lay-offs,Offsides,Unsuccessful Launches,Foul Attempted Tackle,Blocks,Interceptions,Corners Taken (incl short corners),Unsuccessful Corners into Box,Saves Made,GK Successful Distribution,Catches,Saves Made from Inside Box,Penalties Conceded,Throw Ins to Opposition Player,Penalties Off Target,Penalties Taken,Successful Corners into Box,Punches,Saves Made from Outside Box,Saves made - parried,Penalties Faced,GK Unsuccessful Distribution,Own Goal Scored,Goals Conceded Outside Box,Penalties Saved,Saves from Penalty,Clearances Off the Line,Hit Woodwork,Red Cards - 2nd Yellow,Foul Won Penalty,Penalty Goals,Goalkeeper Smother,Through balls,Saves made - caught,Drops
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,bayg1ia4u4rte2bf6lzawnhm1,A. Alas,Midfielder,15,270.0,,3.0,10.0,3.0,,,8.0,3.0,10.0,,,,93.0,33.0,94.0,63.0,3.0,145.0,2.0,2.0,,28.0,,67.0,68.0,,,,,,,27.0,,1.0,,,12.0,3.0,1.0,34.0,35.0,9.0,23.0,7.0,2.0,26.0,27.0,4.0,21.0,1.0,21.0,5.0,5.0,33.0,24.0,5.0,7.0,3.0,41.0,,,,15.0,7.0,17.0,2.0,18.0,,4.0,2.0,,,,6.0,4.0,8.0,,,1.0,3.0,2.0,8.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,7xf3pkkkz6lvoat4jr03z9ucp,C. Barillas,Midfielder,14,165.0,,2.0,10.0,2.0,,1.0,6.0,2.0,7.0,,,,47.0,20.0,47.0,31.0,2.0,68.0,2.0,1.0,,7.0,,32.0,32.0,,1.0,1.0,,,,13.0,1.0,1.0,1.0,,14.0,1.0,1.0,27.0,13.0,1.0,14.0,4.0,1.0,15.0,13.0,,14.0,,5.0,,2.0,11.0,5.0,1.0,,2.0,17.0,,1.0,,9.0,1.0,12.0,,2.0,,,3.0,,,,3.0,,6.0,,,1.0,4.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,8289wef8xjv2q3bjqd5ar3und,E. Cartagena,Defender,3,45.0,,1.0,10.0,1.0,,1.0,4.0,1.0,4.0,,,,5.0,2.0,5.0,4.0,,12.0,,,,1.0,,5.0,5.0,,,,,,,2.0,,2.0,,,1.0,,,1.0,3.0,2.0,,,1.0,,1.0,,,,1.0,,,6.0,3.0,1.0,,,6.0,,,,3.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,68tqdxlstpilrkvyvdnbhy31l,A. Cerritos,Forward,9,225.0,1.0,3.0,10.0,3.0,,,4.0,2.0,6.0,,1.0,1.0,50.0,21.0,52.0,34.0,5.0,87.0,6.0,2.0,,13.0,1.0,37.0,38.0,,1.0,1.0,,,,13.0,1.0,,1.0,,14.0,1.0,3.0,27.0,18.0,2.0,13.0,4.0,1.0,14.0,12.0,2.0,12.0,1.0,8.0,2.0,3.0,22.0,12.0,4.0,8.0,4.0,27.0,,1.0,,12.0,2.0,15.0,,10.0,,1.0,3.0,,,,2.0,1.0,5.0,,,1.0,2.0,,2.0,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,1.0,1.0,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,eik02bkaui7bldff9psbqio6h,D. Chévez,Defender,4,270.0,,3.0,10.0,3.0,,,8.0,3.0,10.0,,,,44.0,8.0,53.0,25.0,3.0,104.0,4.0,,,12.0,,26.0,35.0,,,,,,,30.0,,,,,1.0,5.0,3.0,21.0,27.0,5.0,13.0,3.0,,18.0,10.0,,9.0,,15.0,4.0,9.0,17.0,17.0,10.0,4.0,,26.0,,,,8.0,5.0,9.0,,9.0,3.0,3.0,1.0,,,,8.0,11.0,9.0,,,4.0,,1.0,17.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,cbl77jgbrk2flhnk71nkuvcvd,J. Cruz,Midfielder,8,90.0,,1.0,10.0,1.0,,,1.0,1.0,1.0,,,,20.0,3.0,21.0,4.0,1.0,32.0,1.0,1.0,,2.0,,6.0,7.0,,,,,,,18.0,,,,1.0,,8.0,,14.0,4.0,4.0,6.0,3.0,,14.0,1.0,,10.0,,5.0,2.0,4.0,7.0,5.0,3.0,,,9.0,,,1.0,3.0,3.0,4.0,1.0,4.0,2.0,,1.0,,,,1.0,4.0,2.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,53ztjo53zgxknxcqrcyh92twp,D. García,Midfielder,10,135.0,1.0,2.0,10.0,2.0,1.0,,2.0,1.0,3.0,,,,40.0,23.0,45.0,22.0,4.0,75.0,4.0,1.0,,6.0,,25.0,27.0,,,,,,,23.0,1.0,5.0,,,3.0,3.0,3.0,29.0,4.0,2.0,15.0,6.0,1.0,18.0,13.0,4.0,17.0,,13.0,2.0,2.0,19.0,8.0,5.0,2.0,4.0,27.0,,1.0,,14.0,1.0,19.0,1.0,5.0,,1.0,5.0,,,1.0,3.0,,8.0,,,,5.0,,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,d7hue5zflfck8bv2h0x9lar55,J. Guardado,Goalkeeper,1,90.0,,1.0,10.0,1.0,,,1.0,1.0,1.0,,,,7.0,6.0,32.0,2.0,,41.0,,,,1.0,,2.0,11.0,,,,,,,29.0,,,,,,21.0,,21.0,5.0,,,,,21.0,2.0,,10.0,,8.0,,11.0,,2.0,9.0,,,2.0,,,,,,,,,2.0,,,,,,2.0,2.0,2.0,,,7.0,,,,,,6.0,7.0,1.0,3.0,,,,,,1.0,3.0,3.0,,10.0,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,1ci04tp2awp0cqz4eshn7vld5,D. Guatemala,Defender,20,90.0,1.0,3.0,10.0,3.0,,2.0,2.0,2.0,2.0,,,,26.0,12.0,26.0,16.0,,51.0,2.0,,,8.0,,17.0,17.0,,,,,,,11.0,,1.0,1.0,,5.0,1.0,,18.0,5.0,4.0,8.0,2.0,1.0,9.0,2.0,1.0,8.0,1.0,6.0,,1.0,19.0,9.0,1.0,4.0,4.0,20.0,,,,10.0,3.0,11.0,1.0,9.0,,,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,13lxpfhc6cpevu257n3paoicp,E. Guzman,Midfielder,6,255.0,,3.0,10.0,3.0,,1.0,8.0,3.0,10.0,,,,96.0,52.0,112.0,65.0,3.0,148.0,,1.0,,26.0,,66.0,78.0,,1.0,,,,,56.0,,,,,5.0,14.0,2.0,41.0,27.0,6.0,20.0,2.0,2.0,34.0,25.0,4.0,30.0,1.0,14.0,3.0,6.0,19.0,15.0,13.0,5.0,1.0,28.0,,2.0,,7.0,5.0,13.0,1.0,12.0,,2.0,6.0,,,,3.0,3.0,9.0,,,4.0,1.0,,2.0,3.0,2.0,,,,,,,,,1.0,,,,,,,2.0,,,,1.0,,,,,,,
