matchday,id,equipo_local,link_local,equipo_visitante,link_visitante,link_partido,date,season,liga
Final,advlcxt9cvp5c3u430s742q5l,USA,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/x1zdh3b7nwu0ql0uc5tgic9e,Mexico,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/c2h1764uyxuem405l4s2tipeg,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/match/view/advlcxt9cvp5c3u430s742q5l,07/05/2017,2017 Panama,Concacaf_Concacaf_U17
Classification,74hfz8t4m58zllnjkn2o0visp,Costa Rica,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/18lylxo9rer7l7optxsyci5zc,Mexico,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/c2h1764uyxuem405l4s2tipeg,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/match/view/74hfz8t4m58zllnjkn2o0visp,06/05/2017,2017 Panama,Concacaf_Concacaf_U17
Classification,mkm5kqmbdi12mly1t43qkycp,Cuba,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/5jivamyduah3ncot6sq0l9v6r,USA,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/x1zdh3b7nwu0ql0uc5tgic9e,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/match/view/mkm5kqmbdi12mly1t43qkycp,06/05/2017,2017 Panama,Concacaf_Concacaf_U17
Classification,4q0av85qv06i3z6g2zucpq7e1,Panama,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/959pr3zqnexipzqpqkixb7emg,Mexico,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/c2h1764uyxuem405l4s2tipeg,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/match/view/4q0av85qv06i3z6g2zucpq7e1,04/05/2017,2017 Panama,Concacaf_Concacaf_U17
Classification,e1reke74w86qu8ag4dlqj95ux,Honduras,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/4jn3ho488kzajzwbjc41069ea,USA,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/x1zdh3b7nwu0ql0uc5tgic9e,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/match/view/e1reke74w86qu8ag4dlqj95ux,03/05/2017,2017 Panama,Concacaf_Concacaf_U17
Classification,358n9g1j2hg3a1x30dtcfolbd,Costa Rica,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/18lylxo9rer7l7optxsyci5zc,Panama,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/959pr3zqnexipzqpqkixb7emg,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/match/view/358n9g1j2hg3a1x30dtcfolbd,02/05/2017,2017 Panama,Concacaf_Concacaf_U17
Classification,c79o70f9j7yg4so4mdm8mxuy1,Cuba,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/5jivamyduah3ncot6sq0l9v6r,Honduras,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/4jn3ho488kzajzwbjc41069ea,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/match/view/c79o70f9j7yg4so4mdm8mxuy1,02/05/2017,2017 Panama,Concacaf_Concacaf_U17
Group Stage,3v7th6tak9f9sk100srr6i609,Mexico,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/c2h1764uyxuem405l4s2tipeg,Jamaica,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/7fg4fsfa8cpjdyzu839pc8s9a,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/match/view/3v7th6tak9f9sk100srr6i609,30/04/2017,2017 Panama,Concacaf_Concacaf_U17
Group Stage,3v6p0d9hbe9bcmk7gyihoml7t,El Salvador,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/43uh32fr2f8v1zqb1q13oelu8,USA,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/x1zdh3b7nwu0ql0uc5tgic9e,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/match/view/3v6p0d9hbe9bcmk7gyihoml7t,30/04/2017,2017 Panama,Concacaf_Concacaf_U17
Group Stage,ayg0p898z7uhku3yyodx92x2h,Costa Rica,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/18lylxo9rer7l7optxsyci5zc,Cuba,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/5jivamyduah3ncot6sq0l9v6r,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/match/view/ayg0p898z7uhku3yyodx92x2h,29/04/2017,2017 Panama,Concacaf_Concacaf_U17
Group Stage,ayesylkaioedxk4glris8m9d5,Canada,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/9ambie9e2cxqfzc71f90lz08c,Suriname,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/d9auixop727cnnmsu0fepbjcu,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/match/view/ayesylkaioedxk4glris8m9d5,29/04/2017,2017 Panama,Concacaf_Concacaf_U17
Group Stage,6v3742ackymri0mqes29qkand,Panama,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/959pr3zqnexipzqpqkixb7emg,Curaçao,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/u0p3r117lpcppl2cbi3880qq,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/match/view/6v3742ackymri0mqes29qkand,28/04/2017,2017 Panama,Concacaf_Concacaf_U17
Group Stage,6v22nv52n0s8dtw2vmmtkez1l,Honduras,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/4jn3ho488kzajzwbjc41069ea,Haiti,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/view/44e5c56ufv162nxx8dygp7sgl,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/match/view/6v22nv52n0s8dtw2vmmtkez1l,28/04/2017,2017 Panama,Concacaf_Concacaf_U17
