root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,Own Goal Scored,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Attempts from Set Pieces,Successful Long Passes,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Unsuccessful Crosses open play,Substitute On,Successful Launches,Unsuccessful Crosses & Corners,Unsuccessful lay-offs,Blocks,Offsides,Successful Lay-offs,Goals,Right Foot Goals,Corners Won,Shots On Target ( inc goals ),Hit Woodwork,Goals from Inside Box,Substitute Off,Through balls,Successful Crosses & Corners,Corners Taken (incl short corners),Successful Crosses open play,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Successful Corners into Box,Left Foot Goals,Penalties Taken,Penalty Goals,Saves Made,GK Successful Distribution,Punches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Catches,Drops,Foul Won Penalty,Handballs conceded,Penalties Off Target,Clearances Off the Line,Clean Sheets,Goalkeeper Smother,Penalty Goals Conceded,Penalties Conceded,Crosses not Claimed,Penalties Faced,Headed Goals,Goals from Outside Box,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Saves made - caught,Set Pieces Goals,Second Goal Assists,Penalties Saved,Saves from Penalty
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Honduras Under 17,Honduras_Under_17,4boys9qwm6uwlao7q7so5hmqy,J. Aguilera,Midfielder,13,333.0,1.0,98.0,28.0,37.0,3.0,1.0,5.0,,3.0,3.0,1.0,5.0,54.0,34.0,8.0,26.0,100.0,6.0,3.0,64.0,5.0,5.0,31.0,27.0,3.0,25.0,3.0,,13.0,4.0,5.0,9.0,166.0,5.0,2.0,38.0,33.0,7.0,10.0,27.0,2.0,5.0,13.0,4.0,3.0,47.0,,6.0,5.0,15.0,12.0,68.0,69.0,9.0,5.0,20.0,3.0,2.0,23.0,1.0,1.0,1.0,3.0,,,1.0,4.0,1.0,,1.0,2.0,,1.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,1.0,3.0,,,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Honduras Under 17,Honduras_Under_17,8t2n8amw305wue9cjkdd15ca2,J. Banegas,Goalkeeper,1,390.0,,22.0,,6.0,5.0,,12.0,,1.0,,,,14.0,48.0,,,66.0,,,46.0,4.0,,12.0,23.0,,7.0,,,27.0,4.0,1.0,5.0,118.0,4.0,,2.0,28.0,,10.0,3.0,,8.0,3.0,1.0,,3.0,8.0,4.0,4.0,,15.0,15.0,54.0,1.0,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,46.0,4.0,5.0,8.0,15.0,2.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Honduras Under 17,Honduras_Under_17,blba5qet5x6wi0k53wjbmu7ai,M. Barahona,Midfielder,11,80.0,,27.0,6.0,12.0,,,2.0,,2.0,1.0,,2.0,23.0,8.0,3.0,7.0,27.0,,3.0,18.0,2.0,1.0,9.0,16.0,4.0,8.0,,,11.0,2.0,6.0,1.0,56.0,2.0,,16.0,5.0,4.0,10.0,9.0,,,2.0,1.0,4.0,19.0,,2.0,2.0,8.0,,18.0,18.0,3.0,2.0,10.0,1.0,1.0,8.0,,,,,,,1.0,,,,1.0,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Honduras Under 17,Honduras_Under_17,cf79dgv9kv9eoylw8qn9avpt6,R. Bernárdez,Defender,2,322.0,15.0,124.0,13.0,37.0,5.0,2.0,8.0,,5.0,2.0,1.0,2.0,75.0,48.0,19.0,35.0,126.0,5.0,6.0,75.0,4.0,4.0,43.0,8.0,1.0,34.0,1.0,15.0,24.0,4.0,12.0,14.0,248.0,4.0,2.0,50.0,64.0,7.0,10.0,42.0,,8.0,8.0,10.0,4.0,62.0,15.0,5.0,4.0,18.0,41.0,81.0,83.0,12.0,12.0,20.0,7.0,7.0,32.0,5.0,,3.0,5.0,,1.0,,,,,1.0,2.0,,,1.0,,2.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Honduras Under 17,Honduras_Under_17,3mf94olez3u5tf0ynzi0e5gtm,S. Bonilla,Defender,3,435.0,43.0,140.0,13.0,39.0,13.0,,20.0,,2.0,,,2.0,77.0,63.0,19.0,26.0,148.0,6.0,3.0,91.0,5.0,2.0,46.0,45.0,,33.0,,20.0,13.0,4.0,9.0,18.0,292.0,5.0,3.0,39.0,82.0,3.0,10.0,36.0,,11.0,5.0,9.0,,50.0,23.0,5.0,5.0,12.0,8.0,95.0,102.0,11.0,11.0,14.0,8.0,10.0,27.0,5.0,1.0,5.0,5.0,,,,,,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Honduras Under 17,Honduras_Under_17,e7r8e6n1a8ozhvoq12mw9ltnu,M. Carrasco,Midfielder,16,284.0,2.0,104.0,14.0,48.0,6.0,1.0,11.0,,1.0,2.0,,3.0,59.0,22.0,8.0,27.0,106.0,5.0,3.0,65.0,2.0,6.0,38.0,11.0,4.0,33.0,1.0,,20.0,3.0,3.0,9.0,168.0,3.0,3.0,31.0,43.0,5.0,10.0,21.0,1.0,3.0,7.0,3.0,1.0,37.0,2.0,2.0,3.0,13.0,38.0,66.0,68.0,6.0,8.0,16.0,,4.0,18.0,2.0,,1.0,4.0,,,,,1.0,1.0,,4.0,,1.0,1.0,2.0,2.0,4.0,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Honduras Under 17,Honduras_Under_17,9r1zjgzhs2b03ag0u5ta4nasq,A. Chandías,Midfielder,15,100.0,,60.0,6.0,13.0,1.0,,1.0,,,,1.0,2.0,5.0,45.0,11.0,2.0,61.0,2.0,1.0,55.0,1.0,,3.0,20.0,,,,,5.0,1.0,1.0,3.0,84.0,2.0,1.0,18.0,17.0,,10.0,15.0,,3.0,2.0,1.0,2.0,21.0,2.0,2.0,2.0,4.0,18.0,57.0,58.0,3.0,7.0,6.0,4.0,1.0,14.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Honduras Under 17,Honduras_Under_17,8rp9p2vbjqgd07gwuma1ppega,J. Chávez,Defender,5,372.0,2.0,131.0,8.0,29.0,18.0,1.0,47.0,,,3.0,,7.0,67.0,68.0,2.0,15.0,159.0,4.0,2.0,80.0,4.0,3.0,62.0,20.0,,50.0,1.0,,15.0,4.0,2.0,13.0,204.0,4.0,3.0,15.0,99.0,3.0,10.0,15.0,,17.0,5.0,8.0,,30.0,9.0,4.0,4.0,8.0,32.0,79.0,97.0,15.0,1.0,15.0,1.0,9.0,7.0,1.0,,4.0,1.0,,4.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Honduras Under 17,Honduras_Under_17,7fbkc0uagc8m5dt6pd7jnmtm2,R. Cortéz,Midfielder,18,121.0,,63.0,24.0,22.0,,,2.0,,1.0,2.0,1.0,2.0,16.0,36.0,1.0,5.0,64.0,1.0,1.0,55.0,1.0,2.0,7.0,19.0,1.0,5.0,,,6.0,1.0,5.0,2.0,80.0,2.0,1.0,8.0,7.0,2.0,10.0,2.0,,2.0,,,1.0,10.0,,2.0,2.0,6.0,14.0,56.0,57.0,2.0,,8.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Honduras Under 17,Honduras_Under_17,30fye7ntsmkrqapw3giz85lyi,J. García,Defender,19,90.0,,51.0,2.0,4.0,4.0,,7.0,,1.0,,1.0,2.0,11.0,38.0,2.0,4.0,53.0,,,35.0,1.0,,11.0,14.0,1.0,8.0,,,,1.0,1.0,3.0,67.0,1.0,,3.0,21.0,1.0,10.0,5.0,,7.0,,3.0,,8.0,6.0,2.0,1.0,1.0,16.0,41.0,42.0,5.0,2.0,3.0,,3.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
