dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
5,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Defender,Guadeloupe,25myxa5cgc1z5kojes4nzvztg,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/25myxa5cgc1z5kojes4nzvztg
19,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Midfielder,Guadeloupe,2nrs4txl5i8ac8o2v75zt02l0,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/2nrs4txl5i8ac8o2v75zt02l0
14,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Defender,Guadeloupe,2skrqepw2c6wm5r2mlz5d9rtg,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/2skrqepw2c6wm5r2mlz5d9rtg
15,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Attacker,Guadeloupe,3k5yt5vl7zfl5kgxit078wbh0,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/3k5yt5vl7zfl5kgxit078wbh0
9,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Attacker,Guadeloupe,4bq1gx7bc7d6atn5jlpclicr8,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/4bq1gx7bc7d6atn5jlpclicr8
2,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Defender,Guadeloupe,5h36p8k0jle912qary4x6tnh0,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/5h36p8k0jle912qary4x6tnh0
,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,,Guadeloupe,5lg4ggf9bfaib2jdcotqskcx6,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/5lg4ggf9bfaib2jdcotqskcx6
20,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Midfielder,Guadeloupe,65qe5h4kfy7l80tlb52m88t90,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/65qe5h4kfy7l80tlb52m88t90
11,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Midfielder,Guadeloupe,6i62fapot74qncd3w0eylkxzo,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/6i62fapot74qncd3w0eylkxzo
6,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Midfielder,Guadeloupe,6whpx1ohcdf3d84vvtb7e3kt0,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/6whpx1ohcdf3d84vvtb7e3kt0
10,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Midfielder,Guadeloupe,7b0ki3nafc39biadl6njdokd0,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/7b0ki3nafc39biadl6njdokd0
16,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Goalkeeper,Guadeloupe,89y5z1lprqadl970h7qy4tn2s,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/89y5z1lprqadl970h7qy4tn2s
3,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Defender,Guadeloupe,99oyqyznq0w1lai8xr7tvx0yc,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/99oyqyznq0w1lai8xr7tvx0yc
12,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Midfielder,Guadeloupe,acea2sjq0d44crsmy6ciwduz8,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/acea2sjq0d44crsmy6ciwduz8
17,,Guadeloupe Under 17,Guadeloupe_Under_17,Concacaf U17,Midfielder,Guadeloupe,bcqeofbkheheou425767o74es,bob4vzhmjkmt7sj9prwlp8dsl,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/bob4vzhmjkmt7sj9prwlp8dsl/player/view/bcqeofbkheheou425767o74es
