dorsal,nombre,equipo,equipo_folder,liga,posicion,pais,cod_jugador,cod_equipo,cod_liga,cod_temporada,link_scoresway
9,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Attacker,Puerto Rico,1mxfju3lod6qtivvmi9roobv8,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/1mxfju3lod6qtivvmi9roobv8
2,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Defender,Puerto Rico,2ie75sbsfk1ca2vfq7m5sdtec,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/2ie75sbsfk1ca2vfq7m5sdtec
7,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Attacker,Puerto Rico,40d6mr6jzp9kn4cohma050phw,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/40d6mr6jzp9kn4cohma050phw
5,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Midfielder,Puerto Rico,4f0zvh7icqyfwv6buoq9zd5w4,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/4f0zvh7icqyfwv6buoq9zd5w4
12,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Goalkeeper,Puerto Rico,5dto1lp1grubzba6tnm910cus,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/5dto1lp1grubzba6tnm910cus
3,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Defender,Puerto Rico,6s7zb76ud6wnv0yfe3y0rciz8,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/6s7zb76ud6wnv0yfe3y0rciz8
6,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Defender,Puerto Rico,6wdlaat1mtfk49rq26mjwyk2c,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/6wdlaat1mtfk49rq26mjwyk2c
16,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Defender,Puerto Rico,708g0h80qommbshjzvcz8qfpw,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/708g0h80qommbshjzvcz8qfpw
20,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Attacker,Puerto Rico,8plvucyf0e2hav8vr0ria5zpw,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/8plvucyf0e2hav8vr0ria5zpw
1,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Goalkeeper,Puerto Rico,92gmbhmxoz0yd8imm0k8jeoes,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/92gmbhmxoz0yd8imm0k8jeoes
,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,,Argentina,95dstu2h8ntntq98yoafx84k4,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/95dstu2h8ntntq98yoafx84k4
18,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Defender,Puerto Rico,96bm6znl1qw9xbljywsqhj7kk,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/96bm6znl1qw9xbljywsqhj7kk
10,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Midfielder,Puerto Rico,9gk0ubbg19lrmrnx7s5c647pw,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/9gk0ubbg19lrmrnx7s5c647pw
4,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Attacker,Puerto Rico,a0ninzedfr14jzfm54zfrz40k,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/a0ninzedfr14jzfm54zfrz40k
17,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Midfielder,Puerto Rico,aifm86jdhle06ax8lrbo3e5g4,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/aifm86jdhle06ax8lrbo3e5g4
15,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Attacker,Puerto Rico,aio9hkm5badgn5upil6dhbf2s,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/aio9hkm5badgn5upil6dhbf2s
13,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Defender,Puerto Rico,b16ewwbj8e83bvq38cm6261as,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/b16ewwbj8e83bvq38cm6261as
8,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Midfielder,Puerto Rico,b1vqodmxad5zyteehc86atp1w,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/b1vqodmxad5zyteehc86atp1w
,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,,Puerto Rico,ebcy3oa79ewfnrrpdk02f326t,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/ebcy3oa79ewfnrrpdk02f326t
11,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Midfielder,Puerto Rico,f38a6xm3yekqpvmverhum5hjo,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/f38a6xm3yekqpvmverhum5hjo
14,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Midfielder,Puerto Rico,nfk8z4dzi7ubd3eauhqv73tg,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/nfk8z4dzi7ubd3eauhqv73tg
19,,Puerto Rico Under 17,Puerto_Rico_Under_17,Concacaf U17,Midfielder,Puerto Rico,xt6c7dvwrhv4q09lorqh591w,6megy0tq0ozwk2nlukq5k2x3c,eqgisvgxx07hohsthzgfphzv9,3021osjlmqw09k4dlh9gkjkh6,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2023-guatemala/3021osjlmqw09k4dlh9gkjkh6/teams/view/6megy0tq0ozwk2nlukq5k2x3c/player/view/xt6c7dvwrhv4q09lorqh591w
